physical_element,u1_label,u2_label,cps4_label,source_storage_ip,odb_ip,source_category,connectivity,centroid_x,centroid_y,distance_from_notch_tip
15881,15881,49733,83585,1,1,edge_sharing_neighbour_of_worst_event,15910 15911 16458 16457,0.0005,-0.0015000007,0.00158113949416
15881,15881,49733,83585,2,2,edge_sharing_neighbour_of_worst_event,15910 15911 16458 16457,0.0005,-0.0015000007,0.00158113949416
15881,15881,49733,83585,3,4,edge_sharing_neighbour_of_worst_event,15910 15911 16458 16457,0.0005,-0.0015000007,0.00158113949416
15881,15881,49733,83585,4,3,edge_sharing_neighbour_of_worst_event,15910 15911 16458 16457,0.0005,-0.0015000007,0.00158113949416
16425,16425,50277,84129,3,4,staggered_sync_effect,16455 16456 17048 17046,-0.0015,-0.00050000035,0.00158113894076
16426,16426,50278,84130,1,1,edge_sharing_neighbour_of_worst_event,16456 16457 17050 17048,-0.0005,-0.00050000035,0.000707107028674
16426,16426,50278,84130,2,2,edge_sharing_neighbour_of_worst_event,16456 16457 17050 17048,-0.0005,-0.00050000035,0.000707107028674
16426,16426,50278,84130,3,4,edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,16456 16457 17050 17048,-0.0005,-0.00050000035,0.000707107028674
16426,16426,50278,84130,4,3,edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,16456 16457 17050 17048,-0.0005,-0.00050000035,0.000707107028674
16427,16427,50279,84131,1,1,all_ips_worst_event_element+connected_crack_path_preceding_following,16457 16458 17051 17050,0.0005,-0.00050000035,0.000707107028674
16427,16427,50279,84131,2,2,all_ips_worst_event_element+connected_crack_path_preceding_following,16457 16458 17051 17050,0.0005,-0.00050000035,0.000707107028674
16427,16427,50279,84131,3,4,all_ips_worst_event_element+connected_crack_path_preceding_following+insufficient_output_evidence+staggered_sync_effect,16457 16458 17051 17050,0.0005,-0.00050000035,0.000707107028674
16427,16427,50279,84131,4,3,all_ips_worst_event_element+connected_crack_path_preceding_following+insufficient_output_evidence+staggered_sync_effect+worst_event_84131_ip3,16457 16458 17051 17050,0.0005,-0.00050000035,0.000707107028674
16428,16428,50280,84132,1,1,edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,16458 16459 17052 17051,0.0015,-0.00050000035,0.00158113894076
16428,16428,50280,84132,2,2,edge_sharing_neighbour_of_worst_event,16458 16459 17052 17051,0.0015,-0.00050000035,0.00158113894076
16428,16428,50280,84132,3,4,edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,16458 16459 17052 17051,0.0015,-0.00050000035,0.00158113894076
