physical_element,u1_label,u2_label,visualization_label,u1_connectivity,u2_connectivity,visualization_connectivity,u1_to_u2_offset,u1_to_visualization_offset,connectivity_match,label_range_status,mapping_status
1,1,33853,67705,1 2 549 548,1 2 549 548,1 2 549 548,33852,67704,true,pass,pass
2,2,33854,67706,2 3 550 549,2 3 550 549,2 3 550 549,33852,67704,true,pass,pass
3,3,33855,67707,3 4 551 550,3 4 551 550,3 4 551 550,33852,67704,true,pass,pass
4,4,33856,67708,4 5 552 551,4 5 552 551,4 5 552 551,33852,67704,true,pass,pass
5,5,33857,67709,5 6 553 552,5 6 553 552,5 6 553 552,33852,67704,true,pass,pass
6,6,33858,67710,6 7 554 553,6 7 554 553,6 7 554 553,33852,67704,true,pass,pass
7,7,33859,67711,7 8 555 554,7 8 555 554,7 8 555 554,33852,67704,true,pass,pass
8,8,33860,67712,8 9 556 555,8 9 556 555,8 9 556 555,33852,67704,true,pass,pass
9,9,33861,67713,9 10 557 556,9 10 557 556,9 10 557 556,33852,67704,true,pass,pass
10,10,33862,67714,10 11 558 557,10 11 558 557,10 11 558 557,33852,67704,true,pass,pass
11,11,33863,67715,11 12 559 558,11 12 559 558,11 12 559 558,33852,67704,true,pass,pass
12,12,33864,67716,12 13 560 559,12 13 560 559,12 13 560 559,33852,67704,true,pass,pass
13,13,33865,67717,13 14 561 560,13 14 561 560,13 14 561 560,33852,67704,true,pass,pass
14,14,33866,67718,14 15 562 561,14 15 562 561,14 15 562 561,33852,67704,true,pass,pass
15,15,33867,67719,15 16 563 562,15 16 563 562,15 16 563 562,33852,67704,true,pass,pass
16,16,33868,67720,16 17 564 563,16 17 564 563,16 17 564 563,33852,67704,true,pass,pass
17,17,33869,67721,17 18 565 564,17 18 565 564,17 18 565 564,33852,67704,true,pass,pass
18,18,33870,67722,18 19 566 565,18 19 566 565,18 19 566 565,33852,67704,true,pass,pass
19,19,33871,67723,19 20 567 566,19 20 567 566,19 20 567 566,33852,67704,true,pass,pass
20,20,33872,67724,20 21 568 567,20 21 568 567,20 21 568 567,33852,67704,true,pass,pass
21,21,33873,67725,21 22 569 568,21 22 569 568,21 22 569 568,33852,67704,true,pass,pass
22,22,33874,67726,22 23 570 569,22 23 570 569,22 23 570 569,33852,67704,true,pass,pass
23,23,33875,67727,23 24 571 570,23 24 571 570,23 24 571 570,33852,67704,true,pass,pass
24,24,33876,67728,24 25 572 571,24 25 572 571,24 25 572 571,33852,67704,true,pass,pass
25,25,33877,67729,25 26 573 572,25 26 573 572,25 26 573 572,33852,67704,true,pass,pass
26,26,33878,67730,26 27 574 573,26 27 574 573,26 27 574 573,33852,67704,true,pass,pass
27,27,33879,67731,27 28 575 574,27 28 575 574,27 28 575 574,33852,67704,true,pass,pass
28,28,33880,67732,28 29 576 575,28 29 576 575,28 29 576 575,33852,67704,true,pass,pass
29,29,33881,67733,29 30 577 576,29 30 577 576,29 30 577 576,33852,67704,true,pass,pass
30,30,33882,67734,30 31 578 577,30 31 578 577,30 31 578 577,33852,67704,true,pass,pass
31,31,33883,67735,31 32 579 578,31 32 579 578,31 32 579 578,33852,67704,true,pass,pass
32,32,33884,67736,32 33 580 579,32 33 580 579,32 33 580 579,33852,67704,true,pass,pass
33,33,33885,67737,33 34 581 580,33 34 581 580,33 34 581 580,33852,67704,true,pass,pass
34,34,33886,67738,34 35 582 581,34 35 582 581,34 35 582 581,33852,67704,true,pass,pass
35,35,33887,67739,35 36 583 582,35 36 583 582,35 36 583 582,33852,67704,true,pass,pass
36,36,33888,67740,36 37 584 583,36 37 584 583,36 37 584 583,33852,67704,true,pass,pass
37,37,33889,67741,37 38 585 584,37 38 585 584,37 38 585 584,33852,67704,true,pass,pass
38,38,33890,67742,38 39 586 585,38 39 586 585,38 39 586 585,33852,67704,true,pass,pass
39,39,33891,67743,39 40 587 586,39 40 587 586,39 40 587 586,33852,67704,true,pass,pass
40,40,33892,67744,40 41 588 587,40 41 588 587,40 41 588 587,33852,67704,true,pass,pass
41,41,33893,67745,41 42 589 588,41 42 589 588,41 42 589 588,33852,67704,true,pass,pass
42,42,33894,67746,42 43 590 589,42 43 590 589,42 43 590 589,33852,67704,true,pass,pass
43,43,33895,67747,43 44 591 590,43 44 591 590,43 44 591 590,33852,67704,true,pass,pass
44,44,33896,67748,44 45 592 591,44 45 592 591,44 45 592 591,33852,67704,true,pass,pass
