visualization_label,odb_ip,physical_label,u1_label,u2_label,source_storage_ip,decrease_event_count,completed_phase_sequence_constructible,completed_phase_monotonicity,largest_retained_output_decrease,largest_retained_output_decrease_frame,running_max_check,sdv16_matching_location_decrease,tolerance,reason
84130,3,16426,16426,50278,4,9,false,insufficient_output_evidence,1.0371208190917969e-05,192,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84130,4,16426,16426,50278,3,11,false,insufficient_output_evidence,0.00038534402847290039,190,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84131,3,16427,16427,50279,4,11,false,insufficient_output_evidence,0.00042521953582763672,190,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84131,4,16427,16427,50279,3,13,false,insufficient_output_evidence,0.00038737058639526367,186,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84132,1,16428,16428,50280,1,1,false,insufficient_output_evidence,2.4497509002685547e-05,183,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84132,3,16428,16428,50280,4,14,false,insufficient_output_evidence,0.00042122602462768555,186,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84132,4,16428,16428,50280,3,14,false,insufficient_output_evidence,0.00031054019927978516,184,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84133,3,16429,16429,50281,4,14,false,insufficient_output_evidence,0.00028681755065917969,184,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84133,4,16429,16429,50281,3,14,false,insufficient_output_evidence,0.00026702880859375,184,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
84134,3,16430,16430,50282,4,14,false,insufficient_output_evidence,0.00024569034576416016,184,not_constructible_from_retained_event_table_only,false,1e-6,"Retained CSV contains decrease transitions, not every within-increment completed U1 phase-solve state."
