metric,name,count
count,events,6113
count,affected_locations,613
count,affected_visual_elements,309
count,affected_physical_elements,309
magnitude_bin,gt_1e-8_to_1e-7,4511
magnitude_bin,gt_1e-7_to_1e-6,305
magnitude_bin,gt_1e-6_to_1e-5,393
magnitude_bin,gt_1e-5_to_1e-4,708
magnitude_bin,gt_1e-4,196
response_region,at_peak,118
response_region,before_peak,312
response_region,early_post_peak,1738
response_region,late_post_peak,3945
spatial_region,near_ligament,1350
spatial_region,off_ligament,4763
crack_corridor,inside_connected_crack_corridor,1318
crack_corridor,outside_connected_crack_corridor,4795
current_global_frame,150,2
current_global_frame,152,6
current_global_frame,153,14
current_global_frame,154,16
current_global_frame,155,8
current_global_frame,156,18
current_global_frame,157,18
current_global_frame,158,10
current_global_frame,159,20
current_global_frame,160,26
current_global_frame,161,24
current_global_frame,162,40
current_global_frame,163,36
current_global_frame,164,48
current_global_frame,165,26
current_global_frame,166,56
current_global_frame,167,62
current_global_frame,168,56
current_global_frame,169,84
current_global_frame,170,96
current_global_frame,171,72
current_global_frame,172,104
current_global_frame,173,104
current_global_frame,174,108
current_global_frame,175,88
current_global_frame,176,118
current_global_frame,177,127
current_global_frame,178,100
current_global_frame,179,132
current_global_frame,180,137
current_global_frame,181,104
current_global_frame,182,146
current_global_frame,183,162
current_global_frame,184,166
current_global_frame,185,121
current_global_frame,186,174
current_global_frame,187,182
current_global_frame,188,149
current_global_frame,189,197
current_global_frame,190,211
current_global_frame,191,170
current_global_frame,192,231
current_global_frame,193,238
current_global_frame,194,248
current_global_frame,195,209
current_global_frame,196,252
current_global_frame,197,264
current_global_frame,198,244
current_global_frame,199,298
current_global_frame,200,312
current_global_frame,201,279
