event_index,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,decrease_magnitude,previous_sdv15,current_sdv15,previous_sdv14,current_sdv14,previous_abs_sdv14_minus_sdv15,current_abs_sdv14_minus_sdv15,source_defined_equivalent_state_rule,final_category
1,190,84131,3,16427,0.00042521953582763672,1.0013006925582886,1.0008754730224609,1.0015072822570801,1.001091480255127,0.00020658969879150391,0.00021600723266601562,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
2,186,84132,3,16428,0.00042122602462768555,0.99863922595977783,0.99821799993515015,0.99885618686676025,0.99841535091400146,0.00021696090698242188,0.00019735097885131836,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
3,189,84131,3,16427,0.000396728515625,1.0016974210739136,1.0013006925582886,1.0018758773803711,1.0015072822570801,0.00017845630645751953,0.00020658969879150391,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
4,192,84131,3,16427,0.000392913818359375,1.0006676912307739,1.0002747774124146,1.0008754730224609,1.0004634857177734,0.00020778179168701172,0.00018870830535888672,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
5,186,84131,4,16427,0.00038737058639526367,0.99953329563140869,0.99914592504501343,0.9997107982635498,0.99933618307113647,0.00017750263214111328,0.00019025802612304688,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
6,190,84130,4,16426,0.00038534402847290039,0.97639507055282593,0.97600972652435303,0.97657686471939087,0.97620683908462524,0.00018179416656494141,0.0001971125602722168,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
7,192,84130,4,16426,0.00036436319351196289,0.97581839561462402,0.97545403242111206,0.97600972652435303,0.97562932968139648,0.00019133090972900391,0.00017529726028442383,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
8,184,84132,3,16428,0.00035536289215087891,0.99921154975891113,0.99885618686676025,0.99934053421020508,0.9990534782409668,0.00012898445129394531,0.00019729137420654297,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
9,189,84130,4,16426,0.00034350156784057617,0.9767385721206665,0.97639507055282593,0.97688263654708862,0.97657686471939087,0.00014406442642211914,0.00018179416656494141,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
10,193,84131,3,16427,0.00034260749816894531,1.0002747774124146,0.99993216991424561,1.0004634857177734,1.0000951290130615,0.00018870830535888672,0.00016295909881591797,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
11,187,84131,4,16427,0.00032854080200195312,0.99914592504501343,0.99881738424301147,0.99933618307113647,0.99896824359893799,0.00019025802612304688,0.00015085935592651367,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
12,193,84130,4,16426,0.0003191828727722168,0.97545403242111206,0.97513484954833984,0.97562932968139648,0.97528672218322754,0.00017529726028442383,0.00015187263488769531,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
13,184,84132,4,16428,0.00031054019927978516,0.99946200847625732,0.99915146827697754,0.99957013130187988,0.99932301044464111,0.00010812282562255859,0.00017154216766357422,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
14,187,84132,3,16428,0.00029456615447998047,0.99821799993515015,0.99792343378067017,0.99841535091400146,0.99805045127868652,0.00019735097885131836,0.00012701749801635742,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
15,194,84131,3,16427,0.00029331445693969727,0.99993216991424561,0.99963885545730591,1.0000951290130615,0.99977844953536987,0.00016295909881591797,0.00013959407806396484,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
16,187,84131,3,16427,0.00028681755065917969,1.0021626949310303,1.0018758773803711,1.0022588968276978,1.002030611038208,9.6201896667480469e-05,0.00015473365783691406,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
17,184,84133,3,16429,0.00028681755065917969,0.99950480461120605,0.99921798706054688,0.99960136413574219,0.99937665462493896,9.6559524536132812e-05,0.00015866756439208984,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
18,186,84132,4,16428,0.0002816319465637207,0.9989812970161438,0.99869966506958008,0.99915146827697754,0.99882245063781738,0.00017017126083374023,0.00012278556823730469,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
19,194,84130,4,16426,0.00027328729629516602,0.97513484954833984,0.97486156225204468,0.97528672218322754,0.97499161958694458,0.00015187263488769531,0.00013005733489990234,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
20,184,84133,4,16429,0.00026702880859375,0.99937140941619873,0.99910438060760498,0.99945700168609619,0.99925363063812256,8.5592269897460938e-05,0.00014925003051757812,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
21,184,84131,4,16427,0.00025695562362670898,0.99996775388717651,0.9997107982635498,1.0000337362289429,0.99986118078231812,6.5982341766357422e-05,0.00015038251876831055,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
22,184,84134,3,16430,0.00024569034576416016,0.99933403730392456,0.9990883469581604,0.9994085431098938,0.99922728538513184,7.4505805969238281e-05,0.00013893842697143555,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
23,186,84134,3,16430,0.00024169683456420898,0.99894517660140991,0.9987034797668457,0.9990883469581604,0.998809814453125,0.00014317035675048828,0.00010633468627929688,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
24,186,84133,4,16429,0.00024068355560302734,0.99895620346069336,0.99871551990509033,0.99910438060760498,0.99881958961486816,0.00014817714691162109,0.00010406970977783203,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
25,196,84131,3,16427,0.00023865699768066406,0.99950641393661499,0.99926775693893433,0.99963885545730591,0.99938470125198364,0.00013244152069091797,0.00011694431304931641,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
26,186,84135,4,16431,0.00023710727691650391,0.99914610385894775,0.99890899658203125,0.99925494194030762,0.99902218580245972,0.00010883808135986328,0.0001131892204284668,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
27,186,84134,4,16430,0.00023698806762695312,0.99902510643005371,0.99878811836242676,0.99915802478790283,0.99889445304870605,0.00013291835784912109,0.00010633468627929688,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
28,186,84135,3,16431,0.00023573637008666992,0.99907892942428589,0.99884319305419922,0.9992026686668396,0.99895137548446655,0.00012373924255371094,0.00010818243026733398,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
29,186,84133,3,16429,0.0002333521842956543,0.99906629323959351,0.99883294105529785,0.99921798706054688,0.99893075227737427,0.00015169382095336914,9.7811222076416016e-05,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
30,186,84136,3,16432,0.00023138523101806641,0.9991944432258606,0.99896305799484253,0.99928998947143555,0.99907726049423218,9.5546245574951172e-05,0.00011420249938964844,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
31,183,84132,3,16428,0.00022590160369873047,0.99943745136260986,0.99921154975891113,0.99951475858688354,0.99934053421020508,7.7307224273681641e-05,0.00012898445129394531,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
32,196,84130,4,16426,0.00022202730178833008,0.97473818063735962,0.97451615333557129,0.97486156225204468,0.97462493181228638,0.00012338161468505859,0.00010877847671508789,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
33,185,84132,3,16428,0.00021696090698242188,0.99885618686676025,0.99863922595977783,0.9990534782409668,0.99885618686676025,0.00019729137420654297,0.00021696090698242188,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,staggered_sync_effect
34,197,84131,3,16427,0.00021469593048095703,0.99926775693893433,0.99905306100845337,0.99938470125198364,0.99915885925292969,0.00011694431304931641,0.00010579824447631836,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
35,186,84136,4,16432,0.00021409988403320312,0.99925923347473145,0.99904513359069824,0.99933344125747681,0.99915677309036255,7.4207782745361328e-05,0.00011163949966430664,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
36,187,84137,4,16433,0.00020819902420043945,0.9991794228553772,0.99897122383117676,0.99927091598510742,0.99907183647155762,9.1493129730224609e-05,0.00010061264038085938,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,insufficient_mapping_evidence
37,191,84131,3,16427,0.00020778179168701172,1.0008754730224609,1.0006676912307739,1.001091480255127,1.0008754730224609,0.00021600723266601562,0.00020778179168701172,Consecutive retained ODB frames are not assumed equivalent phase-update states; classify only by precision and SDV14/SDV15 stagger evidence visible in retained fields.,staggered_sync_effect
