Frame,Time,U1_mm,RF1_N
0,0.0,0.0,0.0
1,0.0010000000475,9.99999997475e-07,1.16415321827e-10
2,0.00200000009499,1.99999999495e-06,2.32830643654e-10
3,0.00350000010803,3.50000004801e-06,1.16415321827e-09
4,0.00575000001118,5.75000012759e-06,2.56113708019e-09
5,0.00912499986589,9.12500036065e-06,1.44354999065e-08
6,0.0141874998808,1.41874998008e-05,2.98023223877e-08
7,0.0217812508345,2.17812503251e-05,1.00475537777
8,0.0331718735397,3.31718765665e-05,1.5301977396
9,0.0502578131855,5.0257811381e-05,2.31836128235
10,0.0758867189288,7.58867172408e-05,3.50060677528
11,0.114330075681,0.00011433007603,5.27397489548
12,0.17199511826,0.000171995110577,7.93402671814
13,0.258492678404,0.000258492684225,11.9241046906
14,0.38823902607,0.000388239015592,17.9092216492
15,0.582858502865,0.000582858512644,26.8868980408
16,0.874787807465,0.000874787801877,40.3534126282
17,1.0,0.0010000000475,46.1293716431
