time_PRE2,U_PRE2_mm,RF_PRE2_N,time_PRE3,U_PRE3_mm,RF_PRE3_N
0.000000,0.000000e+00,0.000000,0.000000,0.000000e+00,0.000000
0.001000,1.000000e-06,0.092259,0.001000,1.000000e-06,0.092282
0.002000,2.000000e-06,0.184517,0.002000,2.000000e-06,0.184564
0.003500,3.500000e-06,0.322906,0.003500,3.500000e-06,0.322988
0.005750,5.750000e-06,0.530488,0.005750,5.750000e-06,0.530623
0.009125,9.125000e-06,0.841861,0.009125,9.125000e-06,0.842075
0.014187,1.418750e-05,1.308921,0.014187,1.418750e-05,1.309254
0.021781,2.178125e-05,2.009511,0.021781,2.178125e-05,2.010022
0.033172,3.317188e-05,3.060395,0.033172,3.317188e-05,3.061174
0.050258,5.025781e-05,4.636723,0.050258,5.025781e-05,4.637902
0.075887,7.588672e-05,7.001213,0.075887,7.588672e-05,7.002995
0.114330,1.143301e-04,10.547950,0.114330,1.143301e-04,10.550633
0.171995,1.719951e-04,15.868053,0.171995,1.719951e-04,15.872090
0.258493,2.584927e-04,23.848209,0.258493,2.584927e-04,23.854277
0.388239,3.882390e-04,35.818443,0.388239,3.882390e-04,35.827557
0.582859,5.828585e-04,53.773795,0.582859,5.828585e-04,53.787476
0.874788,8.747878e-04,80.706823,0.874788,8.747878e-04,80.727356
1.000000,1.000000e-03,92.258743,1.000000,1.000000e-03,92.282218
