elem_label,vis_elem_label,x,y,sdv15,dist_from_notch_tip,component_id,ligament_spanning,crack_extension,mean_crack_direction_deg
30193,30193,0.00125,0.00125,0.997519,0.705339,1,False,0.705339,0.0
30192,30192,-0.00125,0.00125,0.995238,0.707109,1,False,0.707109,0.0
30194,30194,0.00375,0.00125,0.992906,0.703573,1,False,0.703573,0.0
30195,30195,0.00625,0.00125,0.99261,0.701812,1,False,0.701812,0.0
30196,30196,0.00875,0.00125,0.990109,0.700056,1,False,0.700056,0.0
30197,30197,0.01125,0.00125,0.983615,0.698304,1,False,0.698304,0.0
29963,29963,0.00625,-0.00125,0.979652,0.703591,1,False,0.703591,0.0
29962,29962,0.00375,-0.00125,0.979163,0.705348,1,False,0.705348,0.0
29964,29964,0.00875,-0.00125,0.978578,0.701839,1,False,0.701839,0.0
29961,29961,0.00125,-0.00125,0.976905,0.707109,1,False,0.707109,0.0
30428,30428,0.00875,0.00375,0.975959,0.698277,1,False,0.698277,0.0
30427,30427,0.00625,0.00375,0.975943,0.700038,1,False,0.700038,0.0
30426,30426,0.00375,0.00375,0.973358,0.701803,1,False,0.701803,0.0
29965,29965,0.01125,-0.00125,0.973199,0.700092,1,False,0.700092,0.0
30429,30429,0.01125,0.00375,0.972747,0.69652,1,False,0.69652,0.0
30198,30198,0.01375,0.00125,0.969837,0.696556,1,False,0.696556,0.0
30425,30425,0.00125,0.00375,0.966616,0.703573,1,False,0.703573,0.0
30430,30430,0.01375,0.00375,0.961911,0.694768,1,False,0.694768,0.0
29966,29966,0.01375,-0.00125,0.95997,0.698348,1,False,0.698348,0.0
29960,29960,-0.00125,-0.00125,0.948813,0.708875,1,False,0.708875,0.0
30199,30199,0.01625,0.00125,0.944931,0.694813,1,False,0.694813,0.0
30431,30431,0.01625,0.00375,0.939877,0.693021,1,False,0.693021,0.0
30424,30424,-0.00125,0.00375,0.9369,0.705348,1,False,0.705348,0.0
29967,29967,0.01625,-0.00125,0.93644,0.69661,1,False,0.69661,0.0
30191,30191,-0.00375,0.00125,0.934814,0.708883,1,False,0.708883,0.0
29733,29733,0.01125,-0.00375,0.920862,0.701884,1,False,0.701884,0.0
