elem_label,vis_elem_label,x,y,sdv15,dist_from_notch_tip,component_id,ligament_spanning,crack_extension,mean_crack_direction_deg
67705,67705,-0.488066,-0.487625,0.0,1.397025,1,False,1.397025,0.0
67706,67706,-0.464199,-0.487625,0.0,1.380248,1,False,1.380248,0.0
67707,67707,-0.440332,-0.487625,0.0,1.363682,1,False,1.363682,0.0
67708,67708,-0.416465,-0.487625,0.0,1.347335,1,False,1.347335,0.0
67709,67709,-0.392598,-0.487625,0.0,1.331215,1,False,1.331215,0.0
67710,67710,-0.36873,-0.487625,0.0,1.315331,1,False,1.315331,0.0
67711,67711,-0.344863,-0.487625,0.0,1.299691,1,False,1.299691,0.0
67712,67712,-0.320996,-0.487625,0.0,1.284305,1,False,1.284305,0.0
67713,67713,-0.297129,-0.487625,0.0,1.26918,1,False,1.26918,0.0
67714,67714,-0.273262,-0.487625,0.0,1.254327,1,False,1.254327,0.0
67715,67715,-0.249395,-0.487625,0.0,1.239756,1,False,1.239756,0.0
67716,67716,-0.225527,-0.487625,0.0,1.225477,1,False,1.225477,0.0
67717,67717,-0.20166,-0.487625,0.0,1.211499,1,False,1.211499,0.0
67718,67718,-0.177793,-0.487625,0.0,1.197834,1,False,1.197834,0.0
67719,67719,-0.153926,-0.487625,0.0,1.184493,1,False,1.184493,0.0
67720,67720,-0.130059,-0.487625,0.0,1.171485,1,False,1.171485,0.0
67721,67721,-0.106191,-0.487625,0.0,1.158823,1,False,1.158823,0.0
67722,67722,-0.081758,-0.487625,0.0,1.146231,1,False,1.146231,0.0
67723,67723,-0.060715,-0.487625,0.0,1.135696,1,False,1.135696,0.0
67724,67724,-0.046477,-0.487625,0.0,1.128734,1,False,1.128734,0.0
67725,67725,-0.036984,-0.487625,0.0,1.124169,1,False,1.124169,0.0
67726,67726,-0.030656,-0.487625,0.0,1.12116,1,False,1.12116,0.0
67727,67727,-0.026437,-0.487625,0.0,1.119169,1,False,1.119169,0.0
67728,67728,-0.023625,-0.487625,0.0,1.117849,1,False,1.117849,0.0
67729,67729,-0.02175,-0.487625,0.0,1.116972,1,False,1.116972,0.0
67730,67730,-0.0205,-0.487625,0.0,1.116389,1,False,1.116389,0.0
67731,67731,-0.0195,-0.487625,0.0,1.115923,1,False,1.115923,0.0
67732,67732,-0.0185,-0.487625,0.0,1.115458,1,False,1.115458,0.0
67733,67733,-0.0175,-0.487625,0.0,1.114993,1,False,1.114993,0.0
67734,67734,-0.0165,-0.487625,0.0,1.114529,1,False,1.114529,0.0
67735,67735,-0.0155,-0.487625,0.0,1.114066,1,False,1.114066,0.0
67736,67736,-0.0145,-0.487625,0.0,1.113604,1,False,1.113604,0.0
67737,67737,-0.0135,-0.487625,0.0,1.113142,1,False,1.113142,0.0
67738,67738,-0.0125,-0.487625,0.0,1.112681,1,False,1.112681,0.0
67739,67739,-0.0115,-0.487625,0.0,1.112221,1,False,1.112221,0.0
67740,67740,-0.0105,-0.487625,0.0,1.111762,1,False,1.111762,0.0
67741,67741,-0.0095,-0.487625,0.0,1.111303,1,False,1.111303,0.0
67742,67742,-0.0085,-0.487625,0.0,1.110845,1,False,1.110845,0.0
67743,67743,-0.0075,-0.487625,0.0,1.110387,1,False,1.110387,0.0
67744,67744,-0.0065,-0.487625,0.0,1.109931,1,False,1.109931,0.0
67745,67745,-0.0055,-0.487625,0.0,1.109475,1,False,1.109475,0.0
67746,67746,-0.0045,-0.487625,0.0,1.109019,1,False,1.109019,0.0
67747,67747,-0.0035,-0.487625,0.0,1.108565,1,False,1.108565,0.0
67748,67748,-0.0025,-0.487625,0.0,1.108111,1,False,1.108111,0.0
67749,67749,-0.0015,-0.487625,0.0,1.107658,1,False,1.107658,0.0
67750,67750,-0.0005,-0.487625,0.0,1.107205,1,False,1.107205,0.0
67751,67751,0.0005,-0.487625,0.0,1.106754,1,False,1.106754,0.0
67752,67752,0.0015,-0.487625,0.0,1.106303,1,False,1.106303,0.0
67753,67753,0.0025,-0.487625,0.0,1.105853,1,False,1.105853,0.0
67754,67754,0.0035,-0.487625,0.0,1.105403,1,False,1.105403,0.0
