quantity,value
case_id,H0
local_target_h_mm,0.005
target_h_over_lc,0.3333333333
deck_sha256,89ce3f32e396b0e484be6753a272dd6bbb2a2f9daff426d6a57419f57d665b72
source_sha256,18944e5bb2a3b7973fd0d4bff03f8e078eef667965343d8a29156d093f53f5f1
mesh_sha256,89ce3f32e396b0e484be6753a272dd6bbb2a2f9daff426d6a57419f57d665b72
exact_author_inputs_verified,True
node_count,3999
physical_element_count,3930
layered_element_count,11790
edge_length_all_min,0.002964465904142128
edge_length_all_median,0.005776611294262174
edge_length_all_mean,0.012188067399059232
edge_length_all_max,0.50540865399
actual_local_h_corridor_min,0.003947195994220422
actual_local_h_corridor_median,0.004943904068987025
actual_local_h_corridor_mean,0.0050127391907145834
actual_local_h_corridor_max,0.019814436700632865
corridor_element_count,
corridor_h_over_lc_median,0.329593604599135
