quantity,value
case_id,H1_h0025
local_target_h_mm,0.0025
target_h_over_lc,0.16666666666666669
node_count,12382
physical_element_count,12064
layered_element_count,36192
x_node_count,233
y_node_count,53
max_neighbour_size_ratio,1.5000000000000002
rp_node,12382
deck_sha256,90a305ef29714a6ee795e6b2fd9ef53856141f2ef66928665b5640422d12c35b
source_sha256,745db8fcfb612895e0289f4533c90d204cc9b2ade3678a035614feeb308b5ead
mesh_sha256,90a305ef29714a6ee795e6b2fd9ef53856141f2ef66928665b5640422d12c35b
quality_max_aspect_ratio,10.000000000000213
quality_negative_jacobian_count,0
quality_positive_orientation_fraction,1.0
quality_corridor_element_count,832
quality_actual_local_h_corridor_median,0.0025000000000000022
quality_actual_local_h_corridor_mean,0.0025000001002403846
quality_actual_local_h_corridor_min,0.0024999999999999467
quality_actual_local_h_corridor_max,0.0025000008
edge_length_all_min,0.0024999999999999467
edge_length_all_median,0.0025000008
edge_length_all_mean,0.011770557029177718
edge_length_all_max,0.025
actual_local_h_corridor_min,0.0024999999999999467
actual_local_h_corridor_median,0.0025000000000000022
actual_local_h_corridor_mean,0.0025000001002403846
actual_local_h_corridor_max,0.0025000008
corridor_h_over_lc_median,0.16666666666666682
corridor_element_count,832
max_aspect_ratio,10.000000000000213
negative_jacobian_count,0
positive_orientation_fraction,1.0
mesh_nodes_sha256,8df120e853a6d6a6772a369c0101119f041b95d27a31b9b511384c0318b26abf
mesh_elements_sha256,5192ae2ccae1ff0fac18b9c06bf5d99dbdf166b240783c86d0f60930464eda14
