node_id,x,y
1,-0.5,-0.5
2,-0.4761328125,-0.5
3,-0.452265625,-0.5
4,-0.4283984375,-0.5
5,-0.40453125,-0.5
6,-0.3806640625,-0.5
7,-0.356796875,-0.5
8,-0.3329296875,-0.5
9,-0.3090625,-0.5
10,-0.2851953125,-0.5
11,-0.261328125,-0.5
12,-0.2374609375,-0.5
13,-0.21359375,-0.5
14,-0.1897265625,-0.5
15,-0.165859375,-0.5
16,-0.1419921875,-0.5
17,-0.118125,-0.5
18,-0.0942578125,-0.5
19,-0.0692578125,-0.5
20,-0.052171875,-0.5
21,-0.04078125,-0.5
22,-0.0331875,-0.5
23,-0.028125,-0.5
24,-0.02475,-0.5
25,-0.0225,-0.5
26,-0.021,-0.5
27,-0.02,-0.5
28,-0.019,-0.5
29,-0.018,-0.5
30,-0.017,-0.5
31,-0.016,-0.5
32,-0.015,-0.5
33,-0.014,-0.5
34,-0.013,-0.5
35,-0.012,-0.5
36,-0.011,-0.5
37,-0.01,-0.5
38,-0.009,-0.5
39,-0.008,-0.5
40,-0.007,-0.5
41,-0.006,-0.5
42,-0.005,-0.5
43,-0.004,-0.5
44,-0.003,-0.5
45,-0.002,-0.5
46,-0.001,-0.5
47,0.0,-0.5
48,0.001,-0.5
49,0.002,-0.5
50,0.003,-0.5
51,0.004,-0.5
52,0.005,-0.5
53,0.006,-0.5
54,0.007,-0.5
55,0.008,-0.5
56,0.009,-0.5
57,0.01,-0.5
58,0.011,-0.5
59,0.012,-0.5
60,0.013,-0.5
61,0.014,-0.5
62,0.015,-0.5
63,0.016,-0.5
64,0.017,-0.5
65,0.018,-0.5
66,0.019,-0.5
67,0.02,-0.5
68,0.021,-0.5
69,0.022,-0.5
70,0.023,-0.5
71,0.024,-0.5
72,0.025,-0.5
73,0.026,-0.5
74,0.027,-0.5
75,0.028,-0.5
76,0.029,-0.5
77,0.03,-0.5
78,0.031,-0.5
79,0.032,-0.5
80,0.033,-0.5
81,0.034,-0.5
82,0.035,-0.5
83,0.036,-0.5
84,0.037,-0.5
85,0.038,-0.5
86,0.039,-0.5
87,0.04,-0.5
88,0.041,-0.5
89,0.042,-0.5
90,0.043,-0.5
91,0.044,-0.5
92,0.045,-0.5
93,0.046,-0.5
94,0.047,-0.5
95,0.048,-0.5
96,0.049,-0.5
97,0.05,-0.5
98,0.051,-0.5
99,0.052,-0.5
100,0.053,-0.5
101,0.054,-0.5
102,0.055,-0.5
103,0.056,-0.5
104,0.057,-0.5
105,0.058,-0.5
106,0.059,-0.5
107,0.06,-0.5
108,0.061,-0.5
109,0.062,-0.5
110,0.063,-0.5
111,0.064,-0.5
112,0.065,-0.5
113,0.066,-0.5
114,0.067,-0.5
115,0.068,-0.5
116,0.069,-0.5
117,0.07,-0.5
118,0.071,-0.5
119,0.072,-0.5
120,0.073,-0.5
121,0.074,-0.5
122,0.075,-0.5
123,0.076,-0.5
124,0.077,-0.5
125,0.078,-0.5
126,0.079,-0.5
127,0.08,-0.5
128,0.081,-0.5
129,0.082,-0.5
130,0.083,-0.5
131,0.084,-0.5
132,0.085,-0.5
133,0.086,-0.5
134,0.087,-0.5
135,0.088,-0.5
136,0.089,-0.5
137,0.09,-0.5
138,0.091,-0.5
139,0.092,-0.5
140,0.093,-0.5
141,0.094,-0.5
142,0.095,-0.5
143,0.096,-0.5
144,0.097,-0.5
145,0.098,-0.5
146,0.099,-0.5
147,0.1,-0.5
148,0.101,-0.5
149,0.102,-0.5
150,0.103,-0.5
151,0.104,-0.5
152,0.105,-0.5
153,0.106,-0.5
154,0.107,-0.5
155,0.108,-0.5
156,0.109,-0.5
157,0.11,-0.5
158,0.111,-0.5
159,0.112,-0.5
160,0.113,-0.5
161,0.114,-0.5
162,0.115,-0.5
163,0.116,-0.5
164,0.117,-0.5
165,0.118,-0.5
166,0.119,-0.5
167,0.12,-0.5
168,0.121,-0.5
169,0.122,-0.5
170,0.123,-0.5
171,0.124,-0.5
172,0.125,-0.5
173,0.126,-0.5
174,0.127,-0.5
175,0.128,-0.5
176,0.129,-0.5
177,0.13,-0.5
178,0.131,-0.5
179,0.132,-0.5
180,0.133,-0.5
181,0.134,-0.5
182,0.135,-0.5
183,0.136,-0.5
184,0.137,-0.5
185,0.138,-0.5
186,0.139,-0.5
187,0.14,-0.5
188,0.141,-0.5
189,0.142,-0.5
190,0.143,-0.5
191,0.144,-0.5
192,0.145,-0.5
193,0.146,-0.5
194,0.147,-0.5
195,0.148,-0.5
196,0.149,-0.5
197,0.15,-0.5
198,0.151,-0.5
199,0.152,-0.5
200,0.153,-0.5
201,0.154,-0.5
202,0.155,-0.5
203,0.156,-0.5
204,0.157,-0.5
205,0.158,-0.5
206,0.159,-0.5
207,0.16,-0.5
208,0.161,-0.5
209,0.162,-0.5
210,0.163,-0.5
211,0.164,-0.5
212,0.165,-0.5
213,0.166,-0.5
214,0.167,-0.5
215,0.168,-0.5
216,0.169,-0.5
217,0.17,-0.5
218,0.171,-0.5
219,0.172,-0.5
220,0.173,-0.5
221,0.174,-0.5
222,0.175,-0.5
223,0.176,-0.5
224,0.177,-0.5
225,0.178,-0.5
226,0.179,-0.5
227,0.18,-0.5
228,0.181,-0.5
229,0.182,-0.5
230,0.183,-0.5
231,0.184,-0.5
232,0.185,-0.5
233,0.186,-0.5
234,0.187,-0.5
235,0.188,-0.5
236,0.189,-0.5
237,0.19,-0.5
238,0.191,-0.5
239,0.192,-0.5
240,0.193,-0.5
241,0.194,-0.5
242,0.195,-0.5
243,0.196,-0.5
244,0.197,-0.5
245,0.198,-0.5
246,0.199,-0.5
247,0.2,-0.5
248,0.201,-0.5
249,0.202,-0.5
250,0.203,-0.5
251,0.204,-0.5
252,0.205,-0.5
253,0.206,-0.5
254,0.207,-0.5
255,0.208,-0.5
256,0.209,-0.5
257,0.21,-0.5
258,0.211,-0.5
259,0.212,-0.5
260,0.213,-0.5
261,0.214,-0.5
262,0.215,-0.5
263,0.216,-0.5
264,0.217,-0.5
265,0.218,-0.5
266,0.219,-0.5
267,0.22,-0.5
268,0.221,-0.5
269,0.222,-0.5
270,0.223,-0.5
271,0.224,-0.5
272,0.225,-0.5
273,0.226,-0.5
274,0.227,-0.5
275,0.228,-0.5
276,0.229,-0.5
277,0.23,-0.5
278,0.231,-0.5
279,0.232,-0.5
280,0.233,-0.5
281,0.234,-0.5
282,0.235,-0.5
283,0.236,-0.5
284,0.237,-0.5
285,0.238,-0.5
286,0.239,-0.5
287,0.24,-0.5
288,0.241,-0.5
289,0.242,-0.5
290,0.243,-0.5
291,0.244,-0.5
292,0.245,-0.5
293,0.246,-0.5
294,0.247,-0.5
295,0.248,-0.5
296,0.249,-0.5
297,0.25,-0.5
298,0.251,-0.5
299,0.252,-0.5
300,0.253,-0.5
301,0.254,-0.5
302,0.255,-0.5
303,0.256,-0.5
304,0.257,-0.5
305,0.258,-0.5
306,0.259,-0.5
307,0.26,-0.5
308,0.261,-0.5
309,0.262,-0.5
310,0.263,-0.5
311,0.264,-0.5
312,0.265,-0.5
313,0.266,-0.5
314,0.267,-0.5
315,0.268,-0.5
316,0.269,-0.5
317,0.27,-0.5
318,0.271,-0.5
319,0.272,-0.5
320,0.273,-0.5
321,0.274,-0.5
322,0.275,-0.5
323,0.276,-0.5
324,0.277,-0.5
325,0.278,-0.5
326,0.279,-0.5
327,0.28,-0.5
328,0.281,-0.5
329,0.282,-0.5
330,0.283,-0.5
331,0.284,-0.5
332,0.285,-0.5
333,0.286,-0.5
334,0.287,-0.5
335,0.288,-0.5
336,0.289,-0.5
337,0.29,-0.5
338,0.291,-0.5
339,0.292,-0.5
340,0.293,-0.5
341,0.294,-0.5
342,0.295,-0.5
343,0.296,-0.5
344,0.297,-0.5
345,0.298,-0.5
346,0.299,-0.5
347,0.3,-0.5
348,0.301,-0.5
349,0.302,-0.5
350,0.303,-0.5
351,0.304,-0.5
352,0.305,-0.5
353,0.306,-0.5
354,0.307,-0.5
355,0.308,-0.5
356,0.309,-0.5
357,0.31,-0.5
358,0.311,-0.5
359,0.312,-0.5
360,0.313,-0.5
361,0.314,-0.5
362,0.315,-0.5
363,0.316,-0.5
364,0.317,-0.5
365,0.318,-0.5
366,0.319,-0.5
367,0.32,-0.5
368,0.321,-0.5
369,0.322,-0.5
370,0.323,-0.5
371,0.324,-0.5
372,0.325,-0.5
373,0.326,-0.5
374,0.327,-0.5
375,0.328,-0.5
376,0.329,-0.5
377,0.33,-0.5
378,0.331,-0.5
379,0.332,-0.5
