index,x0_mm,x1_mm,dx_mm
1,-0.5,-0.4761328125,0.0238671875
2,-0.4761328125,-0.452265625,0.0238671875
3,-0.452265625,-0.4283984375,0.0238671875
4,-0.4283984375,-0.40453125,0.0238671875
5,-0.40453125,-0.3806640625,0.0238671875
6,-0.3806640625,-0.356796875,0.0238671875
7,-0.356796875,-0.3329296875,0.0238671875
8,-0.3329296875,-0.3090625,0.0238671875
9,-0.3090625,-0.2851953125,0.0238671875
10,-0.2851953125,-0.261328125,0.0238671875
11,-0.261328125,-0.2374609375,0.0238671875
12,-0.2374609375,-0.21359375,0.0238671875
13,-0.21359375,-0.1897265625,0.0238671875
14,-0.1897265625,-0.165859375,0.0238671875
15,-0.165859375,-0.1419921875,0.0238671875
16,-0.1419921875,-0.118125,0.0238671875
17,-0.118125,-0.0942578125,0.0238671875
18,-0.0942578125,-0.0692578125,0.025
19,-0.0692578125,-0.052171875,0.0170859375
20,-0.052171875,-0.04078125,0.011390625
21,-0.04078125,-0.0331875,0.00759375
22,-0.0331875,-0.028125,0.0050625
23,-0.028125,-0.02475,0.003375
24,-0.02475,-0.0225,0.00225
25,-0.0225,-0.021,0.0015
26,-0.021,-0.02,0.001
27,-0.02,-0.019,0.001
28,-0.019,-0.018,0.001
29,-0.018,-0.017,0.001
30,-0.017,-0.016,0.001
31,-0.016,-0.015,0.001
32,-0.015,-0.014,0.001
33,-0.014,-0.013,0.001
34,-0.013,-0.012,0.001
35,-0.012,-0.011,0.001
36,-0.011,-0.01,0.001
37,-0.01,-0.009,0.001
38,-0.009,-0.008,0.001
39,-0.008,-0.007,0.001
40,-0.007,-0.006,0.001
41,-0.006,-0.005,0.001
42,-0.005,-0.004,0.001
43,-0.004,-0.003,0.001
44,-0.003,-0.002,0.001
45,-0.002,-0.001,0.001
46,-0.001,0.0,0.001
47,0.0,0.001,0.001
48,0.001,0.002,0.001
49,0.002,0.003,0.001
50,0.003,0.004,0.001
51,0.004,0.005,0.001
52,0.005,0.006,0.001
53,0.006,0.007,0.001
54,0.007,0.008,0.001
55,0.008,0.009,0.001
56,0.009,0.01,0.001
57,0.01,0.011,0.001
58,0.011,0.012,0.001
59,0.012,0.013,0.001
60,0.013,0.014,0.001
61,0.014,0.015,0.001
62,0.015,0.016,0.001
63,0.016,0.017,0.001
64,0.017,0.018,0.001
65,0.018,0.019,0.001
66,0.019,0.02,0.001
67,0.02,0.021,0.001
68,0.021,0.022,0.001
69,0.022,0.023,0.001
70,0.023,0.024,0.001
71,0.024,0.025,0.001
72,0.025,0.026,0.001
73,0.026,0.027,0.001
74,0.027,0.028,0.001
75,0.028,0.029,0.001
76,0.029,0.03,0.001
77,0.03,0.031,0.001
78,0.031,0.032,0.001
79,0.032,0.033,0.001
80,0.033,0.034,0.001
81,0.034,0.035,0.001
82,0.035,0.036,0.001
83,0.036,0.037,0.001
84,0.037,0.038,0.001
85,0.038,0.039,0.001
86,0.039,0.04,0.001
87,0.04,0.041,0.001
88,0.041,0.042,0.001
89,0.042,0.043,0.001
90,0.043,0.044,0.001
91,0.044,0.045,0.001
92,0.045,0.046,0.001
93,0.046,0.047,0.001
94,0.047,0.048,0.001
95,0.048,0.049,0.001
96,0.049,0.05,0.001
97,0.05,0.051,0.001
98,0.051,0.052,0.001
99,0.052,0.053,0.001
100,0.053,0.054,0.001
