quantity,value
x_node_count,547
y_node_count,63
x_element_count,546
y_element_count,62
refined_region_physical_elements,5200
transition_region_physical_elements,6372
coarse_region_physical_elements,22280
total_physical_elements,33852
total_layered_elements,101556
h_over_l,0.13333333333333333
minimum_edge_size_mm,0.001
maximum_edge_size_mm,0.025
max_neighbor_size_ratio_x,1.5
max_neighbor_size_ratio_y,1.5
notch_adjacent_elements,92
elements_crossing_open_notch_segment,0
nodes,34508
physical_elements,33852
layered_elements,101556
rp_node,34508
notch_lower_face_nodes,46
notch_upper_face_nodes,46
