physical_id,u1_id,u2_id,cps4_id,n1,n2,n3,n4
1,1,3931,7861,10,397,450,9
2,2,3932,7862,350,14,15,393
3,3,3933,7863,263,1352,1291,1901
4,4,3934,7864,1740,1775,293,1739
5,5,3935,7865,164,1739,1741,163
6,6,3936,7866,1738,1777,324,1737
7,7,3937,7867,161,1737,1736,160
8,8,3938,7868,1742,159,160,1736
9,9,3939,7869,158,1803,157,5
10,10,3940,7870,387,22,23,386
11,11,3941,7871,1217,1141,1288,1146
12,12,3942,7872,278,1902,1634,1915
13,13,3943,7873,293,1775,1726,1710
14,14,3944,7874,308,1704,1699,1931
15,15,3945,7875,1786,1820,324,1777
16,16,3946,7876,1820,1865,1798,324
17,17,3947,7877,1736,1798,349,1742
18,18,3948,7878,155,1751,1750,154
19,19,3949,7879,1751,155,156,1831
20,20,3950,7880,1750,1751,1776,1779
21,21,3951,7881,121,122,1810,1745
22,22,3952,7882,122,3,123,1810
23,23,3953,7883,120,121,1745,1747
24,24,3954,7884,1745,1802,235,1747
25,25,3955,7885,251,1840,1891,1841
26,26,3956,7886,1858,1929,1860,1924
27,27,3957,7887,1879,283,282,1943
28,28,3958,7888,299,1882,1956,1878
29,29,3959,7889,315,1853,1938,1827
30,30,3960,7890,1825,331,1856,330
31,31,3961,7891,1789,1748,346,332
32,32,3962,7892,146,346,1748,145
33,33,3963,7893,1792,147,148,1749
34,34,3964,7894,1824,1792,1749,1787
35,35,3965,7895,1787,1877,334,1867
36,36,3966,7896,1846,319,1830,1849
37,37,3967,7897,303,1976,1757,1708
38,38,3968,7898,1698,288,1999,1701
39,39,3969,7899,1635,1633,272,1613
40,40,3970,7900,1610,1632,1619,2008
41,41,3971,7901,1164,1169,1238,1237
42,42,3972,7902,431,357,495,488
43,43,3973,7903,421,85,86,420
44,44,3974,7904,421,420,512,489
45,45,3975,7905,407,97,98,406
46,46,3976,7906,1155,1341,1224,1150
47,47,3977,7907,1498,1984,1551,1570
48,48,3978,7908,271,1596,1572,1525
49,49,3979,7909,302,1690,1680,1972
50,50,3980,7910,1970,1734,1782,1959
51,51,3981,7911,1959,1847,1814,1970
52,52,3982,7912,332,1824,333,1871
53,53,3983,7913,438,353,524,529
54,54,3984,7914,431,72,73,357
55,55,3985,7915,1249,1244,1307,1309
56,56,3986,7916,1562,1565,1582,1580
57,57,3987,7917,1657,275,1689,1679
58,58,3988,7918,292,1677,1769,1693
59,59,3989,7919,1697,1769,1673,1686
60,60,3990,7920,1945,1673,1769,1677
61,61,3991,7921,1574,1588,1629,1616
62,62,3992,7922,1298,1233,1231,1299
63,63,3993,7923,437,60,61,362
64,64,3994,7924,1310,1254,1246,1308
65,65,3995,7925,483,491,402,407
66,66,3996,7926,449,547,492,448
67,67,3997,7927,1144,1067,1220,1140
68,68,3998,7928,1469,1434,1499,1525
69,69,3999,7929,287,1618,1598,1973
70,70,4000,7930,1691,1765,1972,1973
71,71,4001,7931,1765,301,1773,1960
72,72,4002,7932,1847,1833,1871,1814
73,73,4003,7933,1833,1789,332,1871
74,74,4004,7934,108,448,408,107
75,75,4005,7935,644,550,1293,241
76,76,4006,7936,1351,1292,1149,1350
77,77,4007,7937,254,1435,1395,1898
78,78,4008,7938,1576,1599,1766,286
79,79,4009,7939,1856,331,1848,316
80,80,4010,7940,1396,240,1884,112
81,81,4011,7941,113,1768,1396,112
82,82,4012,7942,1790,1728,1730,1655
83,83,4013,7943,1728,1804,1638,254
84,84,4014,7944,269,1770,285,1925
85,85,4015,7945,1881,1821,284,1882
86,86,4016,7946,1864,1853,1863,1881
87,87,4017,7947,1863,1853,315,1869
88,88,4018,7948,1655,1396,1768,239
89,89,4019,7949,239,1768,1744,1788
90,90,4020,7950,1788,1904,1834,239
91,91,4021,7951,1816,1818,268,1804
92,92,4022,7952,283,284,1854,1957
93,93,4023,7953,299,1864,1881,1882
94,94,4024,7954,1882,284,283,1956
95,95,4025,7955,1828,115,116,1743
96,96,4026,7956,238,1828,1743,1839
97,97,4027,7957,1862,1839,237,252
98,98,4028,7958,1862,1866,1850,253
99,99,4029,7959,1866,266,1874,1955
100,100,4030,7960,1957,1874,282,283
101,101,4031,7961,1746,1743,1886,1885
102,102,4032,7962,1743,1746,237,1839
103,103,4033,7963,1860,1784,251,1924
104,104,4034,7964,266,252,1860,1929
105,105,4035,7965,118,119,1829,1885
