physical_id,u1_id,u2_id,cps4_id,n1,n2,n3,n4
1,1,12065,24129,1,2,235,234
2,2,12066,24130,2,3,236,235
3,3,12067,24131,3,4,237,236
4,4,12068,24132,4,5,238,237
5,5,12069,24133,5,6,239,238
6,6,12070,24134,6,7,240,239
7,7,12071,24135,7,8,241,240
8,8,12072,24136,8,9,242,241
9,9,12073,24137,9,10,243,242
10,10,12074,24138,10,11,244,243
11,11,12075,24139,11,12,245,244
12,12,12076,24140,12,13,246,245
13,13,12077,24141,13,14,247,246
14,14,12078,24142,14,15,248,247
15,15,12079,24143,15,16,249,248
16,16,12080,24144,16,17,250,249
17,17,12081,24145,17,18,251,250
18,18,12082,24146,18,19,252,251
19,19,12083,24147,19,20,253,252
20,20,12084,24148,20,21,254,253
21,21,12085,24149,21,22,255,254
22,22,12086,24150,22,23,256,255
23,23,12087,24151,23,24,257,256
24,24,12088,24152,24,25,258,257
25,25,12089,24153,25,26,259,258
26,26,12090,24154,26,27,260,259
27,27,12091,24155,27,28,261,260
28,28,12092,24156,28,29,262,261
29,29,12093,24157,29,30,263,262
30,30,12094,24158,30,31,264,263
31,31,12095,24159,31,32,265,264
32,32,12096,24160,32,33,266,265
33,33,12097,24161,33,34,267,266
34,34,12098,24162,34,35,268,267
35,35,12099,24163,35,36,269,268
36,36,12100,24164,36,37,270,269
37,37,12101,24165,37,38,271,270
38,38,12102,24166,38,39,272,271
39,39,12103,24167,39,40,273,272
40,40,12104,24168,40,41,274,273
41,41,12105,24169,41,42,275,274
42,42,12106,24170,42,43,276,275
43,43,12107,24171,43,44,277,276
44,44,12108,24172,44,45,278,277
45,45,12109,24173,45,46,279,278
46,46,12110,24174,46,47,280,279
47,47,12111,24175,47,48,281,280
48,48,12112,24176,48,49,282,281
49,49,12113,24177,49,50,283,282
50,50,12114,24178,50,51,284,283
51,51,12115,24179,51,52,285,284
52,52,12116,24180,52,53,286,285
53,53,12117,24181,53,54,287,286
54,54,12118,24182,54,55,288,287
55,55,12119,24183,55,56,289,288
56,56,12120,24184,56,57,290,289
57,57,12121,24185,57,58,291,290
58,58,12122,24186,58,59,292,291
59,59,12123,24187,59,60,293,292
60,60,12124,24188,60,61,294,293
61,61,12125,24189,61,62,295,294
62,62,12126,24190,62,63,296,295
63,63,12127,24191,63,64,297,296
64,64,12128,24192,64,65,298,297
65,65,12129,24193,65,66,299,298
66,66,12130,24194,66,67,300,299
67,67,12131,24195,67,68,301,300
68,68,12132,24196,68,69,302,301
69,69,12133,24197,69,70,303,302
70,70,12134,24198,70,71,304,303
71,71,12135,24199,71,72,305,304
72,72,12136,24200,72,73,306,305
73,73,12137,24201,73,74,307,306
74,74,12138,24202,74,75,308,307
75,75,12139,24203,75,76,309,308
76,76,12140,24204,76,77,310,309
77,77,12141,24205,77,78,311,310
78,78,12142,24206,78,79,312,311
79,79,12143,24207,79,80,313,312
80,80,12144,24208,80,81,314,313
81,81,12145,24209,81,82,315,314
82,82,12146,24210,82,83,316,315
83,83,12147,24211,83,84,317,316
84,84,12148,24212,84,85,318,317
85,85,12149,24213,85,86,319,318
86,86,12150,24214,86,87,320,319
87,87,12151,24215,87,88,321,320
88,88,12152,24216,88,89,322,321
89,89,12153,24217,89,90,323,322
90,90,12154,24218,90,91,324,323
91,91,12155,24219,91,92,325,324
92,92,12156,24220,92,93,326,325
93,93,12157,24221,93,94,327,326
94,94,12158,24222,94,95,328,327
95,95,12159,24223,95,96,329,328
96,96,12160,24224,96,97,330,329
97,97,12161,24225,97,98,331,330
98,98,12162,24226,98,99,332,331
99,99,12163,24227,99,100,333,332
100,100,12164,24228,100,101,334,333
101,101,12165,24229,101,102,335,334
102,102,12166,24230,102,103,336,335
103,103,12167,24231,103,104,337,336
104,104,12168,24232,104,105,338,337
105,105,12169,24233,105,106,339,338
106,106,12170,24234,106,107,340,339
107,107,12171,24235,107,108,341,340
108,108,12172,24236,108,109,342,341
109,109,12173,24237,109,110,343,342
110,110,12174,24238,110,111,344,343
111,111,12175,24239,111,112,345,344
112,112,12176,24240,112,113,346,345
113,113,12177,24241,113,114,347,346
114,114,12178,24242,114,115,348,347
115,115,12179,24243,115,116,349,348
116,116,12180,24244,116,117,350,349
117,117,12181,24245,117,118,351,350
118,118,12182,24246,118,119,352,351
119,119,12183,24247,119,120,353,352
120,120,12184,24248,120,121,354,353
121,121,12185,24249,121,122,355,354
122,122,12186,24250,122,123,356,355
123,123,12187,24251,123,124,357,356
124,124,12188,24252,124,125,358,357
125,125,12189,24253,125,126,359,358
126,126,12190,24254,126,127,360,359
127,127,12191,24255,127,128,361,360
128,128,12192,24256,128,129,362,361
129,129,12193,24257,129,130,363,362
130,130,12194,24258,130,131,364,363
131,131,12195,24259,131,132,365,364
132,132,12196,24260,132,133,366,365
133,133,12197,24261,133,134,367,366
134,134,12198,24262,134,135,368,367
135,135,12199,24263,135,136,369,368
136,136,12200,24264,136,137,370,369
137,137,12201,24265,137,138,371,370
138,138,12202,24266,138,139,372,371
139,139,12203,24267,139,140,373,372
140,140,12204,24268,140,141,374,373
141,141,12205,24269,141,142,375,374
142,142,12206,24270,142,143,376,375
143,143,12207,24271,143,144,377,376
144,144,12208,24272,144,145,378,377
145,145,12209,24273,145,146,379,378
146,146,12210,24274,146,147,380,379
147,147,12211,24275,147,148,381,380
148,148,12212,24276,148,149,382,381
149,149,12213,24277,149,150,383,382
150,150,12214,24278,150,151,384,383
151,151,12215,24279,151,152,385,384
152,152,12216,24280,152,153,386,385
153,153,12217,24281,153,154,387,386
