element_id,n1,n2,n3,n4
1,1,2,235,234
2,2,3,236,235
3,3,4,237,236
4,4,5,238,237
5,5,6,239,238
6,6,7,240,239
7,7,8,241,240
8,8,9,242,241
9,9,10,243,242
10,10,11,244,243
11,11,12,245,244
12,12,13,246,245
13,13,14,247,246
14,14,15,248,247
15,15,16,249,248
16,16,17,250,249
17,17,18,251,250
18,18,19,252,251
19,19,20,253,252
20,20,21,254,253
21,21,22,255,254
22,22,23,256,255
23,23,24,257,256
24,24,25,258,257
25,25,26,259,258
26,26,27,260,259
27,27,28,261,260
28,28,29,262,261
29,29,30,263,262
30,30,31,264,263
31,31,32,265,264
32,32,33,266,265
33,33,34,267,266
34,34,35,268,267
35,35,36,269,268
36,36,37,270,269
37,37,38,271,270
38,38,39,272,271
39,39,40,273,272
40,40,41,274,273
41,41,42,275,274
42,42,43,276,275
43,43,44,277,276
44,44,45,278,277
45,45,46,279,278
46,46,47,280,279
47,47,48,281,280
48,48,49,282,281
49,49,50,283,282
50,50,51,284,283
51,51,52,285,284
52,52,53,286,285
53,53,54,287,286
54,54,55,288,287
55,55,56,289,288
56,56,57,290,289
57,57,58,291,290
58,58,59,292,291
59,59,60,293,292
60,60,61,294,293
61,61,62,295,294
62,62,63,296,295
63,63,64,297,296
64,64,65,298,297
65,65,66,299,298
66,66,67,300,299
67,67,68,301,300
68,68,69,302,301
69,69,70,303,302
70,70,71,304,303
71,71,72,305,304
72,72,73,306,305
73,73,74,307,306
74,74,75,308,307
75,75,76,309,308
76,76,77,310,309
77,77,78,311,310
78,78,79,312,311
79,79,80,313,312
80,80,81,314,313
81,81,82,315,314
82,82,83,316,315
83,83,84,317,316
84,84,85,318,317
85,85,86,319,318
86,86,87,320,319
87,87,88,321,320
88,88,89,322,321
89,89,90,323,322
90,90,91,324,323
91,91,92,325,324
92,92,93,326,325
93,93,94,327,326
94,94,95,328,327
95,95,96,329,328
96,96,97,330,329
97,97,98,331,330
98,98,99,332,331
99,99,100,333,332
100,100,101,334,333
101,101,102,335,334
102,102,103,336,335
103,103,104,337,336
104,104,105,338,337
105,105,106,339,338
106,106,107,340,339
107,107,108,341,340
108,108,109,342,341
109,109,110,343,342
110,110,111,344,343
111,111,112,345,344
112,112,113,346,345
113,113,114,347,346
114,114,115,348,347
115,115,116,349,348
116,116,117,350,349
117,117,118,351,350
118,118,119,352,351
119,119,120,353,352
120,120,121,354,353
121,121,122,355,354
122,122,123,356,355
123,123,124,357,356
124,124,125,358,357
125,125,126,359,358
126,126,127,360,359
127,127,128,361,360
128,128,129,362,361
129,129,130,363,362
130,130,131,364,363
131,131,132,365,364
132,132,133,366,365
133,133,134,367,366
134,134,135,368,367
135,135,136,369,368
136,136,137,370,369
137,137,138,371,370
138,138,139,372,371
139,139,140,373,372
140,140,141,374,373
141,141,142,375,374
142,142,143,376,375
143,143,144,377,376
144,144,145,378,377
145,145,146,379,378
146,146,147,380,379
147,147,148,381,380
148,148,149,382,381
149,149,150,383,382
150,150,151,384,383
151,151,152,385,384
152,152,153,386,385
153,153,154,387,386
154,154,155,388,387
155,155,156,389,388
156,156,157,390,389
157,157,158,391,390
158,158,159,392,391
159,159,160,393,392
160,160,161,394,393
161,161,162,395,394
162,162,163,396,395
163,163,164,397,396
164,164,165,398,397
