node_id,x,y
1,-0.5,-0.5
2,-0.4762913603,-0.5
3,-0.4525827206,-0.5
4,-0.4288740809,-0.5
5,-0.4051654412,-0.5
6,-0.3814568015,-0.5
7,-0.3577481618,-0.5
8,-0.3340395221,-0.5
9,-0.3103308824,-0.5
10,-0.2866222427,-0.5
11,-0.262913603,-0.5
12,-0.2392049633,-0.5
13,-0.2154963236,-0.5
14,-0.1917876839,-0.5
15,-0.1680790442,-0.5
16,-0.1443704045,-0.5
17,-0.1206617648,-0.5
18,-0.0969531251,-0.5
19,-0.0719531251,-0.5
20,-0.0529687501,-0.5
21,-0.0403125001,-0.5
22,-0.0318750001,-0.5
23,-0.0262500001,-0.5
24,-0.0225000001,-0.5
25,-0.0200000001,-0.5
26,-0.0175000001,-0.5
27,-0.0150000001,-0.5
28,-0.0125000001,-0.5
29,-0.0100000001,-0.5
30,-0.0075000001,-0.5
31,-0.0050000001,-0.5
32,-0.0025000001,-0.5
33,0.0,-0.5
34,0.0025,-0.5
35,0.005,-0.5
36,0.0075,-0.5
37,0.01,-0.5
38,0.0125,-0.5
39,0.015,-0.5
40,0.0175,-0.5
41,0.02,-0.5
42,0.0225,-0.5
43,0.025,-0.5
44,0.0275,-0.5
45,0.03,-0.5
46,0.0325,-0.5
47,0.035,-0.5
48,0.0375,-0.5
49,0.04,-0.5
50,0.0425,-0.5
51,0.045,-0.5
52,0.0475,-0.5
53,0.05,-0.5
54,0.0525,-0.5
55,0.055,-0.5
56,0.0575,-0.5
57,0.06,-0.5
58,0.0625,-0.5
59,0.065,-0.5
60,0.0675,-0.5
61,0.07,-0.5
62,0.0725,-0.5
63,0.075,-0.5
64,0.0775,-0.5
65,0.08,-0.5
66,0.0825,-0.5
67,0.085,-0.5
68,0.0875,-0.5
69,0.09,-0.5
70,0.0925,-0.5
71,0.095,-0.5
72,0.0975,-0.5
73,0.1,-0.5
74,0.1025,-0.5
75,0.105,-0.5
76,0.1075,-0.5
77,0.11,-0.5
78,0.1125,-0.5
79,0.115,-0.5
