target_kind,target_label,target_ip,field,support,method
node,1,,d,source_node:1;source_node:2;source_node:5;source_node:6,idw_k4
node,2,,d,source_node:2;source_node:1;source_node:6;source_node:3,idw_k4
node,3,,d,source_node:3;source_node:2;source_node:7;source_node:6,idw_k4
node,4,,d,source_node:3;source_node:4;source_node:7;source_node:8,idw_k4
node,5,,d,source_node:4;source_node:8;source_node:3;source_node:7,idw_k4
node,6,,d,source_node:5;source_node:9;source_node:6;source_node:10,idw_k4
node,7,,d,source_node:6;source_node:10;source_node:5;source_node:9,idw_k4
node,8,,d,source_node:7;source_node:11;source_node:6;source_node:10,idw_k4
node,9,,d,source_node:7;source_node:11;source_node:8;source_node:12,idw_k4
node,10,,d,source_node:8;source_node:12;source_node:7;source_node:11,idw_k4
node,11,,d,source_node:13;source_node:14;source_node:9;source_node:10,idw_k4
node,12,,d,source_node:14;source_node:13;source_node:10;source_node:15,idw_k4
node,13,,d,source_node:15;source_node:14;source_node:11;source_node:10,idw_k4
node,14,,d,source_node:15;source_node:16;source_node:11;source_node:12,idw_k4
node,15,,d,source_node:16;source_node:12;source_node:15;source_node:11,idw_k4
element,1,1,H,source_element:1:ip:1;source_element:4:ip:1;source_element:2:ip:1;source_element:5:ip:1,idw_k4_then_max_H_old
element,2,1,H,source_element:2:ip:1;source_element:1:ip:1;source_element:5:ip:1;source_element:4:ip:1,idw_k4_then_max_H_old
element,3,1,H,source_element:2:ip:1;source_element:3:ip:1;source_element:5:ip:1;source_element:6:ip:1,idw_k4_then_max_H_old
element,4,1,H,source_element:3:ip:1;source_element:6:ip:1;source_element:2:ip:1;source_element:5:ip:1,idw_k4_then_max_H_old
element,5,1,H,source_element:7:ip:1;source_element:4:ip:1;source_element:8:ip:1;source_element:5:ip:1,idw_k4_then_max_H_old
element,6,1,H,source_element:8:ip:1;source_element:5:ip:1;source_element:7:ip:1;source_element:4:ip:1,idw_k4_then_max_H_old
element,7,1,H,source_element:8:ip:1;source_element:9:ip:1;source_element:5:ip:1;source_element:6:ip:1,idw_k4_then_max_H_old
element,8,1,H,source_element:9:ip:1;source_element:6:ip:1;source_element:8:ip:1;source_element:5:ip:1,idw_k4_then_max_H_old
