target_node,x,y,d_raw,d_bounded,d_exact_reference,support
1,-0.459,-0.533,0.20671087917782557,0.20671087917782557,0.20331767851327506,source_node:1;source_node:2;source_node:5;source_node:6
2,-0.209,-0.533,0.2522177947526207,0.2522177947526207,0.22934716918016837,source_node:2;source_node:1;source_node:6;source_node:3
3,0.041,-0.533,0.34625058960525695,0.34625058960525695,0.28804182698093367,source_node:3;source_node:2;source_node:7;source_node:6
4,0.291,-0.533,0.3473318364937708,0.3473318364937708,0.2895782949003838,source_node:3;source_node:4;source_node:7;source_node:8
5,0.541,-0.533,0.26052425825135667,0.26052425825135667,0.23091060118201331,source_node:4;source_node:8;source_node:3;source_node:7
6,-0.459,-0.033,0.24166493342204778,0.24166493342204778,0.2192078809061094,source_node:5;source_node:9;source_node:6;source_node:10
7,-0.209,-0.033,0.35209619833350003,0.35209619833350003,0.3699070383970574,source_node:6;source_node:10;source_node:5;source_node:9
8,0.041,-0.033,0.5695545953759855,0.5695545953759855,0.7097229646089758,source_node:7;source_node:11;source_node:6;source_node:10
9,0.291,-0.033,0.573417601696219,0.573417601696219,0.718618429523604,source_node:7;source_node:11;source_node:8;source_node:12
10,0.541,-0.033,0.4303515468022837,0.4303515468022837,0.3789586133390168,source_node:8;source_node:12;source_node:7;source_node:11
11,-0.459,0.46699999999999997,0.203137482189657,0.203137482189657,0.20147125607161834,source_node:13;source_node:14;source_node:9;source_node:10
12,-0.209,0.46699999999999997,0.21576703669042016,0.21576703669042016,0.21301428112108142,source_node:14;source_node:13;source_node:10;source_node:15
13,0.041,0.46699999999999997,0.2663474273870164,0.2663474273870164,0.23904298502213867,source_node:15;source_node:14;source_node:11;source_node:10
14,0.291,0.46699999999999997,0.26666006161893135,0.26666006161893135,0.23972434632531875,source_node:15;source_node:16;source_node:11;source_node:12
15,0.541,0.46699999999999997,0.22054143404336266,0.22054143404336266,0.21370759990289614,source_node:16;source_node:12;source_node:15;source_node:11
