element,n1,n2,n3,n4
1,10,397,450,9
2,350,14,15,393
3,263,1352,1291,1901
4,1740,1775,293,1739
5,164,1739,1741,163
6,1738,1777,324,1737
7,161,1737,1736,160
8,1742,159,160,1736
9,158,1803,157,5
10,387,22,23,386
11,1217,1141,1288,1146
12,278,1902,1634,1915
13,293,1775,1726,1710
14,308,1704,1699,1931
15,1786,1820,324,1777
16,1820,1865,1798,324
17,1736,1798,349,1742
18,155,1751,1750,154
19,1751,155,156,1831
20,1750,1751,1776,1779
21,121,122,1810,1745
22,122,3,123,1810
23,120,121,1745,1747
24,1745,1802,235,1747
25,251,1840,1891,1841
26,1858,1929,1860,1924
27,1879,283,282,1943
28,299,1882,1956,1878
29,315,1853,1938,1827
30,1825,331,1856,330
31,1789,1748,346,332
32,146,346,1748,145
33,1792,147,148,1749
34,1824,1792,1749,1787
35,1787,1877,334,1867
36,1846,319,1830,1849
37,303,1976,1757,1708
38,1698,288,1999,1701
39,1635,1633,272,1613
40,1610,1632,1619,2008
41,1164,1169,1238,1237
42,431,357,495,488
43,421,85,86,420
44,421,420,512,489
45,407,97,98,406
46,1155,1341,1224,1150
47,1498,1984,1551,1570
48,271,1596,1572,1525
49,302,1690,1680,1972
50,1970,1734,1782,1959
51,1959,1847,1814,1970
52,332,1824,333,1871
53,438,353,524,529
54,431,72,73,357
55,1249,1244,1307,1309
56,1562,1565,1582,1580
57,1657,275,1689,1679
58,292,1677,1769,1693
59,1697,1769,1673,1686
60,1945,1673,1769,1677
61,1574,1588,1629,1616
62,1298,1233,1231,1299
63,437,60,61,362
64,1310,1254,1246,1308
65,483,491,402,407
66,449,547,492,448
67,1144,1067,1220,1140
68,1469,1434,1499,1525
69,287,1618,1598,1973
70,1691,1765,1972,1973
71,1765,301,1773,1960
72,1847,1833,1871,1814
73,1833,1789,332,1871
74,108,448,408,107
75,644,550,1293,241
76,1351,1292,1149,1350
77,254,1435,1395,1898
78,1576,1599,1766,286
79,1856,331,1848,316
80,1396,240,1884,112
81,113,1768,1396,112
82,1790,1728,1730,1655
83,1728,1804,1638,254
84,269,1770,285,1925
85,1881,1821,284,1882
86,1864,1853,1863,1881
87,1863,1853,315,1869
88,1655,1396,1768,239
89,239,1768,1744,1788
90,1788,1904,1834,239
91,1816,1818,268,1804
92,283,284,1854,1957
93,299,1864,1881,1882
94,1882,284,283,1956
95,1828,115,116,1743
96,238,1828,1743,1839
97,1862,1839,237,252
98,1862,1866,1850,253
99,1866,266,1874,1955
100,1957,1874,282,283
101,1746,1743,1886,1885
102,1743,1746,237,1839
103,1860,1784,251,1924
104,266,252,1860,1929
105,118,119,1829,1885
106,119,120,1747,1829
107,1840,251,1784,236
108,1799,249,1802,1888
109,123,124,1888,1810
110,1807,250,249,264
111,1841,1837,281,1858
112,1943,1870,1868,297
113,328,1947,1852,1826
114,1928,313,1947,328
115,1827,1812,330,315
116,145,1748,1809,144
117,1764,1799,125,126
118,279,265,1807,264
119,1851,281,1837,280
120,1859,297,1868,296
121,328,1835,329,1928
122,1812,1755,345,330
123,144,1809,345,143
124,126,127,1760,1764
125,264,1764,1760,279
126,279,1842,280,265
127,296,295,1838,311
128,1948,312,1875,1949
129,1826,1813,1835,328
130,1808,344,1835,343
131,142,1755,1808,141
132,127,128,1800,1760
133,1760,1800,1890,279
134,295,1842,1805,1838
135,310,1911,1838,1805
136,1910,1857,1911,326
137,1813,1752,343,1835
138,343,140,141,1808
139,1887,1800,128,129
140,1887,1761,1892,294
141,310,1805,1892,309
142,1795,138,139,1752
143,1752,139,140,343
144,1762,1761,130,131
145,1843,1907,325,1806
146,1811,1753,341,1836
147,341,137,138,1795
148,1761,1762,309,1892
149,1762,1763,325,309
150,1796,135,136,1753
151,1753,136,137,341
152,133,339,1763,132
153,134,339,133,4
154,339,134,135,1796
155,149,347,1749,148
156,347,149,150,1793
157,1861,1877,1823,1880
158,1817,319,1846,1861
159,1778,1819,304,1757
160,1711,1707,2001,2005
161,1672,1684,1681,1683
162,1579,1611,1630,1621
163,1244,1245,1334,1307
164,151,1754,1793,150
165,1823,1793,1754,1783
166,1783,1876,336,1873
167,321,1725,1729,1781
168,1724,305,1733,1725
169,1702,1709,1700,1694
170,1669,1674,1658,1641
171,1600,1622,1627,1602
172,152,348,1754,151
173,153,1794,348,152
174,1872,1855,1822,1779
175,1767,1774,322,1756
176,1721,1722,307,1719
177,1686,1667,1688,1697
178,1822,1794,1750,1779
179,1930,338,1844,1815
180,1815,322,1774,337
181,1756,322,1801,1759
182,1931,1699,1705,1942
183,1803,158,159,1742
184,1737,161,162,1738
185,1738,162,163,1741
186,1739,164,165,1740
187,1740,165,166,1352
188,167,1291,1352,166
189,237,1746,236,1784
190,1790,1655,239,1834
191,1916,1926,1913,1066
192,1169,1187,1250,1238
193,1226,1229,1294,1225
194,376,375,459,525
195,1281,1212,1280,1332
196,376,34,35,375
197,381,380,461,526
198,1522,1550,1553,262
199,1282,1344,1215,1216
200,368,47,48,443
201,1298,1300,1241,1233
202,249,250,235,1802
203,1790,1834,1804,1728
204,1395,1435,1639,1500
205,255,1467,1431,1392
206,1577,1601,1578,1560
207,1594,1583,1603,1625
208,261,2004,1586,1609
209,1575,1433,1543,1593
210,1899,1837,1841,1891
211,270,1599,1576,1554
212,1554,1618,271,1552
213,1675,1676,2017,1661
214,1613,1637,2000,1635
215,1605,1628,1630,1611
216,1666,1710,1726,1771
217,1858,281,1870,1929
218,1821,285,1770,284
219,1832,1766,285,1821
220,1973,1598,1576,286
221,303,1708,1701,1995
222,1994,1995,1991,1665
