node,x,y
1,-0.5,-0.5
2,-0.4875,-0.5
3,-0.475,-0.5
4,-0.4625,-0.5
5,-0.45,-0.5
6,-0.4375,-0.5
7,-0.425,-0.5
8,-0.4125,-0.5
9,-0.4,-0.5
10,-0.3875,-0.5
11,-0.375,-0.5
12,-0.3625,-0.5
13,-0.35,-0.5
14,-0.3375,-0.5
15,-0.325,-0.5
16,-0.3125,-0.5
17,-0.3,-0.5
18,-0.2875,-0.5
19,-0.275,-0.5
20,-0.2625,-0.5
21,-0.25,-0.5
22,-0.2375,-0.5
23,-0.22499999999999998,-0.5
24,-0.21250000000000002,-0.5
25,-0.2,-0.5
26,-0.1875,-0.5
27,-0.175,-0.5
28,-0.16249999999999998,-0.5
29,-0.15000000000000002,-0.5
30,-0.1375,-0.5
31,-0.125,-0.5
32,-0.11249999999999999,-0.5
33,-0.09999999999999998,-0.5
34,-0.08750000000000002,-0.5
35,-0.07500000000000001,-0.5
36,-0.0625,-0.5
37,-0.04999999999999999,-0.5
38,-0.03749999999999998,-0.5
39,-0.025000000000000022,-0.5
40,-0.012500000000000011,-0.5
41,0.0,-0.5
42,0.012499999999999956,-0.5
43,0.025000000000000022,-0.5
44,0.03749999999999998,-0.5
45,0.050000000000000044,-0.5
46,0.0625,-0.5
47,0.07499999999999996,-0.5
48,0.08750000000000002,-0.5
49,0.09999999999999998,-0.5
50,0.11250000000000004,-0.5
51,0.125,-0.5
52,0.13749999999999996,-0.5
53,0.15000000000000002,-0.5
54,0.16249999999999998,-0.5
55,0.17500000000000004,-0.5
56,0.1875,-0.5
57,0.19999999999999996,-0.5
58,0.21250000000000002,-0.5
59,0.22499999999999998,-0.5
60,0.23750000000000004,-0.5
61,0.25,-0.5
62,0.26249999999999996,-0.5
63,0.275,-0.5
64,0.2875,-0.5
65,0.30000000000000004,-0.5
66,0.3125,-0.5
67,0.32499999999999996,-0.5
68,0.3375,-0.5
69,0.35,-0.5
70,0.36250000000000004,-0.5
71,0.375,-0.5
72,0.38749999999999996,-0.5
73,0.4,-0.5
74,0.4125,-0.5
75,0.42500000000000004,-0.5
76,0.4375,-0.5
77,0.44999999999999996,-0.5
78,0.4625,-0.5
79,0.475,-0.5
80,0.48750000000000004,-0.5
81,0.5,-0.5
82,-0.5,-0.4875
83,-0.4875,-0.4875
84,-0.475,-0.4875
85,-0.4625,-0.4875
86,-0.45,-0.4875
87,-0.4375,-0.4875
88,-0.425,-0.4875
89,-0.4125,-0.4875
90,-0.4,-0.4875
91,-0.3875,-0.4875
92,-0.375,-0.4875
93,-0.3625,-0.4875
94,-0.35,-0.4875
95,-0.3375,-0.4875
96,-0.325,-0.4875
97,-0.3125,-0.4875
98,-0.3,-0.4875
99,-0.2875,-0.4875
100,-0.275,-0.4875
101,-0.2625,-0.4875
102,-0.25,-0.4875
103,-0.2375,-0.4875
104,-0.22499999999999998,-0.4875
105,-0.21250000000000002,-0.4875
106,-0.2,-0.4875
107,-0.1875,-0.4875
108,-0.175,-0.4875
109,-0.16249999999999998,-0.4875
110,-0.15000000000000002,-0.4875
111,-0.1375,-0.4875
112,-0.125,-0.4875
113,-0.11249999999999999,-0.4875
114,-0.09999999999999998,-0.4875
115,-0.08750000000000002,-0.4875
116,-0.07500000000000001,-0.4875
117,-0.0625,-0.4875
118,-0.04999999999999999,-0.4875
119,-0.03749999999999998,-0.4875
120,-0.025000000000000022,-0.4875
121,-0.012500000000000011,-0.4875
122,0.0,-0.4875
123,0.012499999999999956,-0.4875
124,0.025000000000000022,-0.4875
125,0.03749999999999998,-0.4875
126,0.050000000000000044,-0.4875
127,0.0625,-0.4875
128,0.07499999999999996,-0.4875
129,0.08750000000000002,-0.4875
130,0.09999999999999998,-0.4875
131,0.11250000000000004,-0.4875
132,0.125,-0.4875
133,0.13749999999999996,-0.4875
134,0.15000000000000002,-0.4875
135,0.16249999999999998,-0.4875
136,0.17500000000000004,-0.4875
137,0.1875,-0.4875
138,0.19999999999999996,-0.4875
139,0.21250000000000002,-0.4875
140,0.22499999999999998,-0.4875
141,0.23750000000000004,-0.4875
142,0.25,-0.4875
143,0.26249999999999996,-0.4875
144,0.275,-0.4875
145,0.2875,-0.4875
146,0.30000000000000004,-0.4875
147,0.3125,-0.4875
148,0.32499999999999996,-0.4875
149,0.3375,-0.4875
150,0.35,-0.4875
151,0.36250000000000004,-0.4875
152,0.375,-0.4875
153,0.38749999999999996,-0.4875
154,0.4,-0.4875
155,0.4125,-0.4875
156,0.42500000000000004,-0.4875
157,0.4375,-0.4875
158,0.44999999999999996,-0.4875
159,0.4625,-0.4875
160,0.475,-0.4875
161,0.48750000000000004,-0.4875
162,0.5,-0.4875
163,-0.5,-0.475
164,-0.4875,-0.475
165,-0.475,-0.475
166,-0.4625,-0.475
167,-0.45,-0.475
168,-0.4375,-0.475
169,-0.425,-0.475
170,-0.4125,-0.475
171,-0.4,-0.475
172,-0.3875,-0.475
173,-0.375,-0.475
174,-0.3625,-0.475
175,-0.35,-0.475
176,-0.3375,-0.475
177,-0.325,-0.475
178,-0.3125,-0.475
179,-0.3,-0.475
180,-0.2875,-0.475
181,-0.275,-0.475
182,-0.2625,-0.475
183,-0.25,-0.475
184,-0.2375,-0.475
185,-0.22499999999999998,-0.475
186,-0.21250000000000002,-0.475
187,-0.2,-0.475
188,-0.1875,-0.475
189,-0.175,-0.475
190,-0.16249999999999998,-0.475
191,-0.15000000000000002,-0.475
192,-0.1375,-0.475
193,-0.125,-0.475
194,-0.11249999999999999,-0.475
195,-0.09999999999999998,-0.475
196,-0.08750000000000002,-0.475
197,-0.07500000000000001,-0.475
198,-0.0625,-0.475
199,-0.04999999999999999,-0.475
200,-0.03749999999999998,-0.475
201,-0.025000000000000022,-0.475
202,-0.012500000000000011,-0.475
203,0.0,-0.475
204,0.012499999999999956,-0.475
205,0.025000000000000022,-0.475
206,0.03749999999999998,-0.475
207,0.050000000000000044,-0.475
208,0.0625,-0.475
209,0.07499999999999996,-0.475
210,0.08750000000000002,-0.475
211,0.09999999999999998,-0.475
212,0.11250000000000004,-0.475
213,0.125,-0.475
214,0.13749999999999996,-0.475
215,0.15000000000000002,-0.475
216,0.16249999999999998,-0.475
217,0.17500000000000004,-0.475
218,0.1875,-0.475
219,0.19999999999999996,-0.475
220,0.21250000000000002,-0.475
221,0.22499999999999998,-0.475
222,0.23750000000000004,-0.475
223,0.25,-0.475
224,0.26249999999999996,-0.475
225,0.275,-0.475
226,0.2875,-0.475
227,0.30000000000000004,-0.475
228,0.3125,-0.475
229,0.32499999999999996,-0.475
230,0.3375,-0.475
231,0.35,-0.475
232,0.36250000000000004,-0.475
233,0.375,-0.475
234,0.38749999999999996,-0.475
235,0.4,-0.475
236,0.4125,-0.475
237,0.42500000000000004,-0.475
238,0.4375,-0.475
239,0.44999999999999996,-0.475
240,0.4625,-0.475
241,0.475,-0.475
242,0.48750000000000004,-0.475
243,0.5,-0.475
244,-0.5,-0.4625
245,-0.4875,-0.4625
246,-0.475,-0.4625
247,-0.4625,-0.4625
248,-0.45,-0.4625
249,-0.4375,-0.4625
250,-0.425,-0.4625
251,-0.4125,-0.4625
252,-0.4,-0.4625
253,-0.3875,-0.4625
254,-0.375,-0.4625
255,-0.3625,-0.4625
256,-0.35,-0.4625
257,-0.3375,-0.4625
258,-0.325,-0.4625
259,-0.3125,-0.4625
260,-0.3,-0.4625
261,-0.2875,-0.4625
262,-0.275,-0.4625
263,-0.2625,-0.4625
264,-0.25,-0.4625
265,-0.2375,-0.4625
266,-0.22499999999999998,-0.4625
267,-0.21250000000000002,-0.4625
268,-0.2,-0.4625
269,-0.1875,-0.4625
270,-0.175,-0.4625
271,-0.16249999999999998,-0.4625
272,-0.15000000000000002,-0.4625
273,-0.1375,-0.4625
274,-0.125,-0.4625
275,-0.11249999999999999,-0.4625
276,-0.09999999999999998,-0.4625
277,-0.08750000000000002,-0.4625
278,-0.07500000000000001,-0.4625
279,-0.0625,-0.4625
280,-0.04999999999999999,-0.4625
281,-0.03749999999999998,-0.4625
282,-0.025000000000000022,-0.4625
283,-0.012500000000000011,-0.4625
284,0.0,-0.4625
285,0.012499999999999956,-0.4625
286,0.025000000000000022,-0.4625
287,0.03749999999999998,-0.4625
288,0.050000000000000044,-0.4625
289,0.0625,-0.4625
290,0.07499999999999996,-0.4625
291,0.08750000000000002,-0.4625
292,0.09999999999999998,-0.4625
293,0.11250000000000004,-0.4625
294,0.125,-0.4625
295,0.13749999999999996,-0.4625
296,0.15000000000000002,-0.4625
297,0.16249999999999998,-0.4625
298,0.17500000000000004,-0.4625
299,0.1875,-0.4625
300,0.19999999999999996,-0.4625
301,0.21250000000000002,-0.4625
302,0.22499999999999998,-0.4625
303,0.23750000000000004,-0.4625
304,0.25,-0.4625
305,0.26249999999999996,-0.4625
306,0.275,-0.4625
307,0.2875,-0.4625
308,0.30000000000000004,-0.4625
309,0.3125,-0.4625
310,0.32499999999999996,-0.4625
311,0.3375,-0.4625
312,0.35,-0.4625
313,0.36250000000000004,-0.4625
314,0.375,-0.4625
315,0.38749999999999996,-0.4625
316,0.4,-0.4625
317,0.4125,-0.4625
318,0.42500000000000004,-0.4625
319,0.4375,-0.4625
320,0.44999999999999996,-0.4625
321,0.4625,-0.4625
322,0.475,-0.4625
323,0.48750000000000004,-0.4625
324,0.5,-0.4625
325,-0.5,-0.45
326,-0.4875,-0.45
327,-0.475,-0.45
328,-0.4625,-0.45
329,-0.45,-0.45
330,-0.4375,-0.45
331,-0.425,-0.45
332,-0.4125,-0.45
333,-0.4,-0.45
334,-0.3875,-0.45
335,-0.375,-0.45
336,-0.3625,-0.45
337,-0.35,-0.45
338,-0.3375,-0.45
339,-0.325,-0.45
340,-0.3125,-0.45
341,-0.3,-0.45
342,-0.2875,-0.45
343,-0.275,-0.45
344,-0.2625,-0.45
345,-0.25,-0.45
346,-0.2375,-0.45
347,-0.22499999999999998,-0.45
348,-0.21250000000000002,-0.45
349,-0.2,-0.45
350,-0.1875,-0.45
351,-0.175,-0.45
352,-0.16249999999999998,-0.45
353,-0.15000000000000002,-0.45
354,-0.1375,-0.45
355,-0.125,-0.45
356,-0.11249999999999999,-0.45
357,-0.09999999999999998,-0.45
358,-0.08750000000000002,-0.45
359,-0.07500000000000001,-0.45
360,-0.0625,-0.45
361,-0.04999999999999999,-0.45
362,-0.03749999999999998,-0.45
363,-0.025000000000000022,-0.45
364,-0.012500000000000011,-0.45
365,0.0,-0.45
366,0.012499999999999956,-0.45
367,0.025000000000000022,-0.45
368,0.03749999999999998,-0.45
369,0.050000000000000044,-0.45
370,0.0625,-0.45
371,0.07499999999999996,-0.45
372,0.08750000000000002,-0.45
373,0.09999999999999998,-0.45
374,0.11250000000000004,-0.45
375,0.125,-0.45
376,0.13749999999999996,-0.45
377,0.15000000000000002,-0.45
378,0.16249999999999998,-0.45
379,0.17500000000000004,-0.45
380,0.1875,-0.45
381,0.19999999999999996,-0.45
382,0.21250000000000002,-0.45
