stage,task_id,job_id,job_name,authorization_commit,submission_commit,queue,cpus,mpi_ranks,omp_threads,memory,walltime,scheduler_exit,solver_exit,classification,odb_path,odb_sha256,retry_authorized
stage,task_id,job_id,job_name,authorization_commit,submission_commit,queue,cpus,mpi_ranks,omp_threads,memory,walltime,scheduler_exit,solver_exit,classification,odb_path,odb_sha256,retry_authorized
Stage F,F1-J0,1378911.mmaster02,mode_ii_h0_dc,cddf916c8422f5f87152205f078e5e8f019e1afd,4ff884c23b3b7bcefbffd0605fd8d2bf5f1b400b,entry_imfdfkmq,1,1,1,16 GB,00:30:00,0,0,stage_f_mode_ii_h0_datacheck_pass,,,false
Stage F,F1-J1,1378919.mmaster02,mode_ii_h0_serial,44d928a00f77c3e6b0515c3d045b1be2ab4bb9a9,5b092853419e8e8829d7f4c024ce3ea78d131740,entry_imfdfkmq,1,1,1,16 GB,04:00:00,7,-1,stage_f_mode_ii_h0_serial_staging_fail,,,false
Stage F,F1-J1-R1,1378920.mmaster02,mode_ii_h0_serial,2f6a0f6efc992b85c9ae79ff9006ebadd9bf81d8,46cf420b995ff6b2f74fecfc10fb1bb4411feaac,entry_imfdfkmq,1,1,1,16 GB,04:00:00,7,-1,stage_f_mode_ii_h0_serial_staging_fail,,,false
Stage F,F1-J1-R2,1378942.mmaster02,mode_ii_h0_serial,93fcad353693ca6348b2d683317c7da86d34d493,69d4d0a6ade66f4c0a1ea47020eb6e8916c11abd,entry_imfdfkmq,1,1,1,16 GB,04:00:00,0,0,stage_f_mode_ii_h0_second_replacement_fail,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h0_serial_1378942.mmaster02/mode_ii_h0_serial.odb,,false
Stage F,F1-C2-DATACHECK,1378958.mmaster02,mode_ii_h0_endpoint_corrected_datacheck,ec70aa47284ca925ef34cd070da1bd0ac9110393,78b7744ddab0d5ed88f9f1118a7f5965c065604b,entry_imfdfkmq,1,1,1,16 GB,00:30:00,3,,stage_f_mode_ii_h0_endpoint_corrected_datacheck_stage_fail,,,false
Stage F,F1-C2-R1-DATACHECK,1379387.mmaster02,mode_ii_h0_endpoint_corrected_datacheck,38ab45b0afe2404ad72ccfde00039f3712001543,51b01ea6540663bab5a2b07b5f2b3e76cde3e23b,entry_imfdfkmq,1,1,1,16 GB,00:30:00,0,0,stage_f_mode_ii_h0_endpoint_corrected_datacheck_replacement_pass,,,false
Stage F,F1-C2-R1-SOLVER,1379393.mmaster02,mode_ii_h0_endpoint_corrected_serial,8cec3dbde56b08f8924d8298c05052da430dd4ba,4d3de793e8ed37d650a0d83d9906afd0b313e661,entry_imfdfkmq,1,1,1,16 GB,04:00:00,0,0,stage_f_mode_ii_h0_endpoint_corrected_serial_baseline_pass,,,false
Stage F,F2-H1-DATACHECK,1379431.mmaster02,mode_ii_h1_datacheck,3c01bb5920a0efb320d7593c6d17c24479e0a0d9,9947794be6a246dd2401eaae8b8bc9a80e14a72d,entry_imfdfkmq,1,1,1,16 GB,00:45:00,0,0,stage_f_mode_ii_h1_uniform_datacheck_pass,,,false
Stage F,F2-H1-SOLVER,1379433.mmaster02,mode_ii_h1_serial,1ed032b6599c7218038d2107ebc6f2dc1c8a1a5a,b1d91e95eac1f496350f9db380963d76e7ac34e7,entry_imfdfkmq,1,1,1,32 GB,06:00:00,12,0,stage_f_mode_ii_h1_uniform_serial_validation_fail,,,false
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379481.mmaster02,m2h1_u015,c264a205d8f6354f0a2d2109867feac35a98bdcd,175d37a919ccfcc23a00fced7fc256bedc8544b0,entry_imfdfkmq,1,1,1,16 GB,06:00:00,12,0,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u015_1379481.mmaster02/m2h1_u015.odb,,false
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379482.mmaster02,m2h1_u020,c264a205d8f6354f0a2d2109867feac35a98bdcd,175d37a919ccfcc23a00fced7fc256bedc8544b0,entry_imfdfkmq,1,1,1,16 GB,06:00:00,12,0,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u020_1379482.mmaster02/m2h1_u020.odb,,false
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379483.mmaster02,m2h1_u030,c264a205d8f6354f0a2d2109867feac35a98bdcd,175d37a919ccfcc23a00fced7fc256bedc8544b0,entry_imfdfkmq,1,1,1,16 GB,06:00:00,12,0,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u030_1379483.mmaster02/m2h1_u030.odb,,false
Stage F,F2-H1-ENDPOINT-SWEEP-BATCH,1379484.mmaster02,m2h1_u040,c264a205d8f6354f0a2d2109867feac35a98bdcd,175d37a919ccfcc23a00fced7fc256bedc8544b0,entry_imfdfkmq,1,1,1,16 GB,06:00:00,12,0,stage_f_mode_ii_h1_technical_pass_postpeak_overshoot_warning,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h1_sweep_u040_1379484.mmaster02/m2h1_u040.odb,,false
Stage F,F3-STAGE-F3-SUBMIT,1379576.mmaster02,mode_ii_h2_serial,a04db3c11a444d9a3f0ec2f5d64120747f5ea18a,3fad785274b24e3d67f9bd8400cc44a6c911ae2c,entry_imfdfkmq,1,1,1,16 GB,12:00:00,1,-1,stage_f3_initial_submission_failed,,,false
Stage F,F3-STAGE-F3-SUBMIT,1379577.mmaster02,mode_ii_miseseri_preanalysis,a04db3c11a444d9a3f0ec2f5d64120747f5ea18a,3fad785274b24e3d67f9bd8400cc44a6c911ae2c,entry_imfdfkmq,1,1,1,16 GB,01:00:00,1,-1,stage_f3_initial_submission_failed,,,false
Stage F,F3-STAGE-F3-COMBINED-SCIENTIFIC-CLOSEOUT,1379578.mmaster02,mode_ii_h2_serial,a04db3c11a444d9a3f0ec2f5d64120747f5ea18a,3fad785274b24e3d67f9bd8400cc44a6c911ae2c,entry_imfdfkmq,1,1,1,16 GB,12:00:00,0,0,stage_f_mode_ii_h2_elastic_pass_fracture_unresolved,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_h2_serial_1379578.mmaster02/ModeII_H2_uniform_serial.odb,,false
Stage F,F3-STAGE-F3-COMBINED-SCIENTIFIC-CLOSEOUT,1379579.mmaster02,mode_ii_miseseri_preanalysis,a04db3c11a444d9a3f0ec2f5d64120747f5ea18a,3fad785274b24e3d67f9bd8400cc44a6c911ae2c,entry_imfdfkmq,1,1,1,16 GB,01:00:00,1,-1,technical_result_unusable_due_to_generator_defect,/scratch/pr21vyci/adaptive-remeshing/runs/mode_ii_miseseri_preanalysis_1379579.mmaster02/ModeII_MISESERI_preanalysis.odb,,false
Stage F,F4-STAGE-F4-MONITOR-AND-VALIDATE,1379615.mmaster02,ModeII_H2_u020_postpeak,1747a2dca68dd65914c664c634822f1639c629ae,7b25ff868c7b96552cec3809ab470a74ee6d38fd,normal_imfdfkmq,1,1,1,16 GB,12:00:00,10,,stage_f4_h2_pre_abaqus_git_guard_fail,,,false
Stage F,F4-STAGE-F4-MONITOR-AND-VALIDATE,1379616.mmaster02,ModeII_MISESERI_corrected_pbs,1747a2dca68dd65914c664c634822f1639c629ae,7b25ff868c7b96552cec3809ab470a74ee6d38fd,normal_imfdfkmq,1,1,1,16 GB,01:00:00,10,,stage_f4_miseseri_pre_abaqus_git_guard_fail,,,false

