relative_path,type,size_bytes,last_modified,git_status,canonical_or_generated,stage
.agent.md,md,96001,2026-07-25T05:59:38.512580+00:00,tracked,other,
.gitattributes,noext,891,2026-07-23T05:14:13.548478+00:00,tracked,other,
.gitignore,noext,1792,2026-07-21T13:44:43.959368+00:00,tracked,other,
00_NOTEBOOKLM_VIDEO_BRIEF.md,md,1910,2026-07-18T07:44:06.545128+00:00,??,other,
C2C_1376305_qstat.txt,txt,5904,2026-07-21T07:44:28.257616+00:00,tracked,other,
HPC_2026/HPC_Upgraded_Resources_and_Software.md,md,8757,2026-07-20T14:18:23.898704+00:00,??,other,
Literature review/1-s2.0-S0045782525004153-main.pdf,pdf,3202867,2026-07-13T07:09:30.897977+00:00,untracked,other,
Literature review/1-s2.0-S0168874X16304954-main.pdf,pdf,2102701,2026-07-13T07:09:31.481815+00:00,untracked,other,
Literature review/1-s2.0-S0927025614004133-main.pdf,pdf,2858260,2026-07-13T07:09:31.174124+00:00,untracked,other,
Literature review/Adaptive_Remeshing_PFF_Rapid_Study_Guide.pdf,pdf,470102,2026-07-13T07:19:19.241697+00:00,untracked,other,
Literature review/TSP_CMES_67858.pdf,pdf,16978068,2026-07-13T07:09:31.722567+00:00,untracked,other,
README.md,md,3456,2026-07-14T09:14:51.660896+00:00,tracked,other,
STAGE_A_EXECUTION_AND_FAILURE_LOG.pdf,pdf,213323,2026-07-16T05:36:49.299343+00:00,untracked,other,
THESIS_PLAN.md,md,15414,2026-07-23T04:16:46.184215+00:00,tracked,other,
WORKSPACE_STRUCTURE.md,md,4522,2026-07-14T06:27:15.778588+00:00,tracked,other,
adaptive_remeshing_phase_field_agent.md,md,85738,2026-07-23T13:28:45.948071+00:00,tracked,other,
adaptive_remeshing_thesis_codex_starter.zip,zip,43128,2026-07-14T06:26:23.101872+00:00,untracked,other,
agent_handoff/MANIFEST.md,md,379,2026-07-24T13:33:22.014621+00:00, M,handoff_legacy,handoff
agent_handoff/MISTAKES_AND_FIXES_LOG.md,md,37681,2026-07-24T13:33:02.041016+00:00,??,handoff_legacy,handoff
agent_handoff/adaptive_remeshing_phase_field_agent.md,md,92875,2026-07-25T03:56:41.598606+00:00,tracked,handoff_legacy,handoff
configs/README.md,md,125,2026-07-14T06:45:07.272732+00:00,tracked,canonical,configs
configs/benchmark_mode_II_or_l_panel.template.json,json,568,2026-07-25T06:49:12.559184+00:00,tracked,canonical,configs
configs/benchmark_mode_I_single_edge_notch.example.json,json,893,2026-07-14T06:43:31.662111+00:00,tracked,canonical,configs
configs/molnar_paper_matched_single_notch.yaml,yaml,6085,2026-07-16T05:22:42.386654+00:00,tracked,canonical,configs
configs/postprocessing_contract.json,json,797,2026-07-14T06:43:31.664589+00:00,tracked,canonical,configs
configs/preprocessing/molnar_h0_h1_unified.example.yaml,yaml,4861,2026-07-21T06:01:46.114786+00:00,tracked,canonical,configs
configs/preprocessing/molnar_h0_h1_unified.yaml,yaml,5343,2026-07-21T07:51:10.372343+00:00,tracked,canonical,configs
configs/remeshing/miseseri_h0_to_h1_initial.json,json,1393,2026-07-21T06:35:31.971924+00:00,tracked,canonical,configs
configs/remeshing_miseseri_pre_refinement.example.json,json,846,2026-07-14T06:43:31.663254+00:00,tracked,canonical,configs
configs/run_manifest.example.json,json,1377,2026-07-14T06:43:31.662111+00:00,tracked,canonical,configs
configs/run_manifest.schema.json,json,963,2026-07-14T06:43:31.661064+00:00,tracked,canonical,configs
configs/state_transfer/d3_interrupted_transfer.yaml,yaml,1255,2026-07-22T09:23:50.271049+00:00,tracked,canonical,configs
configs/state_transfer/d3d_a1_checkpoint_update.yaml,yaml,754,2026-07-24T03:27:16.558161+00:00,tracked,canonical,configs
configs/state_transfer/d3d_d3e_continuation_options.yaml,yaml,4296,2026-07-23T13:41:49.362109+00:00,tracked,canonical,configs
configs/state_transfer_controlled_field.example.json,json,1014,2026-07-14T06:43:31.663254+00:00,tracked,canonical,configs
configs/studies/mode_ii_molnar_shear.yaml,yaml,3154,2026-07-25T06:46:58.911620+00:00,tracked,canonical,configs
configs/studies/molnar_lc015_h_convergence.yaml,yaml,4233,2026-07-20T11:18:53.454243+00:00,tracked,canonical,configs
configs/studies/molnar_uniform_reference_matrix.yaml,yaml,6225,2026-07-20T11:16:52.867019+00:00,tracked,canonical,configs
configs/validation/stage_a_single_notch_tolerances.json,json,512,2026-07-14T09:37:04.264550+00:00,tracked,canonical,configs
docs/EXPERIMENT_RECORD_TEMPLATE.md,md,2167,2026-07-14T06:27:15.791116+00:00,tracked,canonical,docs
docs/decisions/0001-starter-pipeline-scope.md,md,984,2026-07-14T06:43:31.652420+00:00,tracked,canonical,docs
docs/decisions/0002-gate-a3-reference-route.md,md,5326,2026-07-15T06:04:43.527046+00:00,tracked,canonical,docs
docs/decisions/D3A_ENERGY_EVIDENCE_ROUTE.md,md,2871,2026-07-23T03:59:49.404083+00:00,tracked,canonical,docs
docs/decisions/FINAL_THESIS_TOLERANCE_POLICY.md,md,1858,2026-07-24T04:47:54.828371+00:00,tracked,canonical,docs
docs/decisions/HPC_NOTIFICATION_POLICY.md,md,3036,2026-07-22T03:43:12.113653+00:00,tracked,canonical,docs
docs/decisions/MESH_USE_POLICY.md,md,1987,2026-07-21T06:01:46.110537+00:00,tracked,canonical,docs
docs/decisions/MISESERI_REMESHING_PARAMETER_PROPOSAL.md,md,7006,2026-07-21T06:16:25.635271+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_GATE_A3_STATUS_MATRIX.md,md,3572,2026-07-21T06:02:43.638838+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_GATE_A3_SUPERVISOR_DECISION_1A_2B.md,md,5180,2026-07-21T06:01:46.110537+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_GATE_A3_SUPERVISOR_DECISION_TABLE.md,md,2730,2026-07-21T06:02:43.638838+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_GATE_A3_SUPERVISOR_REVIEW.md,md,7227,2026-07-20T16:19:37.045285+00:00, M,canonical,docs
docs/decisions/MOLNAR_GATE_A3_SUPERVISOR_REVIEW.pdf,pdf,258217,2026-07-20T16:19:17.795050+00:00,??,canonical,docs
docs/decisions/MOLNAR_GATE_A3_SUPERVISOR_REVIEW.tex,tex,8173,2026-07-20T16:18:44.365862+00:00,??,canonical,docs
docs/decisions/MOLNAR_LC015_H_CONVERGENCE_SCIENTIFIC_DECISION.md,md,4487,2026-07-21T06:02:43.658468+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_MESH_ROLE_AND_RESULT_FREEZE.md,md,3917,2026-07-21T06:01:46.111555+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_RECONSTRUCTION_CHOICE_REVIEW.md,md,2899,2026-07-16T04:52:56.664875+00:00,tracked,canonical,docs
docs/decisions/MOLNAR_TARGETED_OUTPUT_RERUN_REQUIREMENTS.md,md,2895,2026-07-16T09:55:21.027309+00:00,tracked,canonical,docs
docs/decisions/Molnar_Single_Notch_Benchmark_Supervisor_Review.pdf,pdf,582088,2026-07-18T17:07:17.240927+00:00,??,canonical,docs
docs/decisions/P3T4_HEADER_SCOPE_FORENSIC_CORRECTION.md,md,2657,2026-07-25T05:16:59.931379+00:00,tracked,canonical,docs
docs/decisions/POST_SUPERVISOR_DECISION_EXECUTION_ROUTES.md,md,5584,2026-07-18T07:19:14.617950+00:00,tracked,canonical,docs
docs/decisions/STAGE_C2_AUX_CONTINUUM_CHAIN.md,md,1373,2026-07-21T07:24:51.426646+00:00,tracked,canonical,docs
docs/decisions/STAGE_C2_FAILURE_AND_FIX.md,md,1051,2026-07-21T07:31:07.984875+00:00,tracked,canonical,docs
docs/decisions/STAGE_C_CLOSEOUT_FREEZE.md,md,1717,2026-07-22T03:19:50.616109+00:00,tracked,canonical,docs
docs/decisions/STAGE_C_EXECUTION_AUTHORIZATION.md,md,3482,2026-07-21T07:02:31.679111+00:00,tracked,canonical,docs
docs/decisions/STAGE_C_REFINED_RESPONSE_DECISION.md,md,4173,2026-07-21T13:22:26.431897+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_A1H0_DATACHECK_R1_AUTHORIZATION.md,md,1796,2026-07-24T04:11:00.710363+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_A1H0_EXECUTION_CLOSURE.md,md,1750,2026-07-24T04:39:21.852485+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_A1H0_MECHANICAL_HOLD_AUTHORIZATION.md,md,744,2026-07-24T03:56:41.519153+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_A1_OFFLINE_UPDATE_AUTHORIZATION.md,md,1118,2026-07-24T03:27:16.559237+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_ACTIVE_SET_UPDATE_SCOPE.md,md,4650,2026-07-24T03:06:55.348060+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_D3E_FRACTURE_CONTINUATION_DECISION_PACKAGE.md,md,8116,2026-07-23T13:47:30.205800+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_RESULT_CLOSURE.md,md,2028,2026-07-24T03:06:55.349149+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3D_ROUTE_B_PREPARATION_AUTHORIZATION.md,md,1583,2026-07-23T13:41:49.363109+00:00,tracked,canonical,docs
docs/decisions/STAGE_D3_STATE_TRANSFER_CLOSURE.md,md,3693,2026-07-23T13:11:30.717705+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3F_SIGNAL11_ISOLATION_DECISION.md,md,1990,2026-07-24T09:38:00.080007+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3SB_FINALIZED_EVIDENCE_DECISION.md,md,1972,2026-07-24T12:58:16.606091+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3SM1_IDENTIFIER_UTILITY_SEQUENCE.md,md,1343,2026-07-25T03:04:14.281445+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3SM1_REVIEW_PREPARATION.md,md,1134,2026-07-24T13:30:32.037496+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3T4_PREPARATION_RELEASE.md,md,1467,2026-07-25T04:46:28.010480+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3_GETRANK_ROUTE_DECISION.md,md,1523,2026-07-25T04:16:38.481362+00:00,tracked,canonical,docs
docs/decisions/STAGE_P3_IDENTIFIER_INTERFACE_DECISION.md,md,1584,2026-07-25T03:31:46.513956+00:00,tracked,canonical,docs
docs/decisions/STAGE_P_FINAL_SCIENTIFIC_CLOSURE.md,md,2637,2026-07-25T05:16:59.930376+00:00,tracked,canonical,docs
docs/decisions/STAGE_P_PARALLELIZATION_SCOPE.md,md,1466,2026-07-24T08:48:29.454342+00:00,tracked,canonical,docs
docs/decisions/THESIS_EVIDENCE_FREEZE.md,md,980,2026-07-24T04:51:50.810540+00:00,tracked,canonical,docs
docs/decisions/WP6_ABAQUSER_EXTERNAL_BLOCK_CLOSURE.md,md,1316,2026-07-24T04:47:54.829372+00:00,tracked,canonical,docs
docs/decisions/WP7_FACULTY_TEMPLATE_INTEGRATION.md,md,5096,2026-07-25T06:35:04.776942+00:00,tracked,canonical,docs
docs/decisions/WP7_FINAL_CLOSEOUT_RECONCILIATION.md,md,2537,2026-07-25T06:00:08.231716+00:00,tracked,canonical,docs
docs/decisions/WP7_THESIS_SUBMISSION_PACKAGE_REVIEW.md,md,8011,2026-07-25T06:17:02.092857+00:00,tracked,canonical,docs
docs/guides/TELEGRAM_HPC_NOTIFICATION_SETUP.md,md,2144,2026-07-21T13:45:29.569257+00:00,tracked,canonical,docs
docs/handoffs/MOLNAR_GATE_A3_MEETING_SUMMARY.md,md,4417,2026-07-20T16:24:17.079901+00:00, M,canonical,docs
docs/handoffs/MOLNAR_GATE_A3_MEETING_SUMMARY.pdf,pdf,332377,2026-07-20T16:24:46.659906+00:00,??,canonical,docs
docs/handoffs/MOLNAR_GATE_A3_MEETING_SUMMARY.tex,tex,6531,2026-07-20T16:24:44.265386+00:00,??,canonical,docs
docs/handoffs/MOLNAR_H_CONVERGENCE_SUPERVISOR_SLIDE_CONTENT.md,md,2351,2026-07-20T16:08:55.529200+00:00,tracked,canonical,docs
docs/handoffs/SUPERVISOR_MEETING_PRE_VACATION_AGENDA.md,md,1250,2026-07-21T06:01:46.117018+00:00,tracked,canonical,docs
docs/methods/ABAQUS_CAE_ENV_VAR_IO_NOTE.md,md,1102,2026-07-20T12:18:03.155846+00:00,tracked,canonical,docs
docs/methods/ABAQUS_CAE_MOLNAR_H_CONVERGENCE_WORKFLOW.md,md,1537,2026-07-20T12:18:38.240504+00:00,tracked,canonical,docs
