point_id,u_mm,reaction_force_kN,bin_width_mm,raw_points_in_bin,processing
1,0.00055477,0.00525164,0.00005,12,median_pixel_bin_no_smoothing
2,0.00057732,0.00656455,0.00005,2,median_pixel_bin_no_smoothing
3,0.00075322,0.03282276,0.00005,12,median_pixel_bin_no_smoothing
4,0.00086147,0.04857768,0.00005,4,median_pixel_bin_no_smoothing
5,0.00087500,0.04726477,0.00005,1,median_pixel_bin_no_smoothing
6,0.00101933,0.07352298,0.00005,1,median_pixel_bin_no_smoothing
7,0.00104639,0.07483589,0.00005,16,median_pixel_bin_no_smoothing
8,0.00121778,0.09978118,0.00005,3,median_pixel_bin_no_smoothing
9,0.00123582,0.10240700,0.00005,8,median_pixel_bin_no_smoothing
10,0.00134407,0.11816193,0.00005,7,median_pixel_bin_no_smoothing
11,0.00140722,0.12866521,0.00005,3,median_pixel_bin_no_smoothing
12,0.00142526,0.12603939,0.00005,1,median_pixel_bin_no_smoothing
13,0.00151546,0.14179431,0.00005,9,median_pixel_bin_no_smoothing
14,0.00153802,0.14442013,0.00005,6,median_pixel_bin_no_smoothing
15,0.00171392,0.16936543,0.00005,10,median_pixel_bin_no_smoothing
16,0.00173196,0.17330416,0.00005,1,median_pixel_bin_no_smoothing
17,0.00182216,0.18643326,0.00005,3,median_pixel_bin_no_smoothing
18,0.00183119,0.18380744,0.00005,3,median_pixel_bin_no_smoothing
19,0.00200258,0.21006565,0.00005,9,median_pixel_bin_no_smoothing
20,0.00217397,0.23763676,0.00005,2,median_pixel_bin_no_smoothing
21,0.00220103,0.23632385,0.00005,10,median_pixel_bin_no_smoothing
22,0.00230928,0.25470460,0.00005,4,median_pixel_bin_no_smoothing
23,0.00233634,0.25470460,0.00005,3,median_pixel_bin_no_smoothing
24,0.00238144,0.26520788,0.00005,1,median_pixel_bin_no_smoothing
25,0.00247165,0.27833698,0.00005,1,median_pixel_bin_no_smoothing
26,0.00248518,0.27964989,0.00005,8,median_pixel_bin_no_smoothing
