event_index,previous_step,previous_frame,previous_global_frame,previous_step_time,previous_rp_u2,previous_rp_rf2,current_step,current_frame,current_global_frame,current_step_time,current_rp_u2,current_rp_rf2,odb_element,odb_integration_point,odb_value_index,source_storage_ip,mapped_physical_element,mapped_u1_element,mapped_u2_element,centroid_x,centroid_y,distance_to_notch_tip,distance_to_ligament_y0,previous_sdv15,current_sdv15,signed_change,decrease_magnitude,previous_sdv14,current_sdv14,previous_sdv16,current_sdv16,sdv16_signed_change,previous_abs_sdv14_minus_sdv15,current_abs_sdv14_minus_sdv15,tolerance_bin,spatial_region,response_region,inside_connected_crack_corridor,preliminary_interpretation
1,Step-2,88,189,0.88235294818878174,0.0065000001341104507,0.75780725479125977,Step-2,89,190,0.89411765336990356,0.0065199998207390308,0.75719499588012695,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,1.0013006925582886,1.0008754730224609,-0.00042521953582763672,0.00042521953582763672,1.0015072822570801,1.001091480255127,232.453857421875,232.453857421875,0,0.00020658969879150391,0.00021600723266601562,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
2,Step-2,84,185,0.84117645025253296,0.0064300000667572021,0.75949674844741821,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,84132,3,65710,4,16428,16428,50280,0.0015,-0.00050000035000000002,0.0015811389407639426,0.00050000035000000002,0.99863922595977783,0.99821799993515015,-0.00042122602462768555,0.00042122602462768555,0.99885618686676025,0.99841535091400146,268.68121337890625,268.68121337890625,0,0.00021696090698242188,0.00019735097885131836,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
3,Step-2,87,188,0.87058824300765991,0.0064799999818205833,0.75836431980133057,Step-2,88,189,0.88235294818878174,0.0065000001341104507,0.75780725479125977,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,1.0016974210739136,1.0013006925582886,-0.000396728515625,0.000396728515625,1.0018758773803711,1.0015072822570801,232.453857421875,232.453857421875,0,0.00017845630645751953,0.00020658969879150391,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
4,Step-2,90,191,0.89999997615814209,0.0065299998968839645,0.75685238838195801,Step-2,91,192,0.91176468133926392,0.0065500000491738319,0.75615906715393066,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,1.0006676912307739,1.0002747774124146,-0.000392913818359375,0.000392913818359375,1.0008754730224609,1.0004634857177734,232.453857421875,232.453857421875,0,0.00020778179168701172,0.00018870830535888672,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
5,Step-2,84,185,0.84117645025253296,0.0064300000667572021,0.75949674844741821,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,84131,4,65707,3,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.99953329563140869,0.99914592504501343,-0.00038737058639526367,0.00038737058639526367,0.9997107982635498,0.99933618307113647,220.88490295410156,220.88490295410156,0,0.00017750263214111328,0.00019025802612304688,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
6,Step-2,88,189,0.88235294818878174,0.0065000001341104507,0.75780725479125977,Step-2,89,190,0.89411765336990356,0.0065199998207390308,0.75719499588012695,84130,4,65703,3,16426,16426,50278,-0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.97639507055282593,0.97600972652435303,-0.00038534402847290039,0.00038534402847290039,0.97657686471939087,0.97620683908462524,150.66653442382812,150.66653442382812,0,0.00018179416656494141,0.0001971125602722168,gt_1e-4,near_ligament,late_post_peak,false,insufficient_mapping_evidence
7,Step-2,90,191,0.89999997615814209,0.0065299998968839645,0.75685238838195801,Step-2,91,192,0.91176468133926392,0.0065500000491738319,0.75615906715393066,84130,4,65703,3,16426,16426,50278,-0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.97581839561462402,0.97545403242111206,-0.00036436319351196289,0.00036436319351196289,0.97600972652435303,0.97562932968139648,150.66653442382812,150.66653442382812,0,0.00019133090972900391,0.00017529726028442383,gt_1e-4,near_ligament,late_post_peak,false,insufficient_mapping_evidence
8,Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84132,3,65710,4,16428,16428,50280,0.0015,-0.00050000035000000002,0.0015811389407639426,0.00050000035000000002,0.99921154975891113,0.99885618686676025,-0.00035536289215087891,0.00035536289215087891,0.99934053421020508,0.9990534782409668,268.68121337890625,268.68121337890625,0,0.00012898445129394531,0.00019729137420654297,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
9,Step-2,87,188,0.87058824300765991,0.0064799999818205833,0.75836431980133057,Step-2,88,189,0.88235294818878174,0.0065000001341104507,0.75780725479125977,84130,4,65703,3,16426,16426,50278,-0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.9767385721206665,0.97639507055282593,-0.00034350156784057617,0.00034350156784057617,0.97688263654708862,0.97657686471939087,150.66653442382812,150.66653442382812,0,0.00014406442642211914,0.00018179416656494141,gt_1e-4,near_ligament,late_post_peak,false,insufficient_mapping_evidence
10,Step-2,91,192,0.91176468133926392,0.0065500000491738319,0.75615906715393066,Step-2,92,193,0.92352938652038574,0.0065700002014636993,0.75541102886199951,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,1.0002747774124146,0.99993216991424561,-0.00034260749816894531,0.00034260749816894531,1.0004634857177734,1.0000951290130615,232.453857421875,232.453857421875,0,0.00018870830535888672,0.00016295909881591797,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
11,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,Step-2,86,187,0.86470586061477661,0.0064699999056756496,0.75860565900802612,84131,4,65707,3,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.99914592504501343,0.99881738424301147,-0.00032854080200195312,0.00032854080200195312,0.99933618307113647,0.99896824359893799,220.88490295410156,220.88490295410156,0,0.00019025802612304688,0.00015085935592651367,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
12,Step-2,91,192,0.91176468133926392,0.0065500000491738319,0.75615906715393066,Step-2,92,193,0.92352938652038574,0.0065700002014636993,0.75541102886199951,84130,4,65703,3,16426,16426,50278,-0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.97545403242111206,0.97513484954833984,-0.0003191828727722168,0.0003191828727722168,0.97562932968139648,0.97528672218322754,150.66653442382812,150.66653442382812,0,0.00017529726028442383,0.00015187263488769531,gt_1e-4,near_ligament,late_post_peak,false,insufficient_mapping_evidence
13,Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84132,4,65711,3,16428,16428,50280,0.0015,-0.00050000035000000002,0.0015811389407639426,0.00050000035000000002,0.99946200847625732,0.99915146827697754,-0.00031054019927978516,0.00031054019927978516,0.99957013130187988,0.99932301044464111,257.94308471679688,257.94308471679688,0,0.00010812282562255859,0.00017154216766357422,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
14,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,Step-2,86,187,0.86470586061477661,0.0064699999056756496,0.75860565900802612,84132,3,65710,4,16428,16428,50280,0.0015,-0.00050000035000000002,0.0015811389407639426,0.00050000035000000002,0.99821799993515015,0.99792343378067017,-0.00029456615447998047,0.00029456615447998047,0.99841535091400146,0.99805045127868652,268.68121337890625,268.68121337890625,0,0.00019735097885131836,0.00012701749801635742,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
15,Step-2,92,193,0.92352938652038574,0.0065700002014636993,0.75541102886199951,Step-2,93,194,0.93529409170150757,0.0065899998880922794,0.75460690259933472,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.99993216991424561,0.99963885545730591,-0.00029331445693969727,0.00029331445693969727,1.0000951290130615,0.99977844953536987,232.453857421875,232.453857421875,0,0.00016295909881591797,0.00013959407806396484,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
16,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,Step-2,86,187,0.86470586061477661,0.0064699999056756496,0.75860565900802612,84131,3,65706,4,16427,16427,50279,0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,1.0021626949310303,1.0018758773803711,-0.00028681755065917969,0.00028681755065917969,1.0022588968276978,1.002030611038208,232.453857421875,232.453857421875,0,9.6201896667480469e-05,0.00015473365783691406,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
17,Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84133,3,65714,4,16429,16429,50281,0.0025000000000000001,-0.00050000035000000002,0.002549509825437063,0.00050000035000000002,0.99950480461120605,0.99921798706054688,-0.00028681755065917969,0.00028681755065917969,0.99960136413574219,0.99937665462493896,209.57473754882812,209.57473754882812,0,9.6559524536132812e-05,0.00015866756439208984,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
18,Step-2,84,185,0.84117645025253296,0.0064300000667572021,0.75949674844741821,Step-2,85,186,0.85294115543365479,0.0064500002190470695,0.75907933712005615,84132,4,65711,3,16428,16428,50280,0.0015,-0.00050000035000000002,0.0015811389407639426,0.00050000035000000002,0.9989812970161438,0.99869966506958008,-0.0002816319465637207,0.0002816319465637207,0.99915146827697754,0.99882245063781738,257.94308471679688,257.94308471679688,0,0.00017017126083374023,0.00012278556823730469,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
19,Step-2,92,193,0.92352938652038574,0.0065700002014636993,0.75541102886199951,Step-2,93,194,0.93529409170150757,0.0065899998880922794,0.75460690259933472,84130,4,65703,3,16426,16426,50278,-0.00050000000000000001,-0.00050000035000000002,0.00070710702867396425,0.00050000035000000002,0.97513484954833984,0.97486156225204468,-0.00027328729629516602,0.00027328729629516602,0.97528672218322754,0.97499161958694458,150.66653442382812,150.66653442382812,0,0.00015187263488769531,0.00013005733489990234,gt_1e-4,near_ligament,late_post_peak,false,insufficient_mapping_evidence
20,Step-2,82,183,0.82352942228317261,0.006399999838322401,0.76003456115722656,Step-2,83,184,0.83529412746429443,0.0064199999906122684,0.7597002387046814,84133,4,65715,3,16429,16429,50281,0.0025000000000000001,-0.00050000035000000002,0.002549509825437063,0.00050000035000000002,0.99937140941619873,0.99910438060760498,-0.00026702880859375,0.00026702880859375,0.99945700168609619,0.99925363063812256,207.03047180175781,207.03047180175781,0,8.5592269897460938e-05,0.00014925003051757812,gt_1e-4,near_ligament,late_post_peak,true,insufficient_mapping_evidence
