step,frame,global_frame,step_time,rp_u2,rp_rf2,odb_element,odb_integration_point,source_storage_ip,mapped_physical_element,centroid_x,centroid_y,relation_to_worst_event,sdv14,sdv15,sdv16,abs_sdv14_minus_sdv15
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,83585,1,1,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.8516114354133606,0.85219293832778931,2.5626449584960938,0.00058150291442871094
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,83585,2,2,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.8783918023109436,0.87879985570907593,3.1566281318664551,0.00040805339813232422
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,83585,3,4,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.93722742795944214,0.93798536062240601,2.4745321273803711,0.00075793266296386719
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,83585,4,3,15881,0.00050000000000000001,-0.0015000006999999998,face_neighbor,0.95238763093948364,0.95279693603515625,3.0100438594818115,0.00040930509567260742
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84130,1,1,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.86116135120391846,0.8623955249786377,7.7215380668640137,0.0012341737747192383
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84130,2,2,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.94402247667312622,0.94496715068817139,124.19826507568359,0.00094467401504516602
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84130,3,4,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.89840942621231079,0.89984339475631714,42.113594055175781,0.0014339685440063477
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84130,4,3,16426,-0.00050000000000000001,-0.00050000035000000002,face_neighbor,0.9735608696937561,0.9742891788482666,134.41069030761719,0.00072830915451049805
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84131,1,1,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.97719007730484009,0.97789067029953003,217.27072143554688,0.00070059299468994141
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84131,2,2,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.98494464159011841,0.9852677583694458,218.66630554199219,0.00032311677932739258
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84131,3,4,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,1.0007542371749878,1.0011214017868042,214.65379333496094,0.00036716461181640625
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84131,4,3,16427,0.00050000000000000001,-0.00050000035000000002,worst_element+crack_path_context,0.99989616870880127,0.99998265504837036,216.04087829589844,8.6486339569091797e-05
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84132,1,1,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98802053928375244,0.98819410800933838,230.40733337402344,0.0001735687255859375
