event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
1,189,190,84131,3,16427,232.453857421875,232.453857421875,0,false
2,185,186,84132,3,16428,268.68121337890625,268.68121337890625,0,false
3,188,189,84131,3,16427,232.453857421875,232.453857421875,0,false
4,191,192,84131,3,16427,232.453857421875,232.453857421875,0,false
5,185,186,84131,4,16427,220.88490295410156,220.88490295410156,0,false
6,189,190,84130,4,16426,150.66653442382812,150.66653442382812,0,false
7,191,192,84130,4,16426,150.66653442382812,150.66653442382812,0,false
8,183,184,84132,3,16428,268.68121337890625,268.68121337890625,0,false
9,188,189,84130,4,16426,150.66653442382812,150.66653442382812,0,false
10,192,193,84131,3,16427,232.453857421875,232.453857421875,0,false
11,186,187,84131,4,16427,220.88490295410156,220.88490295410156,0,false
12,192,193,84130,4,16426,150.66653442382812,150.66653442382812,0,false
13,183,184,84132,4,16428,257.94308471679688,257.94308471679688,0,false
14,186,187,84132,3,16428,268.68121337890625,268.68121337890625,0,false
15,193,194,84131,3,16427,232.453857421875,232.453857421875,0,false
16,186,187,84131,3,16427,232.453857421875,232.453857421875,0,false
17,183,184,84133,3,16429,209.57473754882812,209.57473754882812,0,false
18,185,186,84132,4,16428,257.94308471679688,257.94308471679688,0,false
19,193,194,84130,4,16426,150.66653442382812,150.66653442382812,0,false
20,183,184,84133,4,16429,207.03047180175781,207.03047180175781,0,false
21,183,184,84131,4,16427,220.88490295410156,220.88490295410156,0,false
22,183,184,84134,3,16430,204.5533447265625,204.5533447265625,0,false
23,185,186,84134,3,16430,204.5533447265625,204.5533447265625,0,false
24,185,186,84133,4,16429,207.03047180175781,207.03047180175781,0,false
25,195,196,84131,3,16427,232.453857421875,232.453857421875,0,false
26,185,186,84135,4,16431,202.06367492675781,202.06367492675781,0,false
27,185,186,84134,4,16430,203.03425598144531,203.03425598144531,0,false
28,185,186,84135,3,16431,202.22296142578125,202.22296142578125,0,false
29,185,186,84133,3,16429,209.57473754882812,209.57473754882812,0,false
30,185,186,84136,3,16432,201.05180358886719,201.05180358886719,0,false
31,182,183,84132,3,16428,268.68121337890625,268.68121337890625,0,false
32,195,196,84130,4,16426,150.66653442382812,150.66653442382812,0,false
33,184,185,84132,3,16428,268.68121337890625,268.68121337890625,0,false
34,196,197,84131,3,16427,232.453857421875,232.453857421875,0,false
35,185,186,84136,4,16432,201.35389709472656,201.35389709472656,0,false
36,186,187,84137,4,16433,201.32418823242188,201.32418823242188,0,false
37,190,191,84131,3,16427,232.453857421875,232.453857421875,0,false
38,183,184,84134,4,16430,203.03425598144531,203.03425598144531,0,false
