event_index,previous_global_frame,current_global_frame,visualization_label,physical_label,u1_label,u2_label,odb_ip,source_storage_ip,ip_mapping,source_update_state,previous_sdv14,current_sdv14,previous_sdv15,current_sdv15,previous_sdv16,current_sdv16,decrease_magnitude,equivalent_completed_phase_previous,equivalent_completed_phase_current,mapping_status,final_category,category_reason,prior_category
1,189,190,84131,16427,16427,50279,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",1.0015072822570801,1.001091480255127,1.0013006925582886,1.0008754730224609,232.453857421875,232.453857421875,0.00042521953582763672,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
2,185,186,84132,16428,16428,50280,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.99885618686676025,0.99841535091400146,0.99863922595977783,0.99821799993515015,268.68121337890625,268.68121337890625,0.00042122602462768555,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
3,188,189,84131,16427,16427,50279,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",1.0018758773803711,1.0015072822570801,1.0016974210739136,1.0013006925582886,232.453857421875,232.453857421875,0.000396728515625,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
4,191,192,84131,16427,16427,50279,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",1.0008754730224609,1.0004634857177734,1.0006676912307739,1.0002747774124146,232.453857421875,232.453857421875,0.000392913818359375,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
5,185,186,84131,16427,16427,50279,4,3,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.9997107982635498,0.99933618307113647,0.99953329563140869,0.99914592504501343,220.88490295410156,220.88490295410156,0.00038737058639526367,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
6,189,190,84130,16426,16426,50278,4,3,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.97657686471939087,0.97620683908462524,0.97639507055282593,0.97600972652435303,150.66653442382812,150.66653442382812,0.00038534402847290039,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
7,191,192,84130,16426,16426,50278,4,3,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.97600972652435303,0.97562932968139648,0.97581839561462402,0.97545403242111206,150.66653442382812,150.66653442382812,0.00036436319351196289,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
8,183,184,84132,16428,16428,50280,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.99934053421020508,0.9990534782409668,0.99921154975891113,0.99885618686676025,268.68121337890625,268.68121337890625,0.00035536289215087891,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
9,188,189,84130,16426,16426,50278,4,3,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",0.97688263654708862,0.97657686471939087,0.9767385721206665,0.97639507055282593,150.66653442382812,150.66653442382812,0.00034350156784057617,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
10,192,193,84131,16427,16427,50279,3,4,ODB IP 3/4 swapped in UMAT; ODB IP 1/2 unchanged,"U1 SDV15 copied from USRVAR(physical,15,source_ip); U2 SDV14 copied from USRVAR(physical,14,source_ip)",1.0004634857177734,1.0000951290130615,1.0002747774124146,0.99993216991424561,232.453857421875,232.453857421875,0.00034260749816894531,not_observable_from_retained_outputs,not_observable_from_retained_outputs,pass,insufficient_output_evidence,"U1/U2/CPS4 label and IP mapping are resolved, but retained field outputs do not expose the complete within-increment U1 phase-solve call sequence; therefore equivalent completed phase-update states cannot be constructed.",insufficient_mapping_evidence
