physical_element,source_storage_ip,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_time2,current_time2,previous_phase_after_u1,current_phase_after_u1,phase_drop,previous_sdv16_history,current_sdv16_history,sdv16_drop,current_u2_mm,centroid_x,centroid_y,abs_centroid_y,relative_drop,magnitude_bin,before_or_at_peak,after_peak,phase_overshoot_in_transition,near_crack_axis_abs_y_le_0p02,near_notch_left_half_x_le_0
17004,2,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9990427271552014,0.9990332728235446,9.454331656777448e-06,166.87816196290123,166.87816196290123,0.0,0.006929411764705876,0.0315,0.0005,0.0005,9.463390703717836e-06,"(1e-6,1e-5]",False,True,False,True,False
17004,2,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9990332728235446,0.9989939479789086,3.932484463597952e-05,166.87816196290123,166.87816196290123,0.0,0.006941176470588228,0.0315,0.0005,0.0005,3.9362897819045224e-05,"(1e-5,1e-4]",False,True,False,True,False
17004,2,2,165,2,166,1.9705882352941142,1.9764705882352906,0.9989939479789086,0.998927351377377,6.659660153163216e-05,166.87816196290123,166.87816196290123,0.0,0.006952941176470582,0.0315,0.0005,0.0005,6.666366865021107e-05,"(1e-5,1e-4]",False,True,False,True,False
17004,2,2,166,2,167,1.9764705882352906,1.982352941176467,0.998927351377377,0.9988517961205092,7.555525686775422e-05,166.87816196290123,166.87816196290123,0.0,0.0069647058823529345,0.0315,0.0005,0.0005,7.563638813530774e-05,"(1e-5,1e-4]",False,True,False,True,False
17004,2,2,167,2,168,1.982352941176467,1.9882352941176435,0.9988517961205092,0.9987820152092514,6.978091125786623e-05,166.87816196290123,166.87816196290123,0.0,0.006976470588235287,0.0315,0.0005,0.0005,6.986112607384982e-05,"(1e-5,1e-4]",False,True,False,True,False
17004,2,2,168,2,169,1.9882352941176435,1.99411764705882,0.9987820152092514,0.9987289936262163,5.302158303510662e-05,166.87816196290123,166.87816196290123,0.0,0.006988235294117641,0.0315,0.0005,0.0005,5.308624126957097e-05,"(1e-5,1e-4]",False,True,False,True,False
17004,2,2,169,2,170,1.99411764705882,1.9999999999999964,0.9987289936262163,0.9986899970804172,3.899654579908596e-05,166.87816196290123,166.87816196290123,0.0,0.006999999999999993,0.0315,0.0005,0.0005,3.904617373477472e-05,"(1e-5,1e-4]",False,True,False,True,False
16453,4,2,167,2,168,1.982352941176467,1.9882352941176435,1.000233185122958,1.0002319888946198,1.196228338162797e-06,963.0522211684782,1024.8170389801921,-61.7648178117139,0.006976470588235287,0.0265,-0.00050000035,0.00050000035,1.1959494605407892e-06,"(1e-6,1e-5]",False,True,True,True,False
16453,4,2,168,2,169,1.9882352941176435,1.99411764705882,1.0002319888946198,1.000230305484822,1.6834097977813656e-06,1024.8170389801921,1075.0209153736048,-50.203876393412656,0.006988235294117641,0.0265,-0.00050000035,0.00050000035,1.6830193559813476e-06,"(1e-6,1e-5]",False,True,True,True,False
16453,4,2,169,2,170,1.99411764705882,1.9999999999999964,1.000230305484822,1.0002283806326373,1.9248521847536892e-06,1075.0209153736048,1120.6376718600911,-45.61675648648634,0.006999999999999993,0.0265,-0.00050000035,0.00050000035,1.9244089828099074e-06,"(1e-6,1e-5]",False,True,True,True,False
