physical_element_label,visualization_element_label,centroid_x,centroid_y,MISESERI,MISESAVG,EVOL,von_mises,SDV15,n1,n2,n3,n4,region_classification,normalized_MISESERI,in_top_1pct,in_top_5pct,in_top_10pct,marked_errorTarget
1,7861,0.49137624353170395,-0.0036304780514910817,1.05071975417393e-16,4.250914805705927e-14,3.69904373656027e-05,4.238866102061496e-14,0.019167987629771233,10,397,450,9,side_boundary,0.0011838757117450017,0,0,0,0
2,7862,0.4676136448979378,-0.00354233430698514,1.39591707995611e-17,4.40390250850721e-14,3.5458706406643614e-05,4.411989322895991e-14,0.020090879872441292,350,14,15,393,side_boundary,0.00015728193174299867,0,0,0,0
3,7863,0.4592261090874672,-0.12695098854601383,4.443849302277728e-16,4.6817316868988726e-14,0.0008956329547800124,4.688000989731419e-14,0.022010598331689835,263,1352,1291,1901,side_boundary,0.005007010893935002,0,0,0,0
4,7864,0.45268892496824265,-0.21165737882256508,3.996923749664225e-16,5.005612013753678e-14,0.0010387038346379995,5.007768083128093e-14,0.026126928627490997,1740,1775,293,1739,side_boundary,0.004503447213328922,0,0,0,0
5,7865,0.48186057060956955,-0.25063831359148026,4.844237541280099e-16,5.148789380959862e-14,0.001433198107406497,5.1401257310872224e-14,0.027607232332229614,164,1739,1741,163,side_boundary,0.005458139664989586,0,0,0,0
6,7866,0.44985780864953995,-0.331746369600296,2.478605545007867e-16,5.407993321280939e-14,0.0011454360792413354,5.390494828156381e-14,0.029900100082159042,1738,1777,324,1737,far_field,0.0027927150813284885,0,0,0,0
7,7867,0.48245374858379364,-0.3665578216314316,2.921714949496193e-16,5.599044651852757e-14,0.0013314448297023773,5.563414188974863e-14,0.031672682613134384,161,1737,1736,160,side_boundary,0.003291978999738348,0,0,0,0
8,7868,0.48168646544218063,-0.404631070792675,2.0834277497711913e-16,5.690630936307575e-14,0.0013962381053715944,5.73597183835539e-14,0.032644424587488174,1742,159,160,1736,side_boundary,0.0023474570648658074,0,0,0,0
9,7869,0.48032620549201965,-0.48093975335359573,6.017973875617241e-17,5.780797932355974e-14,0.0014997270191088319,5.724847949337072e-14,0.03316513076424599,158,1803,157,5,support_boundary,0.0006780621642409737,0,0,0,0
10,7870,0.4283537417650223,-0.002471009036526084,4.0355470293083674e-18,4.555068074032359e-14,2.4275454052258283e-05,4.558750156471255e-14,0.021415600553154945,387,22,23,386,far_field,4.546965156621598e-05,0,0,0,0
11,7871,0.4217192679643631,-0.05980958882719278,7.444913371830418e-17,4.6232704893189175e-14,0.00010596783249638975,4.6265381872528275e-14,0.02213786542415619,1217,1141,1288,1146,far_field,0.0008388394795037443,0,0,0,0
12,7872,0.422455370426178,-0.16359704732894897,1.2891125449672225e-16,4.8890186061904817e-14,0.0003986166266258806,4.894693542278436e-14,0.024762529879808426,278,1902,1634,1915,far_field,0.001452479622306455,0,0,0,0
13,7873,0.4227288290858269,-0.20825395360589027,3.1301882866611975e-16,5.039129785102889e-14,0.0008710557594895363,5.021650457957517e-14,0.02577388659119606,293,1775,1726,1710,far_field,0.0035268718143405763,0,0,0,0
14,7874,0.3801627978682518,-0.2609855830669403,1.6018544467991493e-16,5.22551870751984e-14,0.0007280783611349761,5.2202797800451256e-14,0.02768305316567421,308,1704,1699,1931,far_field,0.0018048547824316631,0,0,0,0
15,7875,0.41731300204992294,-0.3308790251612663,1.2526156158057088e-16,5.3628623894116934e-14,0.0011382469674572349,5.3895874430654366e-14,0.02963325008749962,1786,1820,324,1777,far_field,0.0014113574983376678,0,0,0,0
16,7876,0.41078101843595505,-0.3670813888311386,1.1580516664341567e-16,5.41452394530427e-14,0.0014353783335536718,5.4400126774657916e-14,0.030218567699193954,1820,1865,1798,324,far_field,0.0013048096177796587,0,0,0,0
17,7877,0.4446290582418442,-0.4055698961019516,1.311675782146403e-16,5.5507888460345003e-14,0.0014119778061285615,5.5191349250374896e-14,0.031123755499720573,1736,1798,349,1742,support_boundary,0.0014779022608060752,0,0,0,0
18,7878,0.36047955602407455,-0.48035552352666855,3.843414645144348e-17,5.392510575444667e-14,0.001595007604919374,5.3688472720437774e-14,0.029296405613422394,155,1751,1750,154,support_boundary,0.00043304841566709775,0,0,0,0
19,7879,0.4008484110236168,-0.4807678610086441,7.437706974333856e-17,5.482073128781906e-14,0.0015451168874278665,5.513711145816282e-14,0.03092552348971367,1751,155,156,1831,support_boundary,0.0008380275142835732,0,0,0,0
20,7880,0.3614055961370468,-0.4406895264983177,4.0701372409834974e-17,5.386656900152782e-14,0.0017307349480688572,5.4074954057275134e-14,0.02974417433142662,1750,1751,1776,1779,support_boundary,0.0004585938927985114,0,0,0,0
21,7881,-0.44208796322345734,-0.023398928543429065,5.635491251375336e-16,1.0044669377539577e-15,0.0018194360891357064,1.0240197329468843e-15,2.1537991415243596e-05,121,122,1810,1745,far_field,0.0063496676347347975,0,0,0,0
22,7882,-0.48078780621290207,-0.0215276694871136,4.0604173393904072e-16,1.868874304231677e-16,0.0016507284017279744,1.384408222256617e-16,5.350628725864226e-06,122,3,123,1810,side_boundary,0.004574987239515473,0,0,0,0
23,7883,-0.4016295075416565,-0.027073155460129783,5.774675705268162e-16,2.289455941045489e-15,0.0022458783350884914,2.1593596934158463e-15,6.905653572175652e-05,120,121,1745,1747,far_field,0.006506490701743523,0,0,0,0
24,7884,-0.40561559051275253,-0.07630891725420952,3.897750485221731e-16,3.693667584520142e-15,0.0019113058224320412,3.8894492651123025e-15,0.00016325812612194568,1745,1802,235,1747,far_field,0.004391705886908122,0,0,0,0
25,7885,-0.3404160588979721,-0.12574359774589539,1.9734999462254262e-16,4.9555239062639214e-15,0.0011665687197819352,5.02735968883928e-15,0.0002329324634047225,251,1840,1891,1841,far_field,0.0022235982945835037,0,0,0,0
26,7886,-0.29092293977737427,-0.1593392789363861,3.8581495773552246e-16,4.0573560035003526e-15,0.0009086816571652889,4.0055490241085856e-15,0.0001561375247547403,1858,1929,1860,1924,far_field,0.004347086422203123,0,0,0,0
27,7887,-0.23526840284466743,-0.23624270036816597,1.0443403784712434e-15,5.306225616096829e-15,0.0016229517059400678,4.075547489615794e-15,0.0002976457471959293,1879,283,282,1943,far_field,0.011766878884262668,0,0,1,0
