node,x,y,active_F3,initial_active_A1,initial_release_seed
1,-0.5,-0.5,True,True,False
2,-0.4875,-0.5,True,True,False
3,-0.475,-0.5,True,True,False
4,-0.4625,-0.5,True,True,False
5,-0.45,-0.5,True,True,False
6,-0.4375,-0.5,True,True,False
7,-0.425,-0.5,True,True,False
8,-0.4125,-0.5,True,True,False
9,-0.4,-0.5,True,True,False
10,-0.3875,-0.5,True,True,False
11,-0.375,-0.5,True,True,False
12,-0.3625,-0.5,True,True,False
13,-0.35,-0.5,True,True,False
14,-0.3375,-0.5,True,True,False
15,-0.325,-0.5,True,True,False
16,-0.3125,-0.5,True,True,False
17,-0.3,-0.5,True,True,False
18,-0.2875,-0.5,True,True,False
19,-0.275,-0.5,True,True,False
20,-0.2625,-0.5,True,True,False
21,-0.25,-0.5,True,True,False
22,-0.2375,-0.5,True,True,False
23,-0.22499999999999998,-0.5,True,True,False
24,-0.21250000000000002,-0.5,True,True,False
25,-0.2,-0.5,True,True,False
26,-0.1875,-0.5,True,True,False
27,-0.175,-0.5,True,True,False
28,-0.16249999999999998,-0.5,True,True,False
29,-0.15000000000000002,-0.5,True,True,False
30,-0.1375,-0.5,True,True,False
31,-0.125,-0.5,True,True,False
32,-0.11249999999999999,-0.5,True,True,False
33,-0.09999999999999998,-0.5,True,True,False
34,-0.08750000000000002,-0.5,True,True,False
35,-0.07500000000000001,-0.5,True,True,False
36,-0.0625,-0.5,True,True,False
37,-0.04999999999999999,-0.5,True,True,False
38,-0.03749999999999998,-0.5,True,True,False
39,-0.025000000000000022,-0.5,True,True,False
40,-0.012500000000000011,-0.5,True,True,False
41,0.0,-0.5,True,True,False
42,0.012499999999999956,-0.5,True,True,False
43,0.025000000000000022,-0.5,True,True,False
44,0.03749999999999998,-0.5,True,True,False
45,0.050000000000000044,-0.5,True,True,False
46,0.0625,-0.5,True,True,False
47,0.07499999999999996,-0.5,True,True,False
48,0.08750000000000002,-0.5,True,True,False
49,0.09999999999999998,-0.5,True,True,False
50,0.11250000000000004,-0.5,True,True,False
51,0.125,-0.5,True,True,False
52,0.13749999999999996,-0.5,True,True,False
53,0.15000000000000002,-0.5,True,True,False
54,0.16249999999999998,-0.5,True,True,False
55,0.17500000000000004,-0.5,True,True,False
56,0.1875,-0.5,True,True,False
57,0.19999999999999996,-0.5,True,True,False
58,0.21250000000000002,-0.5,True,True,False
59,0.22499999999999998,-0.5,True,True,False
60,0.23750000000000004,-0.5,True,True,False
61,0.25,-0.5,True,True,False
