element,integration_point,H_F3
1,1,4.670796051994902e-05
1,2,4.1428741595394154e-05
1,3,4.142699100326833e-05
1,4,4.670681788331674e-05
2,1,3.7806515084727844e-05
2,2,3.3187440327030405e-05
2,3,3.318307603018312e-05
2,4,3.780267768443084e-05
3,1,3.0027217034870414e-05
3,2,2.672356769344293e-05
3,3,2.8030257414479988e-05
3,4,3.009911901033076e-05
4,1,2.4731596504090044e-05
4,2,2.1585415213446034e-05
4,3,2.108815499604514e-05
4,4,2.542747794251516e-05
5,1,1.9482790162786104e-05
5,2,1.7444043489232392e-05
5,3,1.589462847981171e-05
5,4,1.828691116393571e-05
6,1,1.2656339949938553e-05
6,2,1.0621332981848797e-05
6,3,1.161503743967133e-05
6,4,1.2645362280723504e-05
7,1,9.646758364530011e-06
7,2,7.835790359543368e-06
7,3,7.98676816393859e-06
7,4,1.0459716413203822e-05
8,1,6.460527583165073e-06
8,2,5.028571285986219e-06
8,3,4.208857387253623e-06
8,4,6.050660778315204e-06
9,1,4.4386091756520215e-06
9,2,2.5011182030528635e-06
9,3,2.707110675777354e-06
9,4,3.605994353180927e-06
10,1,2.3237942829660757e-06
10,2,1.9293609916224216e-06
10,3,2.004785529107901e-06
10,4,2.5184674551309258e-06
11,1,1.5876003978482735e-06
11,2,1.1992541714221305e-06
11,3,1.0193065510904266e-06
11,4,1.5278495366464154e-06
12,1,1.0289851479563328e-06
12,2,1.4098135467947205e-06
12,3,9.754908560604001e-07
12,4,8.365778839581504e-07
13,1,1.7346888398107377e-06
13,2,2.5527585100260607e-06
13,3,2.3123948622099154e-06
13,4,1.2907621280249903e-06
14,1,3.3396992725890736e-06
14,2,4.324993514441356e-06
14,3,4.714422655930473e-06
14,4,3.3982989303300276e-06
15,1,4.8001538599327245e-06
15,2,7.545510539540331e-06
15,3,6.42710074455326e-06
15,4,5.255008986726017e-06
16,1,8.228578829724928e-06
16,2,1.013644028313071e-05
16,3,9.288957116680473e-06
16,4,7.018783138959445e-06
17,1,1.2157401586986393e-05
17,2,1.4986857341088272e-05
17,3,1.5896727095770482e-05
17,4,1.2033067780140604e-05
18,1,1.653207315950107e-05
18,2,1.876872351000057e-05
18,3,1.8839383057815885e-05
18,4,1.777812815003395e-05
19,1,2.3741540163194198e-05
19,2,2.6443415696140268e-05
19,3,2.522104623714662e-05
19,4,2.1599166547881827e-05
20,1,2.9603088030570363e-05
20,2,3.460289832764288e-05
20,3,3.5691672452720685e-05
20,4,2.8756769551840106e-05
21,1,3.774208908243852e-05
21,2,4.164997826984408e-05
21,3,4.2688726139924816e-05
21,4,3.977786393246081e-05
22,1,5.089639817568226e-05
22,2,5.403719172563277e-05
22,3,5.18625316218104e-05
22,4,4.767270710711701e-05
23,1,5.8099842969775066e-05
23,2,6.531955481981522e-05
23,3,6.586636220015489e-05
23,4,5.6517928690130536e-05
24,1,7.046174428415245e-05
24,2,7.659350505558046e-05
24,3,7.890088027989019e-05
24,4,7.29004827351323e-05
25,1,8.262103911142518e-05
25,2,9.504389188491586e-05
25,3,9.140066405340714e-05
25,4,8.266260986751814e-05
26,1,9.99217263213923e-05
26,2,0.00010971601703970612
26,3,0.00010884533831046514
26,4,9.818430757611653e-05
27,1,0.00011764307736322388
27,2,0.0001264090212982671
27,3,0.00013120424955581837
27,4,0.00011991667928506175
28,1,0.00013444263683732156
28,2,0.00015362524587671982
28,3,0.00014715750092106185
28,4,0.00013530078737834886
29,1,0.00015845952675482277
29,2,0.00016954766645648482
29,3,0.00016808126882250803
29,4,0.00015542892803314983
30,1,0.00017981525346384274
30,2,0.00019290913974008198
30,3,0.00019844883103114878
30,4,0.0001806967488619282
31,1,0.00020285008099336208
31,2,0.00023192359503648453
31,3,0.00022431754967606218
31,4,0.0002064603831566643
32,1,0.00023622590800872106
32,2,0.00024730852006461665
32,3,0.0002451012594664423
32,4,0.0002294987180866538
33,1,0.0002587395233311108
33,2,0.00027503852930733735
33,3,0.0002799912823883371
33,4,0.00025786481112959726
34,1,0.0002879108885868957
34,2,0.0003053343049050582
34,3,0.0003054147067566178
34,4,0.0002919953222859414
35,1,0.0003282142576021554
35,2,0.00033976144634875836
35,3,0.000337974473117881
35,4,0.00031979490269812137
36,1,0.00035296742976120886
36,2,0.00037353212689968747
36,3,0.00037732569869780976
36,4,0.00035304700042785946
37,1,0.00038755137938365115
37,2,0.00040706258846919045
37,3,0.00040714207776257
37,4,0.000394317208476663
38,1,0.00043256613556143806
38,2,0.0004433497589216494
38,3,0.00044342600548226977
38,4,0.0004234087454442136
39,1,0.00046004913274439
39,2,0.0004816452083996382
39,3,0.0004834182763588528
39,4,0.0004601229456804632
40,1,0.0004982901146269435
40,2,0.0005180507407745702
40,3,0.0005230882303862679
40,4,0.0005058261522701468
41,1,0.0005460834868306732
41,2,0.0005560250819428415
41,3,0.0005560899061931712
41,4,0.0005368211656240085
42,1,0.0005733042618637526
42,2,0.0005940047946586535
42,3,0.0005940644921472101
42,4,0.0005733649452104881
43,1,0.0006111962619026649
43,2,0.0006317152331189245
43,3,0.000638385375352173
43,4,0.0006162697290502284
44,1,0.0006487236053767185
44,2,0.0006689981337817993
44,3,0.0006690471769292387
44,4,0.0006487740465566651
45,1,0.000685692249959624
45,2,0.0007055057535793043
45,3,0.0007055477518222151
45,4,0.000685735612724645
46,1,0.0007217329717047245
46,2,0.0007409765442380022
46,3,0.0007465525913618778
46,4,0.0007217718435855912
47,1,0.0007566736903549058
47,2,0.0007753372068515976
47,3,0.0007753682281726495
47,4,0.0007567062047918926
48,1,0.0007903992471866434
48,2,0.0008082640141879242
48,3,0.0008082876337201256
48,4,0.0007904241519777422
49,1,0.0008225606793115379
49,2,0.0008395572280648921
49,3,0.0008416158387713916
49,4,0.0008225823063009667
50,1,0.000853086650970115
50,2,0.0008692914404283299
50,3,0.0008693066352889415
50,4,0.0008531031415281836
51,1,0.0008820019260220865
51,2,0.0008972182837653618
51,3,0.0008972269363928481
51,4,0.0008820115989395427
52,1,0.0009090238774253035
52,2,0.0009232429955652467
52,3,0.0009232478136732059
52,4,0.0009090296155576142
53,1,0.000934170066221963
53,2,0.0009474512161647704
53,3,0.0009474519259996555
53,4,0.0009341715286202944
54,1,0.0009574926305207632
54,2,0.000969747176162626
54,3,0.0009697448129225025
54,4,0.0009574908991993918
55,1,0.000978887855037293
55,2,0.0009901494888382226
55,3,0.0009901451230585189
55,4,0.0009788840405264023
56,1,0.0009984502110030027
56,2,0.0010088070256653245
56,3,0.001008800678838521
56,4,0.000998444315304715
57,1,0.0010163160747112528
57,2,0.00102577199594961
