node,x,y,d_lower_bound_F3
1,-0.5,-0.5,0.000368641332236321
2,-0.4875,-0.5,0.00035086221410741297
3,-0.475,-0.5,0.0003204043954042067
4,-0.4625,-0.5,0.00028047126406817436
5,-0.45,-0.5,0.0002307256635959293
6,-0.4375,-0.5,0.00019137869072657817
7,-0.425,-0.5,0.00013132407318566282
8,-0.4125,-0.5,9.296971224648865e-05
9,-0.4,-0.5,6.495327271787614e-05
10,-0.3875,-0.5,4.181620640199759e-05
11,-0.375,-0.5,3.1352191837018283e-05
12,-0.3625,-0.5,2.5666741828164795e-05
13,-0.35,-0.5,3.220688234487778e-05
14,-0.3375,-0.5,4.7070538080622995e-05
15,-0.325,-0.5,6.91640454095351e-05
16,-0.3125,-0.5,0.00010838553270897929
17,-0.3,-0.5,0.00014664247859031787
18,-0.2875,-0.5,0.00020126701469545097
19,-0.275,-0.5,0.00028719375827603987
20,-0.2625,-0.5,0.0003447103898485745
21,-0.25,-0.5,0.00043318750564180954
22,-0.2375,-0.5,0.0005373917326390355
23,-0.22499999999999998,-0.5,0.0006599303369579841
24,-0.21250000000000002,-0.5,0.000789654989663946
25,-0.2,-0.5,0.0009353485160437363
26,-0.1875,-0.5,0.0011356733770969433
27,-0.175,-0.5,0.001308710760777772
28,-0.16249999999999998,-0.5,0.0015181640582949028
29,-0.15000000000000002,-0.5,0.0017974831222285176
30,-0.1375,-0.5,0.0020102980933806936
31,-0.125,-0.5,0.0022885552877488736
32,-0.11249999999999999,-0.5,0.0026750133376179856
33,-0.09999999999999998,-0.5,0.0028920793358975976
34,-0.08750000000000002,-0.5,0.0032148913716271194
35,-0.07500000000000001,-0.5,0.0037133045688111203
36,-0.0625,-0.5,0.0039285885014681615
37,-0.04999999999999999,-0.5,0.0042826965584089926
38,-0.03749999999999998,-0.5,0.00466202109938956
39,-0.025000000000000022,-0.5,0.0050623736757529165
40,-0.012500000000000011,-0.5,0.0054626659750494615
41,0.0,-0.5,0.00587265075355332
42,0.012499999999999956,-0.5,0.006256671209445932
43,0.025000000000000022,-0.5,0.006674849787353398
44,0.03749999999999998,-0.5,0.007069931426579778
45,0.050000000000000044,-0.5,0.007456541069583605
46,0.0625,-0.5,0.007855264696846137
47,0.07499999999999996,-0.5,0.008236812514943584
48,0.08750000000000002,-0.5,0.008594480588415398
49,0.09999999999999998,-0.5,0.008939258426332997
50,0.11250000000000004,-0.5,0.00928319251952809
51,0.125,-0.5,0.009608482824157317
52,0.13749999999999996,-0.5,0.009871638243791097
53,0.15000000000000002,-0.5,0.010148516697776283
54,0.16249999999999998,-0.5,0.01044904821584228
55,0.17500000000000004,-0.5,0.010626786695261568
56,0.1875,-0.5,0.010844375247639038
57,0.19999999999999996,-0.5,0.011040387448703148
58,0.21250000000000002,-0.5,0.011210065826433377
59,0.22499999999999998,-0.5,0.01137788704686852
60,0.23750000000000004,-0.5,0.011529545472042255
61,0.25,-0.5,0.011654636686950548
62,0.26249999999999996,-0.5,0.011780148854860523
63,0.275,-0.5,0.011892727946642563
64,0.2875,-0.5,0.011997535983399813
65,0.30000000000000004,-0.5,0.012097763476914006
66,0.3125,-0.5,0.012196428306094902
67,0.32499999999999996,-0.5,0.012297318076277909
68,0.3375,-0.5,0.012385889323638544
69,0.35,-0.5,0.012485256588679605
70,0.36250000000000004,-0.5,0.012612702346740334
71,0.375,-0.5,0.01270343447221319
72,0.38749999999999996,-0.5,0.012825578344308537
73,0.4,-0.5,0.0129601241176245
74,0.4125,-0.5,0.013112468306597479
75,0.42500000000000004,-0.5,0.013282743627490944
76,0.4375,-0.5,0.013458438400212333
77,0.44999999999999996,-0.5,0.013660368459532776
78,0.4625,-0.5,0.013877582904690109
79,0.475,-0.5,0.014053835680310446
80,0.48750000000000004,-0.5,0.014145228127075474
81,0.5,-0.5,0.014176351325428693
82,-0.5,-0.4875,0.0003693266500612778
83,-0.4875,-0.4875,0.0003526140888175487
84,-0.475,-0.4875,0.0003257028981578002
85,-0.4625,-0.4875,0.00028419103179172907
86,-0.45,-0.4875,0.0002297035296179763
87,-0.4375,-0.4875,0.00017728202411725156
88,-0.425,-0.4875,0.00013461457790779646
89,-0.4125,-0.4875,9.378910255974586e-05
90,-0.4,-0.4875,6.120033354185063e-05
91,-0.3875,-0.4875,4.200408844570826e-05
92,-0.375,-0.4875,3.150301512857454e-05
93,-0.3625,-0.4875,2.5149851095623715e-05
94,-0.35,-0.4875,2.9475921336512364e-05
95,-0.3375,-0.4875,4.569423808375404e-05
96,-0.325,-0.4875,7.29871117008348e-05
97,-0.3125,-0.4875,0.00010009556333776229
98,-0.3,-0.4875,0.00014599297689488547
99,-0.2875,-0.4875,0.0002121406827501484
100,-0.275,-0.4875,0.0002635802036285757
101,-0.2625,-0.4875,0.00034241079955035927
102,-0.25,-0.4875,0.0004521402963518418
103,-0.2375,-0.4875,0.0005362755673451488
104,-0.22499999999999998,-0.4875,0.0006503075369197302
105,-0.21250000000000002,-0.4875,0.0008126453691716612
106,-0.2,-0.4875,0.0009429408009238821
107,-0.1875,-0.4875,0.0011031919572023876
108,-0.175,-0.4875,0.001314976843687863
109,-0.16249999999999998,-0.4875,0.0015462825022043993
110,-0.15000000000000002,-0.4875,0.0017462886124010421
111,-0.1375,-0.4875,0.002012150159509422
112,-0.125,-0.4875,0.002327146478552984
113,-0.11249999999999999,-0.4875,0.0025781656879901964
114,-0.09999999999999998,-0.4875,0.002884439054206258
115,-0.08750000000000002,-0.4875,0.003269123896724415
116,-0.07500000000000001,-0.4875,0.0035554284874442926
117,-0.0625,-0.4875,0.003910834877626371
118,-0.04999999999999999,-0.4875,0.004368730521025642
119,-0.03749999999999998,-0.4875,0.00466134737915032
120,-0.025000000000000022,-0.4875,0.005031621291247003
121,-0.012500000000000011,-0.4875,0.005541101940046776
122,0.0,-0.4875,0.005881547069422739
123,0.012499999999999956,-0.4875,0.0062414946241837015
124,0.025000000000000022,-0.4875,0.006708441718360719
125,0.03749999999999998,-0.4875,0.007141293582901626
126,0.050000000000000044,-0.4875,0.0074525024904798275
127,0.0625,-0.4875,0.007868621627685507
128,0.07499999999999996,-0.4875,0.008321589121760866
129,0.08750000000000002,-0.4875,0.008592491410882419
130,0.09999999999999998,-0.4875,0.008952079388732154
131,0.11250000000000004,-0.4875,0.009356665732662178
132,0.125,-0.4875,0.009596990100390114
133,0.13749999999999996,-0.4875,0.00986874051349065
