element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
1,2.6939121976617106e-08,2.6939122637533605e-08,2.739073888893489e-08,2.4533705409990984e-08
2,2.762079130105535e-08,2.7620790268559067e-08,2.810398490066172e-08,3.738112613895721e-08
3,7.798428073388088e-07,7.798427938784115e-07,7.951034702714261e-07,1.7260398071956714e-08
4,1.020354490509803e-06,1.0203544516665119e-06,1.0429764421857055e-06,3.8068427655852166e-08
5,1.4821440369115267e-06,1.4821440535678985e-06,1.5167902164623156e-06,1.1238024926120882e-08
6,1.2924460460578262e-06,1.2924460625587213e-06,1.3254955878327922e-06,1.2767182776133371e-08
7,1.6021510107973871e-06,1.6021510374826415e-06,1.6454985499300802e-06,1.665589184978067e-08
8,1.7299726719109818e-06,1.729972666524855e-06,1.778150867230002e-06,3.113417313891065e-09
9,1.91141333005191e-06,1.911413332077072e-06,1.9661776352334154e-06,1.0595103349748435e-09
10,2.0168066476057057e-08,2.016806669252936e-08,2.0543562846139898e-08,1.0733418628011248e-08
11,9.044162798121643e-08,9.044162930295552e-08,9.217375822345305e-08,1.4614277734843538e-08
12,3.755177479854155e-07,3.75517748047236e-07,3.8350536192204765e-07,1.6462733976914976e-10
13,8.653860608524832e-07,8.653860446745028e-07,8.847691184004047e-07,1.869452392718831e-08
14,7.710881676516168e-07,7.710881832541738e-07,7.895079609124525e-07,2.023446512530988e-08
15,1.2636150471929102e-06,1.2636150079756392e-06,1.2953661643214827e-06,3.1035773957983395e-08
16,1.6216925184200015e-06,1.6216925220563966e-06,1.6631842313013388e-06,2.2423455610832545e-09
17,1.6696214167067228e-06,1.669621486778737e-06,1.714424154679798e-06,4.196880233211404e-08
18,1.7895704741220967e-06,1.7895705147998375e-06,1.8350230899360123e-06,2.2730448739484767e-08
19,1.7853261899366466e-06,1.7853262239125035e-06,1.8320911420706619e-06,1.9030615512398407e-08
20,1.9381995815626556e-06,1.93819954892024e-06,1.9873521059787894e-06,1.684161736917965e-08
21,7.581713449567029e-10,7.581713421779085e-10,7.581881472421623e-10,3.6651271234967755e-09
22,2.4838441158276348e-11,2.4838440869272906e-11,2.483857204356867e-11,1.1635329281787717e-08
23,4.7717606012455e-09,4.771760585723389e-09,4.772087381989812e-09,3.252910716462951e-09
24,1.0324698918720983e-08,1.0324699049022202e-08,1.0325852525705434e-08,1.2620340641492543e-08
25,1.0850694607096443e-08,1.0850694016366836e-08,1.0852786204839985e-08,5.4441639741170623e-08
26,5.4726593138244985e-09,5.472659314471494e-09,5.473335652694002e-09,1.1822330288489433e-10
27,2.2073672132380785e-08,2.2073672167933024e-08,2.2082447698713113e-08,1.6106173454360262e-09
28,6.480560146539556e-08,6.480560187309926e-08,6.492590446340689e-08,6.291179982004297e-09
