element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
1,3.5744335285304373e-12,8.892167141367174e-16,3.575322745244574e-12
2,3.254551537379039e-12,8.96686531780489e-16,3.2554482239108196e-12
3,7.48736592076733e-11,3.018475602228544e-14,7.490384396369559e-11
4,7.637273611708782e-11,4.307506746957157e-14,7.64158111845574e-11
5,1.0784998725429929e-10,6.10986871482824e-14,1.0791108594144757e-10
6,6.978792212755981e-11,5.0331038797833246e-14,6.983825316635763e-11
7,8.668657263955384e-11,5.845339517308153e-14,8.674502603472692e-11
8,8.756393813778256e-11,6.0573315175594e-14,8.762451145295816e-11
9,9.022255463174292e-11,6.382692566973093e-14,9.028638155741266e-11
10,2.037778078663466e-12,6.194814464595559e-16,2.0383975601099255e-12
11,8.590281665307771e-12,2.958439589760098e-15,8.593240104897532e-12
12,2.8981270009082375e-11,1.542542305256849e-14,2.8996695432134945e-11
13,5.898802384090135e-11,3.709273922935771e-14,5.902511658013072e-11
14,3.934746836099838e-11,3.401942532344216e-14,3.938148778632182e-11
15,6.1984106064866e-11,5.0995642932103763e-14,6.20351017077981e-11
16,7.272626523673581e-11,6.265521385626747e-14,7.278892045059207e-11
17,7.770541614829995e-11,5.971954649726341e-14,7.776513569479721e-11
18,6.005444384294502e-11,6.596264831012907e-14,6.012040649125516e-11
19,6.893818871282377e-11,6.290581107950178e-14,6.900109452390327e-11
20,6.663713079887967e-11,7.281058455280011e-14,6.670994138343247e-11
21,3.77648280622177e-11,7.225812177644825e-14,3.7837086183994146e-11
22,3.45733632666454e-11,6.509457160020492e-14,3.4638457838245605e-11
23,4.593091450305537e-11,9.290146576513691e-14,4.6023815968820505e-11
24,2.829976845789199e-11,9.448662835614053e-14,2.839425508624813e-11
25,1.1215618332931328e-11,6.592993659031078e-14,1.128154826952164e-11
26,5.830221646839178e-12,5.086136261564701e-14,5.8810830094548246e-12
27,3.4881806552969134e-12,5.199263785803693e-14,3.5401732931549505e-12
28,8.212846496099186e-13,1.3498308029866433e-14,8.34782957639785e-13
29,6.16709558933861e-13,1.2843293700220798e-14,6.295528526340817e-13
30,2.156847036988675e-12,3.1915612479017596e-14,2.1887626494676927e-12
31,3.237468793030946e-12,3.502657830689764e-14,3.272495371337844e-12
32,2.9779179549001868e-12,3.483660010479118e-14,3.012754555004978e-12
33,7.395727749088516e-12,4.7470895262494206e-14,7.44319864435101e-12
34,7.137612359054047e-12,4.47805442168576e-14,7.1823929032709045e-12
35,7.671588996732582e-12,3.740388246979491e-14,7.708992879202378e-12
36,8.516825217425658e-12,3.985525739726327e-14,8.556680474822922e-12
37,4.744027256558057e-12,2.4665075684829498e-14,4.768692332242887e-12
38,5.588106562406408e-12,2.72523492571573e-14,5.615358911663565e-12
39,6.360669026682615e-12,2.850725892812779e-14,6.389176285610743e-12
40,4.545197709842955e-12,1.623656994947779e-14,4.561434279792432e-12
41,1.3363191121488695e-12,1.2289690592037259e-15,1.3375480812080733e-12
42,1.11278906390489e-12,1.5181230551658566e-16,1.1129408762104066e-12
43,1.0363342032079347e-12,2.4128803506607435e-17,1.0363583320114414e-12
44,1.0390958727715964e-12,4.643201529416717e-17,1.0391423047868904e-12
45,1.096109138182481e-12,1.0934501169976916e-16,1.0962184831941807e-12
46,1.076237792964716e-12,5.2039494667195935e-15,1.0814417424314356e-12
47,3.1981086315587365e-12,1.7882850048101324e-14,3.2159914816068377e-12
48,7.695150226688529e-12,4.6044467393069645e-14,7.741194694081599e-12
49,3.6376447258798275e-12,2.6147080607137818e-14,3.663791806486965e-12
50,4.4289928332603715e-12,3.219850132904613e-14,4.461191334589418e-12
51,3.4081421599034454e-12,2.6894315844623954e-14,3.4350364757480692e-12
52,4.696716297784938e-12,3.633396377100071e-14,4.7330502615559386e-12
53,1.2686611856083456e-12,3.034434263235161e-16,1.268964629034669e-12
54,1.1082665142326846e-12,1.4345991232703227e-16,1.1084099741450116e-12
55,1.1180525794326544e-12,6.657697966397339e-16,1.1187183492292942e-12
56,6.220076951272281e-12,5.002713612069143e-15,6.22507966488435e-12
57,1.4475799150297337e-11,1.6877556784760493e-14,1.4492676707082098e-11
58,2.2881736711689167e-11,1.9150858133593332e-14,2.290088756982276e-11
59,2.3793672844151457e-11,2.0886699797114938e-14,2.3814559543948573e-11
60,2.035193927679626e-11,1.612769615664819e-14,2.036806697295291e-11
61,1.1304554513708704e-11,7.420954671272966e-15,1.1311975468379976e-11
62,1.9396961630806587e-12,7.50295524921591e-16,1.9404464586055802e-12
63,1.2342620208931234e-12,2.7548957349699026e-16,1.2345375104666203e-12
64,1.2816608831985325e-12,5.274111452080011e-16,1.2821882943437404e-12
65,1.0844469003845195e-12,2.07031588834402e-16,1.084653931973354e-12
66,1.43371426761226e-12,4.3254898422260816e-14,1.4769691660345208e-12
67,1.9737161162825564e-12,1.6859875438909968e-14,1.9905759917214665e-12
68,6.360916906708698e-12,3.9761308116920505e-14,6.400678214825619e-12
69,4.440189303320323e-12,3.008330789309188e-14,4.470272611213415e-12
70,2.585206579416317e-12,1.953908139600721e-14,2.6047456608123243e-12
71,2.517194269679065e-12,2.2286749289162e-14,2.539481018968227e-12
72,3.427510626267672e-12,2.987404745252241e-14,3.4573846737201943e-12
73,3.3903352038885627e-12,3.295455299715034e-14,3.423289756885713e-12
74,1.5829250927539946e-12,1.4745425752133435e-14,1.597670518506128e-12
75,4.843802114742295e-12,3.969461297450404e-14,4.883496727716799e-12
76,1.1306069492702506e-11,8.609328344407099e-14,1.1392162776146577e-11
77,7.130904819752274e-12,4.68539871381374e-14,7.177758806890412e-12
78,3.861173785366476e-12,2.5427992455809442e-14,3.8866017778222856e-12
79,2.1045571253589504e-12,2.3954853221169346e-14,2.1285119785801198e-12
80,3.598948960899145e-11,4.048505666403873e-13,3.639434017563184e-11
81,4.899649131599907e-11,4.105711704967389e-13,4.9407062486495806e-11
82,7.011287298594761e-12,5.674057037489563e-14,7.068027868969656e-12
83,7.061187923158781e-12,5.3599319848768065e-14,7.114787243007549e-12
84,4.642168928481484e-12,3.1424216121120433e-14,4.673593144602604e-12
85,2.9167891611639495e-12,3.111489391592629e-14,2.9479040550798756e-12
86,1.0050281801907041e-12,1.421502081720842e-14,1.0192432010079125e-12
87,1.450954630862201e-12,2.0977705015910588e-14,1.4719323358781116e-12
88,1.8153251018593892e-11,1.49031469117707e-13,1.83022824877116e-11
89,2.31101786477192e-11,1.631839277371623e-13,2.3273362575456362e-11
90,1.2590539269705941e-11,9.550344518585285e-14,1.2686042714891794e-11
91,4.949351526898641e-12,4.0756215098054206e-14,4.990107741996695e-12
92,4.896361330559095e-12,5.457939903567149e-14,4.950940729594767e-12
93,8.324404014245555e-13,1.19064186124767e-14,8.443468200370323e-13
94,3.138037100541537e-12,3.9758393566041455e-14,3.1777954941075784e-12
95,4.3443318075338334e-11,1.548288501251316e-13,4.3598146925463466e-11
96,2.9100376755345213e-11,1.4402795271098961e-13,2.92444047080562e-11
97,1.4575570785831978e-11,9.188060022944291e-14,1.466745138606142e-11
98,8.49475354975708e-12,6.593202088561109e-14,8.560685570642692e-12
99,4.0576986657522755e-12,3.784147435097935e-14,4.095540140103255e-12
100,4.4973253825835825e-12,5.2657650186696195e-14,4.549983032770278e-12
101,2.455500259298399e-11,7.886513996687235e-14,2.4633867732950862e-11
102,2.5490767750237704e-11,1.1738766739115272e-13,2.5608155417628858e-11
103,6.877344403527875e-12,4.6051273552237427e-14,6.923395677080113e-12
104,8.051460869094993e-12,6.794047326686886e-14,8.119401342361861e-12
105,3.392169394147488e-11,7.035530644013703e-14,3.3992049247915016e-11
106,4.445211966972779e-11,9.208168316324987e-14,4.454420135289104e-11
107,1.3688648045219087e-11,6.975033415841209e-14,1.37583983793775e-11
108,1.5530870973354925e-11,6.659744422689802e-14,1.5597468417581823e-11
109,2.4942131962473355e-11,6.744470507989035e-14,2.5009576667553247e-11
110,6.528296104526286e-12,4.242708237039503e-14,6.5707231868966815e-12
111,6.187118966277602e-12,5.6816745283262865e-14,6.243935711560865e-12
112,2.3939727612537326e-12,3.928390910503411e-14,2.4332566703587665e-12
113,1.14189426732098e-13,8.07712400713021e-15,1.222665507392282e-13
114,2.6784758776848487e-13,1.0879238754776348e-14,2.7872682652326123e-13
115,7.623271667603794e-13,1.7193686844244226e-14,7.795208536046237e-13
116,1.7788366192786213e-12,2.899454164075616e-14,1.8078311609193775e-12
117,1.0673223894467991e-11,6.057524701922235e-14,1.0733799141487213e-11
118,5.226435350915009e-12,4.762292790470855e-14,5.274058278819717e-12
119,4.753037113719819e-12,5.6579579009073564e-14,4.8096166927288926e-12
120,1.0009884233853904e-12,2.1460030661164158e-14,1.0224484540465545e-12
121,1.6197966830274802e-13,9.097077581466363e-15,1.7107674588421439e-13
122,6.936783877101897e-13,1.9803801992869172e-14,7.134821897030589e-13
123,9.294179183302766e-13,2.212075664395413e-14,9.515386749742308e-13
124,6.563039109954165e-12,5.2765377541960705e-14,6.615804487496126e-12
125,6.761631973269221e-12,6.083574585382327e-14,6.822467719123044e-12
126,5.729014716518733e-12,7.23206568982259e-14,5.801335373416959e-12
127,9.86714617007584e-13,2.927153018596399e-14,1.015986147193548e-12
128,5.711825101492117e-13,2.0499655444430082e-14,5.916821655936418e-13
129,5.622356484895233e-14,7.890314980338858e-15,6.411387982929118e-14
130,5.522820171778378e-14,7.221321533904038e-15,6.244952325168782e-14
131,1.0481691688278358e-13,8.884699286099367e-15,1.1370161616888295e-13
132,3.564201910902404e-12,4.094631478470375e-14,3.6051482256871076e-12
133,3.2434066675881963e-12,3.996547403183416e-14,3.2833721416200303e-12
134,1.650372923990413e-12,4.2615874054863525e-14,1.6929887980452764e-12
135,4.4155461678671424e-13,2.2320794039974708e-14,4.63875410826689e-13
136,8.809136792358104e-14,1.2685771405722518e-14,1.0077713932930355e-13
137,9.540169074243848e-15,5.151826698280117e-15,1.4691995772523967e-14
138,1.2561667390856798e-14,4.68174154709299e-15,1.7243408937949788e-14
