element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
1,2.693912197661718e-08,2.6939122637533674e-08,2.7390738888934965e-08,2.4533705287168715e-08
2,2.7620791301055235e-08,2.762079026855895e-08,2.8103984900661604e-08,3.7381126138957366e-08
3,7.79842807338809e-07,7.798427938784119e-07,7.951034702714263e-07,1.726039793618689e-08
4,1.0203544905098028e-06,1.0203544516665116e-06,1.042976442185705e-06,3.806842765585217e-08
5,1.4821440369115263e-06,1.4821440535678979e-06,1.516790216462315e-06,1.1238024783247975e-08
6,1.2924460460578262e-06,1.2924460625587213e-06,1.3254955878327918e-06,1.2767182776133371e-08
7,1.602151010797387e-06,1.6021510374826411e-06,1.6454985499300798e-06,1.6655891717609468e-08
8,1.7299726719109823e-06,1.7299726665248552e-06,1.7781508672300024e-06,3.113417436296603e-09
9,1.911413330051908e-06,1.9114133320770704e-06,1.9661776352334133e-06,1.0595103349748445e-09
10,2.0168066476057028e-08,2.0168066692529327e-08,2.0543562846139865e-08,1.0733418463953774e-08
11,9.044162798121635e-08,9.044162930295546e-08,9.217375822345297e-08,1.4614277881179808e-08
12,3.75517747985415e-07,3.755177480472355e-07,3.835053619220471e-07,1.6462733976915e-10
13,8.653860608524835e-07,8.65386044674503e-07,8.84769118400405e-07,1.8694524049537303e-08
14,7.710881676516179e-07,7.710881832541748e-07,7.895079609124536e-07,2.023446512530985e-08
15,1.2636150471929093e-06,1.2636150079756386e-06,1.295366164321482e-06,3.103577379040213e-08
16,1.621692518420002e-06,1.6216925220563972e-06,1.663184231301339e-06,2.2423456916617904e-09
17,1.6696214167067222e-06,1.6696214867787366e-06,1.7144241546797973e-06,4.196880245894414e-08
18,1.7895704741220952e-06,1.789570514799836e-06,1.8350230899360108e-06,2.2730448739484783e-08
19,1.785326189936647e-06,1.785326223912504e-06,1.8320911420706625e-06,1.9030615512398403e-08
20,1.9381995815626556e-06,1.9381995489202394e-06,1.987352105978789e-06,1.68416175876899e-08
21,7.581713449567029e-10,7.581713421779084e-10,7.581881472421624e-10,3.66512725987436e-09
22,2.4838441158276344e-11,2.4838440869272903e-11,2.4838572043568667e-11,1.1635329281787718e-08
23,4.771760601245501e-09,4.77176058572339e-09,4.7720873819898125e-09,3.2529107164629505e-09
24,1.0324698918720986e-08,1.0324699049022204e-08,1.0325852525705435e-08,1.262034048125918e-08
25,1.0850694607096445e-08,1.0850694016366838e-08,1.0852786204839985e-08,5.444163974117061e-08
26,5.4726593138244985e-09,5.472659314471494e-09,5.473335652694002e-09,1.1822330288489433e-10
27,2.207367213238078e-08,2.2073672167933018e-08,2.208244769871311e-08,1.6106173454360266e-09
28,6.480560146539556e-08,6.480560187309927e-08,6.492590446340689e-08,6.291180186228767e-09
29,2.0975223740598855e-07,2.0975223551673464e-07,2.106176521641395e-07,9.00707396644283e-09
30,6.684853757466218e-07,6.684853980108714e-07,6.74233587374094e-07,3.330551370289231e-08
31,7.524779971059363e-07,7.524779756775172e-07,7.617972621238486e-07,2.8477137076484304e-08
32,7.649456393331154e-07,7.649456395835688e-07,7.740418880819966e-07,3.274132642398704e-10
33,1.018106368767573e-06,1.018106350068713e-06,1.0353202797761488e-06,1.8366312823888405e-08
34,9.449852699240628e-07,9.449853098076673e-07,9.612008193596482e-07,4.220552855524875e-08
35,7.748562341424891e-07,7.748562407287846e-07,7.898959202341504e-07,8.500022493659593e-09
36,7.701655934888966e-07,7.701655514853657e-07,7.858999510800339e-07,5.453831131696979e-08
37,4.211190562987329e-07,4.2111905649736194e-07,4.3001753434312747e-07,4.716694989416631e-10
38,4.31947950533695e-07,4.319479400219104e-07,4.420669811832955e-07,2.433576680416638e-08
39,4.1243002778450115e-07,4.124300231226744e-07,4.235368247226495e-07,1.1303315613729393e-08
40,2.3188138006095944e-07,2.318813743717809e-07,2.3870862173804805e-07,2.4534865746517838e-08
41,3.658676864714856e-08,3.658676907615377e-08,3.755205442075159e-08,1.1725692781048192e-08
42,2.016161375458476e-08,2.0161614095985e-08,2.0574248226659024e-08,1.69331799320088e-08
43,2.3093650803079775e-08,2.3093651443315623e-08,2.365703097367768e-08,2.7723456819235777e-08
44,2.3217241815475642e-08,2.3217241135700107e-08,2.3783403918691668e-08,2.927891006885853e-08
45,3.7792927624980315e-08,3.7792927611230733e-08,3.94450910407292e-08,3.6381360996297784e-10
46,6.236192776106335e-08,6.236192834324089e-08,6.52382722343826e-08,9.335463998649629e-09
47,2.3425282088375382e-07,2.3425281984358725e-07,2.412957700383663e-07,4.440358783129717e-09
48,6.529860384946119e-07,6.529860327986175e-07,6.689888284413459e-07,8.722995677538116e-09
49,4.4282112052378514e-07,4.4282113888653585e-07,4.501730449817698e-07,4.1467647093578474e-08
50,5.863084983484381e-07,5.863085056623868e-07,5.959026370346132e-07,1.2474573688375289e-08
51,5.092018207865765e-07,5.092018340340325e-07,5.170187917219267e-07,2.6016120089487262e-08
52,7.4829615474463e-07,7.482961450575843e-07,7.598464688336197e-07,1.2945470390353124e-08
53,1.9705172433963333e-08,1.970517289991308e-08,2.009245149707758e-08,2.364606235831441e-08
54,2.0060609424179705e-08,2.0060609223668947e-08,2.0470942867109196e-08,9.995247571120348e-09
55,2.5460008275712586e-08,2.546000978021663e-08,2.6048937887383595e-08,5.9092830543620475e-08
