element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
1,3.574433528530447e-12,8.89216714136686e-16,3.5753227452445836e-12
2,3.2545515373790254e-12,8.966865317804962e-16,3.255448223910806e-12
3,7.487365920767333e-11,3.0184756022285516e-14,7.490384396369562e-11
4,7.63727361170878e-11,4.3075067469571596e-14,7.641581118455737e-11
5,1.0784998725429925e-10,6.109868714828243e-14,1.0791108594144753e-10
6,6.978792212755978e-11,5.03310387978331e-14,6.983825316635761e-11
7,8.668657263955382e-11,5.845339517308152e-14,8.67450260347269e-11
8,8.75639381377826e-11,6.057331517559409e-14,8.76245114529582e-11
9,9.022255463174283e-11,6.382692566973096e-14,9.028638155741257e-11
10,2.0377780786634633e-12,6.194814464595496e-16,2.0383975601099227e-12
11,8.590281665307763e-12,2.9584395897601185e-15,8.593240104897524e-12
12,2.898127000908233e-11,1.5425423052568597e-14,2.89966954321349e-11
13,5.898802384090138e-11,3.7092739229357675e-14,5.902511658013074e-11
14,3.934746836099843e-11,3.401942532344214e-14,3.9381487786321874e-11
15,6.198410606486596e-11,5.0995642932103694e-14,6.203510170779806e-11
16,7.272626523673582e-11,6.265521385626742e-14,7.278892045059208e-11
17,7.770541614829991e-11,5.97195464972634e-14,7.776513569479718e-11
18,6.005444384294498e-11,6.596264831012907e-14,6.012040649125512e-11
19,6.89381887128238e-11,6.29058110795017e-14,6.90010945239033e-11
20,6.663713079887966e-11,7.281058455280011e-14,6.670994138343246e-11
21,3.77648280622177e-11,7.225812177644815e-14,3.7837086183994146e-11
22,3.4573363266645386e-11,6.509457160020492e-14,3.463845783824559e-11
23,4.593091450305537e-11,9.290146576513696e-14,4.6023815968820505e-11
24,2.8299768457892003e-11,9.448662835614054e-14,2.8394255086248144e-11
25,1.1215618332931328e-11,6.592993659031071e-14,1.128154826952164e-11
26,5.830221646839179e-12,5.0861362615647e-14,5.881083009454826e-12
27,3.4881806552969134e-12,5.1992637858036963e-14,3.5401732931549505e-12
28,8.212846496099187e-13,1.3498308029866445e-14,8.347829576397851e-13
29,6.16709558933861e-13,1.2843293700220796e-14,6.295528526340817e-13
30,2.1568470369886747e-12,3.191561247901756e-14,2.1887626494676923e-12
31,3.237468793030946e-12,3.5026578306897633e-14,3.272495371337844e-12
32,2.9779179549001876e-12,3.4836600104791184e-14,3.012754555004979e-12
33,7.395727749088512e-12,4.747089526249417e-14,7.443198644351006e-12
34,7.137612359054048e-12,4.478054421685764e-14,7.182392903270905e-12
35,7.671588996732576e-12,3.7403882469794896e-14,7.708992879202371e-12
36,8.516825217425658e-12,3.9855257397263305e-14,8.556680474822922e-12
37,4.744027256558058e-12,2.4665075684829508e-14,4.768692332242888e-12
38,5.588106562406406e-12,2.725234925715727e-14,5.6153589116635635e-12
39,6.360669026682616e-12,2.8507258928127783e-14,6.389176285610744e-12
40,4.54519770984295e-12,1.6236569949477714e-14,4.5614342797924275e-12
41,1.3363191121488689e-12,1.2289690592037353e-15,1.3375480812080727e-12
42,1.1127890639048914e-12,1.5181230551658243e-16,1.112940876210408e-12
43,1.0363342032079351e-12,2.4128803506607753e-17,1.0363583320114419e-12
44,1.039095872771596e-12,4.643201529416946e-17,1.03914230478689e-12
45,1.0961091381824807e-12,1.0934501169976897e-16,1.0962184831941805e-12
46,1.0762377929647168e-12,5.203949466719589e-15,1.0814417424314364e-12
47,3.198108631558736e-12,1.788285004810126e-14,3.2159914816068373e-12
48,7.69515022668853e-12,4.604446739306962e-14,7.7411946940816e-12
49,3.6376447258798307e-12,2.61470806071378e-14,3.663791806486968e-12
50,4.428992833260373e-12,3.2198501329046117e-14,4.4611913345894195e-12
51,3.4081421599034442e-12,2.689431584462395e-14,3.435036475748068e-12
52,4.696716297784935e-12,3.633396377100065e-14,4.733050261555935e-12
53,1.2686611856083448e-12,3.034434263235255e-16,1.2689646290346683e-12
54,1.1082665142326844e-12,1.434599123270343e-16,1.1084099741450114e-12
55,1.1180525794326565e-12,6.657697966397311e-16,1.1187183492292962e-12
56,6.2200769512722795e-12,5.002713612069118e-15,6.225079664884348e-12
57,1.447579915029733e-11,1.6877556784760455e-14,1.4492676707082092e-11
58,2.2881736711689155e-11,1.9150858133593407e-14,2.2900887569822747e-11
59,2.3793672844151482e-11,2.088669979711499e-14,2.38145595439486e-11
