element,integration_point,node1,node2,node3,node4,gauss_xi,gauss_eta,gauss_weight,detJ,jacobian_weight,positive
1,1,10,397,450,9,-0.5773502691896258,-0.5773502691896258,1.0,8.587580775009477e-06,8.587580775009477e-06,True
1,2,10,397,450,9,0.5773502691896258,-0.5773502691896258,1.0,8.889281935462609e-06,8.889281935462609e-06,True
1,3,10,397,450,9,0.5773502691896258,0.5773502691896258,1.0,9.907637149152613e-06,9.907637149152613e-06,True
1,4,10,397,450,9,-0.5773502691896258,0.5773502691896258,1.0,9.605935988699482e-06,9.605935988699482e-06,True
2,1,350,14,15,393,-0.5773502691896258,-0.5773502691896258,1.0,9.019395542524672e-06,9.019395542524672e-06,True
2,2,350,14,15,393,0.5773502691896258,-0.5773502691896258,1.0,8.90793913800065e-06,8.90793913800065e-06,True
2,3,350,14,15,393,0.5773502691896258,0.5773502691896258,1.0,8.709957348212638e-06,8.709957348212638e-06,True
2,4,350,14,15,393,-0.5773502691896258,0.5773502691896258,1.0,8.82141375273666e-06,8.82141375273666e-06,True
3,1,263,1352,1291,1901,-0.5773502691896258,-0.5773502691896258,1.0,0.00021547378299435462,0.00021547378299435462,True
3,2,263,1352,1291,1901,0.5773502691896258,-0.5773502691896258,1.0,0.00026554034449618444,0.00026554034449618444,True
3,3,263,1352,1291,1901,0.5773502691896258,0.5773502691896258,1.0,0.0002323426986697722,0.0002323426986697722,True
3,4,263,1352,1291,1901,-0.5773502691896258,0.5773502691896258,1.0,0.00018227613716794233,0.00018227613716794233,True
4,1,1740,1775,293,1739,-0.5773502691896258,-0.5773502691896258,1.0,0.0002650460726079749,0.0002650460726079749,True
4,2,1740,1775,293,1739,0.5773502691896258,-0.5773502691896258,1.0,0.00023463920375001887,0.00023463920375001887,True
4,3,1740,1775,293,1739,0.5773502691896258,0.5773502691896258,1.0,0.00025430585722449194,0.00025430585722449194,True
4,4,1740,1775,293,1739,-0.5773502691896258,0.5773502691896258,1.0,0.00028471272608244797,0.00028471272608244797,True
5,1,164,1739,1741,163,-0.5773502691896258,-0.5773502691896258,1.0,0.00033599898964669603,0.00033599898964669603,True
5,2,164,1739,1741,163,0.5773502691896258,-0.5773502691896258,1.0,0.0003469273616346635,0.0003469273616346635,True
5,3,164,1739,1741,163,0.5773502691896258,0.5773502691896258,1.0,0.0003806000890902418,0.0003806000890902418,True
5,4,164,1739,1741,163,-0.5773502691896258,0.5773502691896258,1.0,0.00036967171710227434,0.00036967171710227434,True
6,1,1738,1777,324,1737,-0.5773502691896258,-0.5773502691896258,1.0,0.0002835151091018962,0.0002835151091018962,True
