node,x,y,active_lower_bound,d_compatible,d_lb,bound_margin,residual_Kd_minus_f
1,-0.5,-0.5,False,0.0003686413322363209,0.00029949358368940466,6.914774854691622e-05,-2.481541837659083e-24
2,-0.4875,-0.5,False,0.00035086221410741297,0.0003024925259331761,4.836968817423687e-05,3.308722450212111e-24
3,-0.475,-0.5,False,0.0003204043954042066,0.0002955967444676714,2.4807650936535205e-05,-4.1359030627651384e-24
4,-0.4625,-0.5,False,0.00028047126406817436,0.00026722675648941995,1.3244507578754402e-05,2.481541837659083e-24
5,-0.45,-0.5,False,0.0002307256635959293,0.0002224358839329488,8.2897796629805e-06,-2.0679515313825692e-24
6,-0.4375,-0.5,True,0.00019137869072657814,0.00019137869072657814,0.0,9.16555521083903e-10
7,-0.425,-0.5,False,0.00013132407318566287,0.0001161364884991698,1.5187584686493071e-05,1.2407709188295415e-24
8,-0.4125,-0.5,False,9.296971224648863e-05,8.79515102431872e-05,5.018202003301427e-06,6.203854594147708e-25
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,0.0,1.43155979199493e-10
10,-0.3875,-0.5,False,4.1816206401997606e-05,3.758110448235131e-05,4.235101919646296e-06,5.169878828456423e-25
11,-0.375,-0.5,True,3.1352191837018283e-05,3.1352191837018283e-05,0.0,8.283426571435203e-11
12,-0.3625,-0.5,False,2.566674182816479e-05,2.522101618820705e-05,4.4572563995773864e-07,-2.8434333556510326e-25
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,0.0,1.1634970065014775e-10
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,0.0,7.232961943072139e-11
15,-0.325,-0.5,False,6.916404540953512e-05,6.438624773248023e-05,4.777797677054887e-06,-1.0339757656912846e-24
16,-0.3125,-0.5,True,0.00010838553270897932,0.00010838553270897932,0.0,4.003780453694506e-10
17,-0.3,-0.5,False,0.00014664247859031784,0.00014284154402430084,3.8009345660170064e-06,-8.271806125530277e-25
18,-0.2875,-0.5,False,0.00020126701469545097,0.00019060262595818102,1.0664388737269959e-05,-6.2038545941477076e-24
19,-0.275,-0.5,True,0.00028719375827603987,0.00028719375827603987,0.0,1.4382722399120396e-09
20,-0.2625,-0.5,False,0.0003447103898485746,0.0003372200696517562,7.490320196818412e-06,-8.271806125530277e-25
21,-0.25,-0.5,False,0.0004331875056418096,0.00042072627579494326,1.2461229846866327e-05,3.308722450212111e-24
22,-0.2375,-0.5,False,0.0005373917326390356,0.0004707810871710676,6.661064546796802e-05,1.6543612251060553e-24
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579841,0.0,2.3171251166091336e-10
24,-0.21250000000000002,-0.5,False,0.0007896549896639457,0.0007820540160651615,7.600973598784243e-06,3.308722450212111e-24
25,-0.2,-0.5,False,0.0009353485160437365,0.0008722413111892593,6.31072048544772e-05,-9.926167350636332e-24
26,-0.1875,-0.5,True,0.0011356733770969429,0.0011356733770969429,0.0,1.646974234836943e-09
27,-0.175,-0.5,False,0.0013087107607777722,0.0013007805621114677,7.930198666304504e-06,-3.308722450212111e-24
