node,x,y,reconstructed_residual,forensic_residual,residual_error
1,-0.5,-0.5,-1.212667334399313e-09,-1.2126673343993127e-09,-2.0679515313825692e-25
2,-0.4875,-0.5,-1.5329397491600545e-09,-1.5329397491600562e-09,1.6543612251060553e-24
3,-0.475,-0.5,-6.85808899639129e-10,-6.85808899639128e-10,-1.0339757656912846e-24
4,-0.4625,-0.5,-2.755797351254276e-10,-2.7557973512543103e-10,3.412120026781239e-24
5,-0.45,-0.5,-7.055704297240721e-11,-7.055704297240522e-11,-1.990403348955723e-24
6,-0.4375,-0.5,1.4484220326334817e-09,1.4484220326334835e-09,-1.8611563782443123e-24
7,-0.425,-0.5,-6.296994001939191e-10,-6.296994001939193e-10,2.0679515313825692e-25
8,-0.4125,-0.5,2.6173347751936463e-11,2.6173347751936075e-11,3.877409121342317e-25
9,-0.4,-0.5,4.205828038937667e-10,4.205828038937679e-10,-1.1890721305449773e-24
10,-0.3875,-0.5,-1.0604735415959211e-10,-1.0604735415959154e-10,-5.686866711302065e-25
11,-0.375,-0.5,1.591135509154389e-10,1.591135509154388e-10,1.0339757656912846e-25
12,-0.3625,-0.5,8.453175284673596e-11,8.453175284673583e-11,1.2924697071141057e-25
13,-0.35,-0.5,2.3030779146782764e-10,2.303077914678275e-10,1.2924697071141057e-25
14,-0.3375,-0.5,1.801835674879895e-10,1.8018356748798754e-10,1.9645539548134407e-24
15,-0.325,-0.5,-9.946673756875056e-11,-9.946673756875211e-11,1.5509636485369269e-24
16,-0.3125,-0.5,7.587375190796821e-10,7.587375190796835e-10,-1.4475660719677984e-24
17,-0.3,-0.5,1.4306720119910742e-10,1.430672011991064e-10,1.0339757656912846e-24
18,-0.2875,-0.5,-2.654500910874678e-10,-2.654500910874705e-10,2.68833699079734e-24
19,-0.275,-0.5,2.098994025807979e-09,2.098994025807972e-09,7.031035206700735e-24
20,-0.2625,-0.5,1.3956425718835006e-10,1.3956425718835345e-10,-3.386270632638957e-24
21,-0.25,-0.5,3.5914854341131896e-10,3.591485434113071e-10,1.1839022517165209e-23
22,-0.2375,-0.5,-3.1125380347378298e-09,-3.112538034737828e-09,-1.6543612251060553e-24
23,-0.22499999999999998,-0.5,1.4042983628790968e-09,1.4042983628790972e-09,-4.1359030627651384e-25
24,-0.21250000000000002,-0.5,5.18805113655035e-10,5.188051136550373e-10,-2.274746684520826e-24
25,-0.2,-0.5,-2.967684654143298e-09,-2.9676846541432824e-09,-1.5716431638507526e-23
26,-0.1875,-0.5,2.6876381049266673e-09,2.6876381049266516e-09,1.5716431638507526e-23
27,-0.175,-0.5,6.061721607322946e-10,6.061721607322788e-10,1.5819829215076654e-23
28,-0.16249999999999998,-0.5,-3.0670382068346253e-09,-3.067038206834621e-09,-4.1359030627651384e-24
29,-0.15000000000000002,-0.5,4.44907478424516e-09,4.449074784245143e-09,1.737079286361358e-23
30,-0.1375,-0.5,4.784669823275734e-10,4.784669823275667e-10,6.72084247699335e-24
31,-0.125,-0.5,-3.5013776884745177e-09,-3.501377688474488e-09,-2.9778502051908996e-23
32,-0.11249999999999999,-0.5,7.54478725737613e-09,7.544787257376113e-09,1.6543612251060553e-23
33,-0.09999999999999998,-0.5,7.985968280261529e-10,7.985968280261547e-10,-1.7577588016751838e-24
34,-0.08750000000000002,-0.5,-2.821813776032469e-09,-2.8218137760324882e-09,1.943874439499615e-23
35,-0.07500000000000001,-0.5,1.2273032858367231e-08,1.2273032858367248e-08,-1.6543612251060553e-23
36,-0.0625,-0.5,1.1366223915172803e-09,1.1366223915173551e-09,-7.4859845436049e-23
37,-0.04999999999999999,-0.5,1.6415616889301826e-09,1.6415616889301274e-09,5.52143058879146e-23
38,-0.03749999999999998,-0.5,-1.0406572536124995e-08,-1.0406572536124974e-08,-2.150669592637872e-23
39,-0.025000000000000022,-0.5,3.8813656078806134e-09,3.88136560788052e-09,9.347140921849213e-23
40,-0.012500000000000011,-0.5,1.978774700344941e-09,1.9787747003449327e-09,8.271806125530277e-24
41,0.0,-0.5,-7.669090535299712e-09,-7.669090535299749e-09,3.639594695233322e-23
42,0.012499999999999956,-0.5,2.6550403515790564e-09,2.6550403515790076e-09,4.880365614062863e-23
43,0.025000000000000022,-0.5,1.5490279658803269e-09,1.549027965880349e-09,-2.212708138579349e-23
44,0.03749999999999998,-0.5,-3.814958731902434e-09,-3.814958731902413e-09,-2.0679515313825692e-23
45,0.050000000000000044,-0.5,2.5636876188331774e-09,2.563687618833223e-09,-4.549493369041652e-23
46,0.0625,-0.5,5.036917955000648e-10,5.036917955000398e-10,2.5022213529729087e-23
47,0.07499999999999996,-0.5,-2.28111447280169e-09,-2.2811144728017414e-09,5.1285197978287716e-23
48,0.08750000000000002,-0.5,3.133303115893529e-09,3.1333031158935e-09,2.895132143935597e-23
49,0.09999999999999998,-0.5,-5.044040071664005e-10,-5.044040071663447e-10,-5.583469134732937e-23
50,0.11250000000000004,-0.5,-1.6857653997690585e-09,-1.6857653997691556e-09,9.719372197498075e-23
51,0.125,-0.5,4.2924973031986985e-09,4.292497303198828e-09,-1.2986735617082534e-22
52,0.13749999999999996,-0.5,-6.724146193063268e-10,-6.72414619306427e-10,1.0019225169548548e-22
53,0.15000000000000002,-0.5,-7.455562427011739e-10,-7.455562427012214e-10,4.756288522179909e-23
54,0.16249999999999998,-0.5,5.674848139717377e-09,5.674848139717083e-09,2.9447629806887785e-22
55,0.17500000000000004,-0.5,-6.150133931247231e-10,-6.1501339312481e-10,8.695736189463703e-23
56,0.1875,-0.5,6.41036267424776e-10,6.410362674247258e-10,5.025122221259643e-23
57,0.19999999999999996,-0.5,-4.815860316372818e-09,-4.815860316372801e-09,-1.6543612251060553e-23
58,0.21250000000000002,-0.5,2.348648485263571e-10,2.348648485262693e-10,8.778454250719006e-23
59,0.22499999999999998,-0.5,4.159008156831757e-10,4.1590081568309856e-10,7.713459212056983e-23
60,0.23750000000000004,-0.5,-2.7474344662031e-09,-2.747434466203106e-09,5.790264287871194e-24
61,0.25,-0.5,3.146468430322778e-10,3.1464684303226657e-10,1.1218637057750438e-23
