node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
1,-0.5,-0.5,0.00029949358368940466,0.0003675770762162027,6.808349252679802e-05,0.000135409027488782
2,-0.4875,-0.5,0.0003024925259331761,0.0003495356836286023,4.704315769542619e-05,0.0001043187932355815
3,-0.475,-0.5,0.0002955967444676714,0.0003185026939959188,2.290594952824741e-05,5.5441274256681045e-05
4,-0.4625,-0.5,0.00026722675648941995,0.0002774387823768977,1.0212025887477766e-05,2.3665471738308272e-05
5,-0.45,-0.5,0.0002224358839329488,0.0002256103907183732,3.1745067854244103e-06,9.364133678513558e-06
6,-0.4375,-0.5,0.00019137869072657814,0.00017153838512120277,-1.984030560537537e-05,-1.5508290937329066e-05
7,-0.425,-0.5,0.0001161364884991698,0.0001258609707584975,9.724482259327704e-06,1.1970702761164077e-05
8,-0.4125,-0.5,8.79515102431872e-05,8.927281979957266e-05,1.3213095563854583e-06,2.468909614171817e-06
9,-0.4,-0.5,6.495327271787614e-05,5.987772431693991e-05,-5.075548400936229e-06,-4.388713719381636e-06
10,-0.3875,-0.5,3.758110448235131e-05,3.900225730412273e-05,1.4211528217714174e-06,1.849820111104192e-06
11,-0.375,-0.5,3.1352191837018283e-05,2.7510281780290266e-05,-3.841910056728018e-06,-3.589980539523673e-06
12,-0.3625,-0.5,2.522101618820705e-05,2.2833486807334796e-05,-2.387529380872254e-06,-2.205542596733901e-06
13,-0.35,-0.5,3.220688234487778e-05,2.7311144160825187e-05,-4.895738184052594e-06,-4.688778771252553e-06
14,-0.3375,-0.5,4.7070538080622995e-05,4.126034697930097e-05,-5.810191101322023e-06,-5.463508282395582e-06
15,-0.325,-0.5,6.438624773248023e-05,6.282046161612911e-05,-1.5657861163511218e-06,-9.27278636278194e-07
16,-0.3125,-0.5,0.00010838553270897932,9.396908154772484e-05,-1.441645116125448e-05,-1.339664805707841e-05
17,-0.3,-0.5,0.00014284154402430084,0.00013509539519551385,-7.746148828786985e-06,-6.192666855185381e-06
18,-0.2875,-0.5,0.00019060262595818102,0.0001864968756006938,-4.1057503574872065e-06,-1.5005397398276839e-06
19,-0.275,-0.5,0.00028719375827603987,0.000248004561241069,-3.918919703497088e-05,-3.505509663589236e-05
20,-0.2625,-0.5,0.0003372200696517562,0.0003254504722265539,-1.1769597425202315e-05,-7.76537625462345e-06
21,-0.25,-0.5,0.00042072627579494326,0.00041559602331122904,-5.13025248371422e-06,-2.0298311597798536e-07
22,-0.2375,-0.5,0.0004707810871710676,0.0005187549292963476,4.797384212528003e-05,5.503104655348181e-05
23,-0.22499999999999998,-0.5,0.0006599303369579841,0.0006358408232838617,-2.4089513674122368e-05,-1.634396193502842e-05
24,-0.21250000000000002,-0.5,0.0007820540160651615,0.0007674991532297865,-1.4554862835374936e-05,-4.4201163078174234e-06
25,-0.2,-0.5,0.0008722413111892593,0.0009091718401559298,3.69305289666705e-05,5.4858635433555785e-05
26,-0.1875,-0.5,0.0011356733770969429,0.001084310648400763,-5.1362728696179895e-05,-3.559745665024979e-05
27,-0.175,-0.5,0.0013007805621114677,0.0012762519215966984,-2.4528640514769268e-05,-9.954203591189216e-06
28,-0.16249999999999998,-0.5,0.001451437533904035,0.0014806794620280072,2.9241928123972154e-05,4.800082193480437e-05
29,-0.15000000000000002,-0.5,0.0017974831222285176,0.0017145288396569391,-8.295428257157843e-05,-6.448040280460088e-05
30,-0.1375,-0.5,0.001987924842223107,0.0019609029772276487,-2.702186499545841e-05,-8.792822285318917e-06
31,-0.125,-0.5,0.002206932456870471,0.002231298092633226,2.4365635762754658e-05,4.5774784212587825e-05
32,-0.11249999999999999,-0.5,0.0026750133376179856,0.002529704830205329,-0.0001453085074126564,-0.00012251208760617792
