element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
1,1,3.783973229409135e-05,3.783973229409135e-05,0.0,0.0
1,2,3.3561423505217074e-05,3.3561423505217074e-05,0.0,0.0
1,3,3.356001007218113e-05,3.356001007218113e-05,0.0,0.0
1,4,3.7838798311060363e-05,3.7838798311060363e-05,0.0,0.0
2,1,3.062598772997645e-05,3.062598772997645e-05,0.0,0.0
2,2,2.9253474929664924e-05,2.9253474929664924e-05,0.0,0.0
2,3,3.067571312885894e-05,3.067571312885894e-05,0.0,0.0
2,4,3.070003273653374e-05,3.070003273653374e-05,0.0,0.0
3,1,2.8557011243115218e-05,2.8557011243115218e-05,0.0,0.0
3,2,2.672356769344293e-05,2.672356769344293e-05,0.0,0.0
3,3,2.8030257414479988e-05,2.8030257414479988e-05,0.0,0.0
3,4,3.009911901033076e-05,3.009911901033076e-05,0.0,0.0
4,1,2.4731596504090044e-05,2.4731596504090044e-05,0.0,0.0
4,2,2.1585415213446034e-05,2.1585415213446034e-05,0.0,0.0
4,3,2.108815499604514e-05,2.108815499604514e-05,0.0,0.0
4,4,2.542747794251516e-05,2.542747794251516e-05,0.0,0.0
5,1,1.9482790162786104e-05,1.9482790162786104e-05,0.0,0.0
5,2,1.7444043489232392e-05,1.7444043489232392e-05,0.0,0.0
5,3,1.589462847981171e-05,1.589462847981171e-05,0.0,0.0
5,4,1.828691116393571e-05,1.828691116393571e-05,0.0,0.0
6,1,1.1367652999588384e-05,1.1367652999588384e-05,0.0,0.0
6,2,1.0621332981848797e-05,1.0621332981848797e-05,0.0,0.0
6,3,1.161503743967133e-05,1.161503743967133e-05,0.0,0.0
6,4,1.228631165591018e-05,1.228631165591018e-05,0.0,0.0
7,1,9.646758364530011e-06,9.646758364530011e-06,0.0,0.0
7,2,7.835790359543368e-06,7.835790359543368e-06,0.0,0.0
7,3,7.98676816393859e-06,7.98676816393859e-06,0.0,0.0
7,4,1.0459716413203822e-05,1.0459716413203822e-05,0.0,0.0
8,1,6.460527583165073e-06,6.460527583165073e-06,0.0,0.0
8,2,5.028571285986219e-06,5.028571285986219e-06,0.0,0.0
8,3,4.208857387253623e-06,4.208857387253623e-06,0.0,0.0
8,4,6.050660778315204e-06,6.050660778315204e-06,0.0,0.0
9,1,4.4386091756520215e-06,4.4386091756520215e-06,0.0,0.0
9,2,2.5011182030528635e-06,2.5011182030528635e-06,0.0,0.0
9,3,2.707110675777354e-06,2.707110675777354e-06,0.0,0.0
