node,x,y,d
1,-0.5,-0.5,0.0003686413322363209
2,-0.4875,-0.5,0.00035086221410741297
3,-0.475,-0.5,0.0003204043954042066
4,-0.4625,-0.5,0.00028047126406817436
5,-0.45,-0.5,0.0002307256635959293
6,-0.4375,-0.5,0.00019137869072657814
7,-0.425,-0.5,0.00013132407318566287
8,-0.4125,-0.5,9.296971224648863e-05
9,-0.4,-0.5,6.495327271787614e-05
10,-0.3875,-0.5,4.1816206401997606e-05
11,-0.375,-0.5,3.1352191837018283e-05
12,-0.3625,-0.5,2.566674182816479e-05
13,-0.35,-0.5,3.220688234487778e-05
14,-0.3375,-0.5,4.7070538080622995e-05
15,-0.325,-0.5,6.916404540953512e-05
16,-0.3125,-0.5,0.00010838553270897932
17,-0.3,-0.5,0.00014664247859031784
18,-0.2875,-0.5,0.00020126701469545097
19,-0.275,-0.5,0.00028719375827603987
20,-0.2625,-0.5,0.0003447103898485746
21,-0.25,-0.5,0.0004331875056418096
22,-0.2375,-0.5,0.0005373917326390356
23,-0.22499999999999998,-0.5,0.0006599303369579841
24,-0.21250000000000002,-0.5,0.0007896549896639457
25,-0.2,-0.5,0.0009353485160437365
26,-0.1875,-0.5,0.0011356733770969429
27,-0.175,-0.5,0.0013087107607777722
28,-0.16249999999999998,-0.5,0.0015181640582949028
29,-0.15000000000000002,-0.5,0.0017974831222285176
30,-0.1375,-0.5,0.0020102980933806936
31,-0.125,-0.5,0.0022885552877488736
32,-0.11249999999999999,-0.5,0.0026750133376179856
33,-0.09999999999999998,-0.5,0.0028920793358975976
34,-0.08750000000000002,-0.5,0.0032148913716271194
35,-0.07500000000000001,-0.5,0.0037133045688111177
36,-0.0625,-0.5,0.0039285885014681615
37,-0.04999999999999999,-0.5,0.004282696558408993
38,-0.03749999999999998,-0.5,0.0046620210993895605
39,-0.025000000000000022,-0.5,0.005062373675752916
40,-0.012500000000000011,-0.5,0.005462665975049462
41,0.0,-0.5,0.005872650753553318
42,0.012499999999999956,-0.5,0.006256671209445933
43,0.025000000000000022,-0.5,0.0066748497873533996
44,0.03749999999999998,-0.5,0.007069931426579779
45,0.050000000000000044,-0.5,0.007456541069583604
46,0.0625,-0.5,0.007855264696846135
47,0.07499999999999996,-0.5,0.008236812514943584
48,0.08750000000000002,-0.5,0.008594480588415398
49,0.09999999999999998,-0.5,0.008939258426332997
50,0.11250000000000004,-0.5,0.009283192519528093
51,0.125,-0.5,0.009608482824157324
52,0.13749999999999996,-0.5,0.009871638243791097
53,0.15000000000000002,-0.5,0.010148516697776286
54,0.16249999999999998,-0.5,0.010449048215842282
55,0.17500000000000004,-0.5,0.010626786695261573
56,0.1875,-0.5,0.01084437524763903
57,0.19999999999999996,-0.5,0.01104038744870315
58,0.21250000000000002,-0.5,0.011210065826433378
59,0.22499999999999998,-0.5,0.011377887046868516
60,0.23750000000000004,-0.5,0.011529545472042256
