element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
1,1,1,1,F1_equilibrated,F3_release_last,0.0001225964360075586,8.875986587503207e-06
1,2,2,2,F1_equilibrated,F3_release_last,0.00010667860567967284,7.874051466687411e-06
1,3,4,3,F1_equilibrated,F3_release_last,9.517577805800986e-05,7.873712708565895e-06
1,4,3,4,F1_equilibrated,F3_release_last,0.00010554174021948598,8.875767505063802e-06
2,1,1,1,F1_equilibrated,F3_release_last,9.023934864903753e-05,7.187583328169131e-06
2,2,2,2,F1_equilibrated,F3_release_last,6.124429353054363e-05,3.941386854766993e-06
2,3,4,3,F1_equilibrated,F3_release_last,4.887898828424841e-05,2.5147810533800093e-06
2,4,3,4,F1_equilibrated,F3_release_last,7.999303943603792e-05,7.109699662238657e-06
3,1,1,1,F1_equilibrated,F3_release_last,4.429496401336426e-05,1.47677971197547e-06
3,2,2,2,F1_equilibrated,F3_release_last,2.6983589736697094e-05,0.0
3,3,4,3,F1_equilibrated,F3_release_last,1.770308855610504e-05,0.0
3,4,3,4,F1_equilibrated,F3_release_last,3.21884462493961e-05,0.0
4,1,1,1,F1_equilibrated,F3_release_last,1.8834618894151384e-05,0.0
4,2,2,2,F1_equilibrated,F3_release_last,1.3882590799586364e-05,0.0
4,3,4,3,F1_equilibrated,F3_release_last,1.7970363847584486e-05,0.0
4,4,3,4,F1_equilibrated,F3_release_last,1.3893364858620432e-05,0.0
5,1,1,1,F1_equilibrated,F3_release_last,7.292815387336613e-06,0.0
5,2,2,2,F1_equilibrated,F3_release_last,-5.7587577548329964e-06,0.0
5,3,4,3,F1_equilibrated,F3_release_last,6.517361202469538e-06,0.0
5,4,3,4,F1_equilibrated,F3_release_last,1.599396962454985e-05,0.0
6,1,1,1,F1_equilibrated,F3_release_last,-6.416731491884427e-06,1.2898427827443229e-06
6,2,2,2,F1_equilibrated,F3_release_last,4.837223970614727e-06,0.0
6,3,4,3,F1_equilibrated,F3_release_last,1.2132018890040396e-06,0.0
6,4,3,4,F1_equilibrated,F3_release_last,2.5568664242180095e-06,3.6020869771789013e-07
7,1,1,1,F1_equilibrated,F3_release_last,7.696096679489097e-06,0.0
7,2,2,2,F1_equilibrated,F3_release_last,4.252726710006759e-06,0.0
7,3,4,3,F1_equilibrated,F3_release_last,3.640342816037709e-06,0.0
7,4,3,4,F1_equilibrated,F3_release_last,1.5035185132103164e-06,0.0
8,1,1,1,F1_equilibrated,F3_release_last,2.0268846612799657e-06,0.0
8,2,2,2,F1_equilibrated,F3_release_last,-6.108589359825025e-07,0.0
8,3,4,3,F1_equilibrated,F3_release_last,5.7511815982528805e-06,0.0
8,4,3,4,F1_equilibrated,F3_release_last,4.778500709394344e-06,0.0
9,1,1,1,F1_equilibrated,F3_release_last,-1.0110640176194536e-06,0.0
9,2,2,2,F1_equilibrated,F3_release_last,5.332989631636292e-07,0.0
9,3,4,3,F1_equilibrated,F3_release_last,5.383154841307093e-07,0.0
9,4,3,4,F1_equilibrated,F3_release_last,4.615027391385115e-06,0.0
10,1,1,1,F1_equilibrated,F3_release_last,9.617403824058624e-08,0.0
10,2,2,2,F1_equilibrated,F3_release_last,-2.642436446686991e-06,0.0
10,3,4,3,F1_equilibrated,F3_release_last,-3.194368212623305e-06,0.0
10,4,3,4,F1_equilibrated,F3_release_last,-1.5542057613385086e-06,0.0
11,1,1,1,F1_equilibrated,F3_release_last,-3.2201047489740614e-06,0.0
11,2,2,2,F1_equilibrated,F3_release_last,-2.0597134158168345e-06,0.0
11,3,4,3,F1_equilibrated,F3_release_last,-8.619950653792638e-07,0.0
11,4,3,4,F1_equilibrated,F3_release_last,-3.0088909156488436e-06,0.0
12,1,1,1,F1_equilibrated,F3_release_last,-1.936010211630823e-06,0.0
12,2,2,2,F1_equilibrated,F3_release_last,-2.7584381058927907e-06,0.0
12,3,4,3,F1_equilibrated,F3_release_last,1.0816535939666398e-06,0.0
12,4,3,4,F1_equilibrated,F3_release_last,2.3406303257576615e-07,0.0
13,1,1,1,F1_equilibrated,F3_release_last,-3.4992171517136587e-06,0.0
13,2,2,2,F1_equilibrated,F3_release_last,-4.70063524781669e-06,0.0
13,3,4,3,F1_equilibrated,F3_release_last,-3.0637176494304494e-06,0.0
13,4,3,4,F1_equilibrated,F3_release_last,1.980159234081207e-07,0.0
14,1,1,1,F1_equilibrated,F3_release_last,-4.621092520774376e-06,0.0
14,2,2,2,F1_equilibrated,F3_release_last,-3.2023596530191795e-06,0.0
14,3,4,3,F1_equilibrated,F3_release_last,-6.7990031747992166e-06,0.0
14,4,3,4,F1_equilibrated,F3_release_last,-4.938563266220252e-06,0.0
15,1,1,1,F1_equilibrated,F3_release_last,-4.038589376013181e-06,0.0
15,2,2,2,F1_equilibrated,F3_release_last,-7.741944333787212e-06,0.0
15,3,4,3,F1_equilibrated,F3_release_last,5.077997482693183e-07,0.0
15,4,3,4,F1_equilibrated,F3_release_last,-5.339654603380003e-06,0.0
16,1,1,1,F1_equilibrated,F3_release_last,-8.088003943939625e-06,0.0
16,2,2,2,F1_equilibrated,F3_release_last,-5.330101423549441e-06,0.0
16,3,4,3,F1_equilibrated,F3_release_last,1.185691646682401e-06,0.0
16,4,3,4,F1_equilibrated,F3_release_last,2.256261006307008e-06,0.0
17,1,1,1,F1_equilibrated,F3_release_last,-4.601446351397431e-06,0.0
17,2,2,2,F1_equilibrated,F3_release_last,-5.368626193475443e-06,0.0
17,3,4,3,F1_equilibrated,F3_release_last,-1.322743405978631e-05,0.0
17,4,3,4,F1_equilibrated,F3_release_last,-2.963151942127044e-06,0.0
18,1,1,1,F1_equilibrated,F3_release_last,-1.0199327211021152e-05,0.0
18,2,2,2,F1_equilibrated,F3_release_last,-2.2629867985052732e-05,1.1747189457520318e-06
18,3,4,3,F1_equilibrated,F3_release_last,-8.05624447177978e-06,6.819245163749169e-09
18,4,3,4,F1_equilibrated,F3_release_last,-1.4592124090083707e-05,0.0
19,1,1,1,F1_equilibrated,F3_release_last,-2.1953784194740026e-05,0.0
19,2,2,2,F1_equilibrated,F3_release_last,-7.676148155400355e-06,0.0
19,3,4,3,F1_equilibrated,F3_release_last,8.323354953375145e-06,7.143432121501202e-07
19,4,3,4,F1_equilibrated,F3_release_last,-1.9160603679127357e-06,0.0
20,1,1,1,F1_equilibrated,F3_release_last,-3.2415911501654042e-06,0.0
20,2,2,2,F1_equilibrated,F3_release_last,-5.4037921421425865e-06,0.0
20,3,4,3,F1_equilibrated,F3_release_last,-1.5246516927772352e-05,0.0
20,4,3,4,F1_equilibrated,F3_release_last,4.751469883422586e-06,0.0
21,1,1,1,F1_equilibrated,F3_release_last,4.845427718980092e-06,0.0
21,2,2,2,F1_equilibrated,F3_release_last,3.500901810948859e-05,1.346203580254119e-06
21,3,4,3,F1_equilibrated,F3_release_last,1.2197201028000377e-05,0.0
21,4,3,4,F1_equilibrated,F3_release_last,-1.3251439280523455e-05,0.0
22,1,1,1,F1_equilibrated,F3_release_last,3.5183567604484185e-05,0.0
22,2,2,2,F1_equilibrated,F3_release_last,5.496855302739132e-06,0.0
22,3,4,3,F1_equilibrated,F3_release_last,2.3958697310892977e-05,1.2318500211295358e-06
22,4,3,4,F1_equilibrated,F3_release_last,2.216762707792227e-05,0.0
23,1,1,1,F1_equilibrated,F3_release_last,-6.369454167140087e-06,0.0
23,2,2,2,F1_equilibrated,F3_release_last,-9.10210223544069e-06,0.0
23,3,4,3,F1_equilibrated,F3_release_last,-1.5009290187384611e-05,0.0
23,4,3,4,F1_equilibrated,F3_release_last,1.3997172352575322e-05,8.173080504573851e-07
24,1,1,1,F1_equilibrated,F3_release_last,8.406111698040005e-07,0.0
24,2,2,2,F1_equilibrated,F3_release_last,3.073725742633044e-05,1.339079127228487e-06
24,3,4,3,F1_equilibrated,F3_release_last,-9.389695628765149e-07,0.0
24,4,3,4,F1_equilibrated,F3_release_last,-1.9011417351666557e-05,0.0
25,1,1,1,F1_equilibrated,F3_release_last,2.9244440388193028e-05,5.454547232089103e-06
25,2,2,2,F1_equilibrated,F3_release_last,-4.730657862929161e-06,0.0
25,3,4,3,F1_equilibrated,F3_release_last,2.737415557661012e-05,1.6115322974659608e-06
25,4,3,4,F1_equilibrated,F3_release_last,1.1490007243710148e-05,2.2638696653593952e-06
26,1,1,1,F1_equilibrated,F3_release_last,-1.613217534018603e-05,0.0
26,2,2,2,F1_equilibrated,F3_release_last,-1.330660212031415e-05,0.0
26,3,4,3,F1_equilibrated,F3_release_last,-7.660386172556651e-06,0.0
26,4,3,4,F1_equilibrated,F3_release_last,2.2242823125982964e-05,2.776544579384085e-06
27,1,1,1,F1_equilibrated,F3_release_last,-3.4595015316924056e-06,0.0
27,2,2,2,F1_equilibrated,F3_release_last,2.0617704363792453e-05,0.0
27,3,4,3,F1_equilibrated,F3_release_last,-2.073401452151952e-05,0.0
27,4,3,4,F1_equilibrated,F3_release_last,-1.917599511344864e-05,0.0
28,1,1,1,F1_equilibrated,F3_release_last,1.4831776167289383e-05,4.469387102818117e-06
28,2,2,2,F1_equilibrated,F3_release_last,-2.505287952998727e-05,0.0
28,3,4,3,F1_equilibrated,F3_release_last,1.7724051890787452e-05,0.0
28,4,3,4,F1_equilibrated,F3_release_last,-1.0846676726063978e-05,0.0
29,1,1,1,F1_equilibrated,F3_release_last,-3.201973567681037e-05,0.0
29,2,2,2,F1_equilibrated,F3_release_last,-1.11688849416796e-05,0.0
29,3,4,3,F1_equilibrated,F3_release_last,1.4490830762504828e-05,2.13256155033134e-06
29,4,3,4,F1_equilibrated,F3_release_last,2.4513216560566884e-05,3.6573500829747442e-06
30,1,1,1,F1_equilibrated,F3_release_last,1.9048497838496797e-06,0.0
30,2,2,2,F1_equilibrated,F3_release_last,1.6772106563539644e-05,0.0
30,3,4,3,F1_equilibrated,F3_release_last,-3.0960060028601896e-05,0.0
30,4,3,4,F1_equilibrated,F3_release_last,-3.731889010715611e-07,0.0
31,1,1,1,F1_equilibrated,F3_release_last,-2.0568879453377632e-06,3.607206049989199e-06
31,2,2,2,F1_equilibrated,F3_release_last,-6.836591437871633e-05,0.0
31,3,4,3,F1_equilibrated,F3_release_last,-1.7596288831509422e-05,0.0
31,4,3,4,F1_equilibrated,F3_release_last,-3.5574975746123245e-05,0.0
32,1,1,1,F1_equilibrated,F3_release_last,-7.534634435670158e-05,0.0
32,2,2,2,F1_equilibrated,F3_release_last,-2.810820728185639e-05,0.0
32,3,4,3,F1_equilibrated,F3_release_last,2.338481327698004e-05,4.2262592298290325e-06
32,4,3,4,F1_equilibrated,F3_release_last,-1.79806097685975e-06,1.8898934981749515e-06
33,1,1,1,F1_equilibrated,F3_release_last,-8.337390170655955e-06,0.0
33,2,2,2,F1_equilibrated,F3_release_last,-1.5606503905494194e-06,0.0
33,3,4,3,F1_equilibrated,F3_release_last,-4.4029085998478854e-05,0.0
33,4,3,4,F1_equilibrated,F3_release_last,1.2069044226898588e-05,1.2803577282562931e-06
34,1,1,1,F1_equilibrated,F3_release_last,-3.263995266272052e-05,4.051198956086502e-06
34,2,2,2,F1_equilibrated,F3_release_last,-0.00012432692531419084,1.396327189596275e-05
34,3,4,3,F1_equilibrated,F3_release_last,-5.969217423696695e-05,6.335127730171762e-06
34,4,3,4,F1_equilibrated,F3_release_last,-6.32574465337446e-05,0.0
35,1,1,1,F1_equilibrated,F3_release_last,-0.00012754513077604512,0.0
35,2,2,2,F1_equilibrated,F3_release_last,-4.465045895555566e-05,0.0
35,3,4,3,F1_equilibrated,F3_release_last,3.634896016256085e-05,7.710344737927352e-06
35,4,3,4,F1_equilibrated,F3_release_last,-3.300271800172564e-05,2.161847811074744e-06
36,1,1,1,F1_equilibrated,F3_release_last,-1.541374308967284e-05,7.515411238088543e-07
