node,x,y,F1_phase_residual,F1_phase_residual_abs
1,-0.5,-0.5,-1.2126673343993127e-09,1.2126673343993127e-09
2,-0.4875,-0.5,-1.5329397491600562e-09,1.5329397491600562e-09
3,-0.475,-0.5,-6.85808899639128e-10,6.85808899639128e-10
4,-0.4625,-0.5,-2.7557973512543103e-10,2.7557973512543103e-10
5,-0.45,-0.5,-7.055704297240522e-11,7.055704297240522e-11
6,-0.4375,-0.5,1.4484220326334835e-09,1.4484220326334835e-09
7,-0.425,-0.5,-6.296994001939193e-10,6.296994001939193e-10
8,-0.4125,-0.5,2.6173347751936075e-11,2.6173347751936075e-11
9,-0.4,-0.5,4.205828038937679e-10,4.205828038937679e-10
10,-0.3875,-0.5,-1.0604735415959154e-10,1.0604735415959154e-10
11,-0.375,-0.5,1.591135509154388e-10,1.591135509154388e-10
12,-0.3625,-0.5,8.453175284673583e-11,8.453175284673583e-11
13,-0.35,-0.5,2.303077914678275e-10,2.303077914678275e-10
14,-0.3375,-0.5,1.8018356748798754e-10,1.8018356748798754e-10
15,-0.325,-0.5,-9.946673756875211e-11,9.946673756875211e-11
16,-0.3125,-0.5,7.587375190796835e-10,7.587375190796835e-10
17,-0.3,-0.5,1.430672011991064e-10,1.430672011991064e-10
18,-0.2875,-0.5,-2.654500910874705e-10,2.654500910874705e-10
19,-0.275,-0.5,2.098994025807972e-09,2.098994025807972e-09
20,-0.2625,-0.5,1.3956425718835345e-10,1.3956425718835345e-10
21,-0.25,-0.5,3.591485434113071e-10,3.591485434113071e-10
22,-0.2375,-0.5,-3.112538034737828e-09,3.112538034737828e-09
23,-0.22499999999999998,-0.5,1.4042983628790972e-09,1.4042983628790972e-09
24,-0.21250000000000002,-0.5,5.188051136550373e-10,5.188051136550373e-10
25,-0.2,-0.5,-2.9676846541432824e-09,2.9676846541432824e-09
26,-0.1875,-0.5,2.6876381049266516e-09,2.6876381049266516e-09
27,-0.175,-0.5,6.061721607322788e-10,6.061721607322788e-10
28,-0.16249999999999998,-0.5,-3.067038206834621e-09,3.067038206834621e-09
29,-0.15000000000000002,-0.5,4.449074784245143e-09,4.449074784245143e-09
30,-0.1375,-0.5,4.784669823275667e-10,4.784669823275667e-10
31,-0.125,-0.5,-3.501377688474488e-09,3.501377688474488e-09
32,-0.11249999999999999,-0.5,7.544787257376113e-09,7.544787257376113e-09
33,-0.09999999999999998,-0.5,7.985968280261547e-10,7.985968280261547e-10
34,-0.08750000000000002,-0.5,-2.8218137760324882e-09,2.8218137760324882e-09
35,-0.07500000000000001,-0.5,1.2273032858367248e-08,1.2273032858367248e-08
36,-0.0625,-0.5,1.1366223915173551e-09,1.1366223915173551e-09
37,-0.04999999999999999,-0.5,1.6415616889301274e-09,1.6415616889301274e-09
38,-0.03749999999999998,-0.5,-1.0406572536124974e-08,1.0406572536124974e-08
39,-0.025000000000000022,-0.5,3.88136560788052e-09,3.88136560788052e-09
40,-0.012500000000000011,-0.5,1.9787747003449327e-09,1.9787747003449327e-09
41,0.0,-0.5,-7.669090535299749e-09,7.669090535299749e-09
42,0.012499999999999956,-0.5,2.6550403515790076e-09,2.6550403515790076e-09
43,0.025000000000000022,-0.5,1.549027965880349e-09,1.549027965880349e-09
44,0.03749999999999998,-0.5,-3.814958731902413e-09,3.814958731902413e-09
45,0.050000000000000044,-0.5,2.563687618833223e-09,2.563687618833223e-09
46,0.0625,-0.5,5.036917955000398e-10,5.036917955000398e-10
47,0.07499999999999996,-0.5,-2.2811144728017414e-09,2.2811144728017414e-09
48,0.08750000000000002,-0.5,3.1333031158935e-09,3.1333031158935e-09
49,0.09999999999999998,-0.5,-5.044040071663447e-10,5.044040071663447e-10
50,0.11250000000000004,-0.5,-1.6857653997691556e-09,1.6857653997691556e-09
51,0.125,-0.5,4.292497303198828e-09,4.292497303198828e-09
52,0.13749999999999996,-0.5,-6.72414619306427e-10,6.72414619306427e-10
53,0.15000000000000002,-0.5,-7.455562427012214e-10,7.455562427012214e-10
54,0.16249999999999998,-0.5,5.674848139717083e-09,5.674848139717083e-09
55,0.17500000000000004,-0.5,-6.1501339312481e-10,6.1501339312481e-10
56,0.1875,-0.5,6.410362674247258e-10,6.410362674247258e-10
57,0.19999999999999996,-0.5,-4.815860316372801e-09,4.815860316372801e-09
58,0.21250000000000002,-0.5,2.348648485262693e-10,2.348648485262693e-10
59,0.22499999999999998,-0.5,4.1590081568309856e-10,4.1590081568309856e-10
60,0.23750000000000004,-0.5,-2.747434466203106e-09,2.747434466203106e-09
61,0.25,-0.5,3.1464684303226657e-10,3.1464684303226657e-10
62,0.26249999999999996,-0.5,5.1157918980722196e-11,5.1157918980722196e-11
63,0.275,-0.5,-1.3674111000646103e-09,1.3674111000646103e-09
64,0.2875,-0.5,7.321550744804391e-10,7.321550744804391e-10
65,0.30000000000000004,-0.5,-1.4084821904696315e-10,1.4084821904696315e-10
66,0.3125,-0.5,-1.0165044051344719e-09,1.0165044051344719e-09
67,0.32499999999999996,-0.5,1.3479339762005037e-09,1.3479339762005037e-09
68,0.3375,-0.5,-1.1420733566487597e-10,1.1420733566487597e-10
69,0.35,-0.5,-7.340371712622343e-10,7.340371712622343e-10
70,0.36250000000000004,-0.5,2.7982842519362525e-09,2.7982842519362525e-09
71,0.375,-0.5,-4.746676386066891e-11,4.746676386066891e-11
72,0.38749999999999996,-0.5,3.954054675092845e-10,3.954054675092845e-10
73,0.4,-0.5,-3.928811490581835e-09,3.928811490581835e-09
74,0.4125,-0.5,1.0142649045590464e-09,1.0142649045590464e-09
75,0.42500000000000004,-0.5,5.99338055526762e-10,5.99338055526762e-10
76,0.4375,-0.5,-2.977952386162332e-09,2.977952386162332e-09
77,0.44999999999999996,-0.5,1.182282583379625e-09,1.182282583379625e-09
78,0.4625,-0.5,-8.585592919247653e-10,8.585592919247653e-10
79,0.475,-0.5,-2.202539477265503e-09,2.202539477265503e-09
80,0.48750000000000004,-0.5,-4.828528997355064e-09,4.828528997355064e-09
81,0.5,-0.5,-8.566147492784994e-10,8.566147492784994e-10
82,-0.5,-0.4875,-3.987360957809642e-10,3.987360957809642e-10
83,-0.4875,-0.4875,-1.172224197761115e-09,1.172224197761115e-09
84,-0.475,-0.4875,9.88889577103416e-10,9.88889577103416e-10
85,-0.4625,-0.4875,1.2348732219969697e-09,1.2348732219969697e-09
86,-0.45,-0.4875,-1.6473218033000137e-09,1.6473218033000137e-09
87,-0.4375,-0.4875,-1.2506718041214208e-10,1.2506718041214208e-10
88,-0.425,-0.4875,5.472499880842473e-10,5.472499880842473e-10
89,-0.4125,-0.4875,-3.995571658495051e-10,3.995571658495051e-10
90,-0.4,-0.4875,-9.278228088126903e-10,9.278228088126903e-10
91,-0.3875,-0.4875,2.1389070946445924e-10,2.1389070946445924e-10
92,-0.375,-0.4875,3.222859653879009e-10,3.222859653879009e-10
93,-0.3625,-0.4875,-1.9559507948940902e-10,1.9559507948940902e-10
94,-0.35,-0.4875,-5.580992249657117e-10,5.580992249657117e-10
95,-0.3375,-0.4875,1.674815169833412e-10,1.674815169833412e-10
96,-0.325,-0.4875,8.742682024182559e-10,8.742682024182559e-10
97,-0.3125,-0.4875,-1.1076581744053832e-09,1.1076581744053832e-09
98,-0.3,-0.4875,-8.671869921191893e-10,8.671869921191893e-10
