element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
1,1,1,1,F0_ingested,F1_equilibrated,5.421010862427522e-20,8.600570930693194e-06
1,2,2,2,F0_ingested,F1_equilibrated,0.0,4.045921369716206e-06
1,3,4,3,F0_ingested,F1_equilibrated,5.421010862427522e-20,3.1283007360915925e-06
1,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,5.4783509942652795e-06
2,1,1,1,F0_ingested,F1_equilibrated,0.0,1.0549605531085604e-06
2,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
2,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
2,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
3,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
3,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
3,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
3,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
4,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
4,2,2,2,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
4,3,4,3,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
4,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
5,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
5,2,2,2,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
5,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
5,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
6,1,1,1,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
6,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
6,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
6,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
7,1,1,1,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
7,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
7,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
7,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
8,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
8,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
8,3,4,3,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
8,4,3,4,F0_ingested,F1_equilibrated,1.3552527156068805e-20,0.0
9,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
9,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
9,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
9,4,3,4,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
10,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
10,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
10,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
10,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
11,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
11,2,2,2,F0_ingested,F1_equilibrated,3.3881317890172014e-21,0.0
11,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
11,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
12,1,1,1,F0_ingested,F1_equilibrated,3.3881317890172014e-21,0.0
12,2,2,2,F0_ingested,F1_equilibrated,3.3881317890172014e-21,0.0
12,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
12,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
13,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
13,2,2,2,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
13,3,4,3,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
13,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
14,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
14,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
14,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
14,4,3,4,F0_ingested,F1_equilibrated,6.776263578034403e-21,0.0
15,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
15,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
15,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
15,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
16,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
16,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
16,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
16,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
17,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
17,2,2,2,F0_ingested,F1_equilibrated,2.710505431213761e-20,0.0
17,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
17,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
18,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
18,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
18,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
18,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
19,1,1,1,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
19,2,2,2,F0_ingested,F1_equilibrated,1.0842021724855044e-19,0.0
19,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
19,4,3,4,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
20,1,1,1,F0_ingested,F1_equilibrated,1.0842021724855044e-19,0.0
20,2,2,2,F0_ingested,F1_equilibrated,5.421010862427522e-20,0.0
20,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
20,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
21,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
21,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
21,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
21,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
22,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
22,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
22,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
22,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
23,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
23,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
23,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
23,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
24,1,1,1,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
24,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
24,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
24,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
25,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
25,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
25,3,4,3,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
25,4,3,4,F0_ingested,F1_equilibrated,1.0842021724855044e-19,0.0
26,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
26,2,2,2,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
26,3,4,3,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
26,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
27,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
27,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
27,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
27,4,3,4,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
28,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
28,2,2,2,F0_ingested,F1_equilibrated,2.168404344971009e-19,0.0
28,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
28,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
29,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
29,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
29,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
29,4,3,4,F0_ingested,F1_equilibrated,-2.168404344971009e-19,0.0
30,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
30,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
30,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
30,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
31,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
31,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
31,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
31,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
32,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
32,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
32,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
32,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
33,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
