node,x,y,F1_d,F3_d,F3_minus_F1_d,F1_phase_residual
1,-0.5,-0.5,0.00029949358368940466,0.00043490261117818665,0.000135409027488782,-1.2126673343993127e-09
2,-0.4875,-0.5,0.0003024925259331761,0.0004068113191687576,0.0001043187932355815,-1.5329397491600562e-09
3,-0.475,-0.5,0.0002955967444676714,0.00035103801872435244,5.5441274256681045e-05,-6.85808899639128e-10
4,-0.4625,-0.5,0.00026722675648941995,0.0002908922282277282,2.3665471738308272e-05,-2.7557973512543103e-10
5,-0.45,-0.5,0.0002224358839329488,0.00023180001761146236,9.364133678513558e-06,-7.055704297240522e-11
6,-0.4375,-0.5,0.00019137869072657814,0.00017587039978924908,-1.5508290937329066e-05,1.4484220326334835e-09
7,-0.425,-0.5,0.0001161364884991698,0.00012810719126033388,1.1970702761164077e-05,-6.296994001939193e-10
8,-0.4125,-0.5,8.79515102431872e-05,9.042041985735902e-05,2.468909614171817e-06,2.6173347751936075e-11
9,-0.4,-0.5,6.495327271787614e-05,6.0564558998494505e-05,-4.388713719381636e-06,4.205828038937679e-10
10,-0.3875,-0.5,3.758110448235131e-05,3.94309245934555e-05,1.849820111104192e-06,-1.0604735415959154e-10
11,-0.375,-0.5,3.1352191837018283e-05,2.776221129749461e-05,-3.589980539523673e-06,1.591135509154388e-10
12,-0.3625,-0.5,2.522101618820705e-05,2.301547359147315e-05,-2.205542596733901e-06,8.453175284673583e-11
13,-0.35,-0.5,3.220688234487778e-05,2.7518103573625228e-05,-4.688778771252553e-06,2.303077914678275e-10
14,-0.3375,-0.5,4.7070538080622995e-05,4.160702979822741e-05,-5.463508282395582e-06,1.8018356748798754e-10
15,-0.325,-0.5,6.438624773248023e-05,6.345896909620204e-05,-9.27278636278194e-07,-9.946673756875211e-11
16,-0.3125,-0.5,0.00010838553270897932,9.498888465190091e-05,-1.339664805707841e-05,7.587375190796835e-10
17,-0.3,-0.5,0.00014284154402430084,0.00013664887716911546,-6.192666855185381e-06,1.430672011991064e-10
18,-0.2875,-0.5,0.00019060262595818102,0.00018910208621835333,-1.5005397398276839e-06,-2.654500910874705e-10
19,-0.275,-0.5,0.00028719375827603987,0.0002521386616401475,-3.505509663589236e-05,2.098994025807972e-09
20,-0.2625,-0.5,0.0003372200696517562,0.00032945469339713276,-7.76537625462345e-06,1.3956425718835345e-10
21,-0.25,-0.5,0.00042072627579494326,0.0004205232926789653,-2.0298311597798536e-07,3.591485434113071e-10
22,-0.2375,-0.5,0.0004707810871710676,0.0005258121337245494,5.503104655348181e-05,-3.112538034737828e-09
23,-0.22499999999999998,-0.5,0.0006599303369579841,0.0006435863750229556,-1.634396193502842e-05,1.4042983628790972e-09
24,-0.21250000000000002,-0.5,0.0007820540160651615,0.0007776338997573441,-4.4201163078174234e-06,5.188051136550373e-10
25,-0.2,-0.5,0.0008722413111892593,0.0009270999466228151,5.4858635433555785e-05,-2.9676846541432824e-09
26,-0.1875,-0.5,0.0011356733770969429,0.001100075920446693,-3.559745665024979e-05,2.6876381049266516e-09
27,-0.175,-0.5,0.0013007805621114677,0.0012908263585202785,-9.954203591189216e-06,6.061721607322788e-10
28,-0.16249999999999998,-0.5,0.001451437533904035,0.0014994383558388394,4.800082193480437e-05,-3.067038206834621e-09
29,-0.15000000000000002,-0.5,0.0017974831222285176,0.0017330027194239167,-6.448040280460088e-05,4.449074784245143e-09
30,-0.1375,-0.5,0.001987924842223107,0.001979132019937788,-8.792822285318917e-06,4.784669823275667e-10
31,-0.125,-0.5,0.002206932456870471,0.002252707241083059,4.5774784212587825e-05,-3.501377688474488e-09
32,-0.11249999999999999,-0.5,0.0026750133376179856,0.0025525012500118077,-0.00012251208760617792,7.544787257376113e-09
33,-0.09999999999999998,-0.5,0.0028725424232713395,0.002845831665475072,-2.671075779626768e-05,7.985968280261547e-10
34,-0.08750000000000002,-0.5,0.0031443379708513534,0.003169225940987736,2.48879701363826e-05,-2.8218137760324882e-09
35,-0.07500000000000001,-0.5,0.0037133045688111177,0.003518998540393285,-0.00019430602841783275,1.2273032858367248e-08
36,-0.0625,-0.5,0.003920591399018257,0.0038784490678050007,-4.214233121325626e-05,1.1366223915173551e-09
37,-0.04999999999999999,-0.5,0.004253758650781742,0.00425573794488752,1.9792941057779692e-06,1.6415616889301274e-09
38,-0.03749999999999998,-0.5,0.0044479261875140785,0.004649673695908274,0.00020174750839419518,-1.0406572536124974e-08
39,-0.025000000000000022,-0.5,0.005062373675752916,0.005045415364217383,-1.695831153553269e-05,3.88136560788052e-09
40,-0.012500000000000011,-0.5,0.005451862916880818,0.005454505933002361,2.643016121543426e-06,1.9787747003449327e-09
41,0.0,-0.5,0.00570933200453533,0.0058728773994041195,0.00016354539486878976,-7.669090535299749e-09
42,0.012499999999999956,-0.5,0.006256471281999162,0.006278789888271616,2.2318606272453585e-05,2.6550403515790076e-09
43,0.025000000000000022,-0.5,0.0066565459518820175,0.006688888894206452,3.234294232443494e-05,1.549027965880349e-09
44,0.03749999999999998,-0.5,0.0069672179116127084,0.00709698640836883,0.0001297684967561212,-3.814958731902413e-09
