frame_tag,step,frame_index,element,integration_point,odb_integration_point,uel_integration_point,expected_sdv15,odb_sdv15,sdv15_error,expected_sdv16,odb_sdv16,sdv16_error,odb_sdv12,odb_sdv13
F0_ingested,INGEST_TRANSFERRED_STATE,1,1,1,1,1,0.0003063447499108079,0.00030634474991080783,-5.421010862427522e-20,2.9239161363398154e-05,2.9239161363398154e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,1,2,2,2,0.0003060725811240948,0.0003060725811240948,0.0,2.9515502135500868e-05,2.9515502135500868e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,1,3,4,3,0.0003175849139113111,0.00031758491391131104,-5.421010862427522e-20,3.0431709336089538e-05,3.0431709336089538e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,1,4,3,4,0.00032333104400705565,0.0003233310440070556,-5.421010862427522e-20,3.2360447316795084e-05,3.2360447316795084e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,2,1,1,1,0.00030486077491075157,0.00030486077491075157,0.0,2.957102717686789e-05,2.957102717686789e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,2,2,2,2,0.00030182222755368313,0.00030182222755368313,0.0,2.9253474929664924e-05,2.9253474929664924e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,2,3,4,3,0.00031484928236094606,0.00031484928236094606,0.0,3.067571312885894e-05,3.067571312885894e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,2,4,3,4,0.00031531223272784274,0.00031531223272784274,0.0,3.070003273653374e-05,3.070003273653374e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,3,1,1,1,0.0002943917851980297,0.0002943917851980297,0.0,2.8557011243115218e-05,2.8557011243115218e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,3,2,2,2,0.00027712998651674127,0.00027712998651674127,0.0,2.672356769344293e-05,2.672356769344293e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,3,3,4,3,0.00028780669391427493,0.00028780669391427493,0.0,2.8030257414479988e-05,2.8030257414479988e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,3,4,3,4,0.0003074791954484677,0.0003074791954484677,0.0,3.009911901033076e-05,3.009911901033076e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,4,1,1,1,0.00025994562040546044,0.00025994562040546044,0.0,2.4731596504090044e-05,2.4731596504090044e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,4,2,2,2,0.00023025885777486479,0.00023025885777486476,-2.710505431213761e-20,2.1585415213446034e-05,2.1585415213446034e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,4,3,4,3,0.00022577159744954466,0.00022577159744954463,-2.710505431213761e-20,2.108815499604514e-05,2.108815499604514e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,4,4,3,4,0.00026591320901497677,0.0002659132090149767,-5.421010862427522e-20,2.542747794251516e-05,2.542747794251516e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,5,1,1,1,0.0002123676420591766,0.0002123676420591766,0.0,1.9482790162786104e-05,1.9482790162786104e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,5,2,2,2,0.0001931746943453375,0.00019317469434533747,-2.710505431213761e-20,1.7444043489232392e-05,1.7444043489232392e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,5,3,4,3,0.00018015058862439336,0.00018015058862439336,0.0,1.589462847981171e-05,1.589462847981171e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,5,4,3,4,0.00020279157257511093,0.00020279157257511088,-5.421010862427522e-20,1.828691116393571e-05,1.828691116393571e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,6,1,1,1,0.00017209489164155166,0.00017209489164155163,-2.710505431213761e-20,1.1367652999588384e-05,1.1367652999588384e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,6,2,2,2,0.0001336967473551201,0.0001336967473551201,0.0,1.0621332981848797e-05,1.0621332981848797e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,6,3,4,3,0.0001382311610332232,0.0001382311610332232,0.0,1.161503743967133e-05,1.161503743967133e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,6,4,3,4,0.00016285167848872364,0.00016285167848872364,0.0,1.228631165591018e-05,1.228631165591018e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,7,1,1,1,0.00011283951344484325,0.00011283951344484324,-1.3552527156068805e-20,9.646758364530011e-06,9.646758364530011e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,7,2,2,2,9.425463498304994e-05,9.425463498304994e-05,0.0,7.835790359543368e-06,7.835790359543368e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,7,3,4,3,9.520248723560396e-05,9.520248723560396e-05,0.0,7.98676816393859e-06,7.98676816393859e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,7,4,3,4,0.00012010461486833122,0.00012010461486833122,0.0,1.0459716413203822e-05,1.0459716413203822e-05,0.0,0.0,0.0
