element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
1,1,1,1,F1_equilibrated,F3_release_last,6.330485454906338e-05,8.8681833050465e-06
1,2,2,2,F1_equilibrated,F3_release_last,5.7062046804616745e-05,7.867288907605824e-06
1,3,4,3,F1_equilibrated,F3_release_last,5.627872516015669e-05,7.866949984289498e-06
1,4,3,4,F1_equilibrated,F3_release_last,6.279802833207858e-05,8.86797467830929e-06
2,1,1,1,F1_equilibrated,F3_release_last,4.898163819213816e-05,7.181503284402439e-06
2,2,2,2,F1_equilibrated,F3_release_last,3.314835906137589e-05,3.936175131375118e-06
2,3,4,3,F1_equilibrated,F3_release_last,3.1644212829536544e-05,2.509569759954778e-06
2,4,3,4,F1_equilibrated,F3_release_last,4.7931085455102276e-05,7.1036200321676e-06
3,1,1,1,F1_equilibrated,F3_release_last,2.298833367170896e-05,1.4721895853691919e-06
3,2,2,2,F1_equilibrated,F3_release_last,1.1063907231711426e-05,0.0
3,3,4,3,F1_equilibrated,F3_release_last,6.843136146741479e-06,0.0
3,4,3,4,F1_equilibrated,F3_release_last,2.063472999371029e-05,0.0
4,1,1,1,F1_equilibrated,F3_release_last,5.576757337218195e-06,0.0
4,2,2,2,F1_equilibrated,F3_release_last,2.510011476714193e-06,0.0
4,3,4,3,F1_equilibrated,F3_release_last,1.6707828341399624e-06,0.0
4,4,3,4,F1_equilibrated,F3_release_last,1.7617618200280942e-06,0.0
5,1,1,1,F1_equilibrated,F3_release_last,1.1507806883353491e-06,0.0
5,2,2,2,F1_equilibrated,F3_release_last,5.040389757763762e-07,0.0
5,3,4,3,F1_equilibrated,F3_release_last,1.132849409906251e-06,0.0
5,4,3,4,F1_equilibrated,F3_release_last,1.502266261737905e-06,0.0
6,1,1,1,F1_equilibrated,F3_release_last,3.622413979815543e-07,1.2891640877642458e-06
6,2,2,2,F1_equilibrated,F3_release_last,6.21584923614772e-07,0.0
6,3,4,3,F1_equilibrated,F3_release_last,6.852123509044363e-07,0.0
6,4,3,4,F1_equilibrated,F3_release_last,9.13920474325731e-07,3.5952786250813524e-07
7,1,1,1,F1_equilibrated,F3_release_last,6.312052787051277e-07,0.0
7,2,2,2,F1_equilibrated,F3_release_last,3.9814505196572396e-07,0.0
7,3,4,3,F1_equilibrated,F3_release_last,3.827991813589864e-07,0.0
7,4,3,4,F1_equilibrated,F3_release_last,5.428988293710083e-07,0.0
8,1,1,1,F1_equilibrated,F3_release_last,2.612703492457601e-07,0.0
8,2,2,2,F1_equilibrated,F3_release_last,1.2038193388342418e-07,0.0
8,3,4,3,F1_equilibrated,F3_release_last,2.710543180486463e-07,0.0
8,4,3,4,F1_equilibrated,F3_release_last,3.0995866408331117e-07,0.0
9,1,1,1,F1_equilibrated,F3_release_last,7.352710471264469e-08,0.0
9,2,2,2,F1_equilibrated,F3_release_last,8.640574620054608e-08,0.0
9,3,4,3,F1_equilibrated,F3_release_last,1.349099922717917e-07,0.0
9,4,3,4,F1_equilibrated,F3_release_last,2.2415016780060165e-07,0.0
10,1,1,1,F1_equilibrated,F3_release_last,7.186380707939304e-08,0.0
10,2,2,2,F1_equilibrated,F3_release_last,1.9255849071950584e-08,0.0
10,3,4,3,F1_equilibrated,F3_release_last,2.1607084358971507e-08,0.0
10,4,3,4,F1_equilibrated,F3_release_last,8.063873663110438e-08,0.0
11,1,1,1,F1_equilibrated,F3_release_last,1.515235061584592e-09,0.0
11,2,2,2,F1_equilibrated,F3_release_last,5.654934235246466e-09,0.0
11,3,4,3,F1_equilibrated,F3_release_last,7.93901817543687e-09,0.0
11,4,3,4,F1_equilibrated,F3_release_last,2.127253508804242e-09,0.0
12,1,1,1,F1_equilibrated,F3_release_last,6.542218246809628e-09,0.0
12,2,2,2,F1_equilibrated,F3_release_last,4.826624073463545e-09,0.0
12,3,4,3,F1_equilibrated,F3_release_last,1.4485525544746726e-08,0.0
12,4,3,4,F1_equilibrated,F3_release_last,1.1250407187312435e-08,0.0
13,1,1,1,F1_equilibrated,F3_release_last,4.615314505397659e-09,0.0
13,2,2,2,F1_equilibrated,F3_release_last,5.753600202685076e-09,0.0
13,3,4,3,F1_equilibrated,F3_release_last,2.1472728282841125e-08,0.0
13,4,3,4,F1_equilibrated,F3_release_last,1.7224588227067786e-08,0.0
14,1,1,1,F1_equilibrated,F3_release_last,2.7573362987410124e-08,0.0
14,2,2,2,F1_equilibrated,F3_release_last,8.604777782710363e-08,0.0
14,3,4,3,F1_equilibrated,F3_release_last,2.7573362987410124e-08,0.0
14,4,3,4,F1_equilibrated,F3_release_last,2.4245674122536868e-08,0.0
15,1,1,1,F1_equilibrated,F3_release_last,1.1226230460578549e-07,0.0
15,2,2,2,F1_equilibrated,F3_release_last,1.2540730882177817e-07,0.0
15,3,4,3,F1_equilibrated,F3_release_last,3.893669306814085e-07,0.0
15,4,3,4,F1_equilibrated,F3_release_last,1.2540730882180527e-07,0.0
16,1,1,1,F1_equilibrated,F3_release_last,1.7993602884980656e-07,0.0
16,2,2,2,F1_equilibrated,F3_release_last,3.1576625822196647e-07,0.0
16,3,4,3,F1_equilibrated,F3_release_last,5.232247051311517e-07,0.0
16,4,3,4,F1_equilibrated,F3_release_last,4.959617807575488e-07,0.0
17,1,1,1,F1_equilibrated,F3_release_last,4.269187571525094e-07,0.0
17,2,2,2,F1_equilibrated,F3_release_last,5.947628022467976e-07,0.0
17,3,4,3,F1_equilibrated,F3_release_last,2.5135013613045176e-07,0.0
17,4,3,4,F1_equilibrated,F3_release_last,4.576812124940598e-07,0.0
18,1,1,1,F1_equilibrated,F3_release_last,6.108630896432756e-07,0.0
18,2,2,2,F1_equilibrated,F3_release_last,4.870058477325872e-07,1.1068785072968999e-06
18,3,4,3,F1_equilibrated,F3_release_last,1.3371603012870734e-06,0.0
18,4,3,4,F1_equilibrated,F3_release_last,4.870058477326143e-07,0.0
19,1,1,1,F1_equilibrated,F3_release_last,6.540860831943354e-07,0.0
19,2,2,2,F1_equilibrated,F3_release_last,1.2344150173271675e-06,0.0
19,3,4,3,F1_equilibrated,F3_release_last,2.103820680140426e-06,6.287599195614285e-07
19,4,3,4,F1_equilibrated,F3_release_last,1.7703845299414222e-06,0.0
20,1,1,1,F1_equilibrated,F3_release_last,1.4359903193420366e-06,0.0
20,2,2,2,F1_equilibrated,F3_release_last,1.4063753518650068e-06,0.0
20,3,4,3,F1_equilibrated,F3_release_last,7.652923542783834e-07,0.0
20,4,3,4,F1_equilibrated,F3_release_last,1.834507043352654e-06,0.0
21,1,1,1,F1_equilibrated,F3_release_last,1.7138148283652377e-06,0.0
21,2,2,2,F1_equilibrated,F3_release_last,2.583370065893306e-06,1.2208465848068063e-06
21,3,4,3,F1_equilibrated,F3_release_last,2.408770734987193e-06,0.0
21,4,3,4,F1_equilibrated,F3_release_last,9.191658466944463e-07,0.0
22,1,1,1,F1_equilibrated,F3_release_last,2.536369119075614e-06,0.0
22,2,2,2,F1_equilibrated,F3_release_last,1.5384049068383485e-06,0.0
22,3,4,3,F1_equilibrated,F3_release_last,4.077201055735329e-06,1.0785474619191604e-06
22,4,3,4,F1_equilibrated,F3_release_last,3.254963718918964e-06,0.0
23,1,1,1,F1_equilibrated,F3_release_last,1.5172973113041898e-06,0.0
23,2,2,2,F1_equilibrated,F3_release_last,2.45759450011665e-06,0.0
23,3,4,3,F1_equilibrated,F3_release_last,1.5172973113042982e-06,0.0
23,4,3,4,F1_equilibrated,F3_release_last,3.611594745100326e-06,6.514134383828784e-07
24,1,1,1,F1_equilibrated,F3_release_last,4.0193895225124066e-06,0.0
24,2,2,2,F1_equilibrated,F3_release_last,7.345995685893725e-06,1.1314633741977767e-06
24,3,4,3,F1_equilibrated,F3_release_last,5.543455861489396e-06,0.0
24,4,3,4,F1_equilibrated,F3_release_last,2.034937937329842e-06,0.0
25,1,1,1,F1_equilibrated,F3_release_last,7.215572089825251e-06,5.230843029336744e-06
25,2,2,2,F1_equilibrated,F3_release_last,3.532642035478919e-06,0.0
25,3,4,3,F1_equilibrated,F3_release_last,7.872941812797369e-06,1.3647475069874702e-06
25,4,3,4,F1_equilibrated,F3_release_last,7.107744285330753e-06,2.0399853631031495e-06
26,1,1,1,F1_equilibrated,F3_release_last,2.1998822968157233e-06,0.0
26,2,2,2,F1_equilibrated,F3_release_last,2.241645030851263e-06,0.0
26,3,4,3,F1_equilibrated,F3_release_last,2.1998822968157233e-06,0.0
26,4,3,4,F1_equilibrated,F3_release_last,6.5578841564111964e-06,2.5130038745741856e-06
27,1,1,1,F1_equilibrated,F3_release_last,2.815225109232232e-06,0.0
27,2,2,2,F1_equilibrated,F3_release_last,4.340512291542984e-06,0.0
27,3,4,3,F1_equilibrated,F3_release_last,1.1630367632562734e-06,0.0
27,4,3,4,F1_equilibrated,F3_release_last,7.543372945307929e-07,0.0
28,1,1,1,F1_equilibrated,F3_release_last,4.421490141411511e-06,4.134049491250763e-06
28,2,2,2,F1_equilibrated,F3_release_last,3.117438559229911e-06,0.0
28,3,4,3,F1_equilibrated,F3_release_last,8.048264095507915e-06,0.0
28,4,3,4,F1_equilibrated,F3_release_last,3.1174385592301276e-06,0.0
29,1,1,1,F1_equilibrated,F3_release_last,3.420791904263157e-06,0.0
29,2,2,2,F1_equilibrated,F3_release_last,5.553620237722448e-06,0.0
29,3,4,3,F1_equilibrated,F3_release_last,8.867666526335936e-06,1.7274686095507458e-06
29,4,3,4,F1_equilibrated,F3_release_last,9.589033035588973e-06,3.2690071253708487e-06
30,1,1,1,F1_equilibrated,F3_release_last,6.317801768392171e-06,0.0
30,2,2,2,F1_equilibrated,F3_release_last,6.272756202929577e-06,0.0
30,3,4,3,F1_equilibrated,F3_release_last,3.1402656151501007e-06,0.0
30,4,3,4,F1_equilibrated,F3_release_last,7.139724503852935e-06,0.0
31,1,1,1,F1_equilibrated,F3_release_last,5.555047265404234e-06,3.1506022646939763e-06
31,2,2,2,F1_equilibrated,F3_release_last,3.6392755485025775e-06,0.0
31,3,4,3,F1_equilibrated,F3_release_last,9.002054928607811e-06,0.0
31,4,3,4,F1_equilibrated,F3_release_last,3.639275548503445e-06,0.0
32,1,1,1,F1_equilibrated,F3_release_last,4.416708854624446e-06,0.0
32,2,2,2,F1_equilibrated,F3_release_last,8.456467863346157e-06,0.0
32,3,4,3,F1_equilibrated,F3_release_last,1.3976820116781957e-05,3.6894123001652256e-06
32,4,3,4,F1_equilibrated,F3_release_last,1.1771991647398575e-05,1.3743431847479848e-06
33,1,1,1,F1_equilibrated,F3_release_last,1.0447380116595552e-05,0.0
33,2,2,2,F1_equilibrated,F3_release_last,1.1846894537161177e-05,0.0
33,3,4,3,F1_equilibrated,F3_release_last,5.735989916296272e-06,0.0
33,4,3,4,F1_equilibrated,F3_release_last,1.2359478327420622e-05,7.279063144462975e-07
34,1,1,1,F1_equilibrated,F3_release_last,1.0900698795709117e-05,3.465287171338814e-06
34,2,2,2,F1_equilibrated,F3_release_last,6.9161295355906274e-06,1.3334229705324794e-05
34,3,4,3,F1_equilibrated,F3_release_last,1.6763819346653393e-05,5.705591218083713e-06
34,4,3,4,F1_equilibrated,F3_release_last,6.9161295355906274e-06,0.0
35,1,1,1,F1_equilibrated,F3_release_last,8.216041263414253e-06,0.0
35,2,2,2,F1_equilibrated,F3_release_last,1.575203540930218e-05,0.0
35,3,4,3,F1_equilibrated,F3_release_last,2.627842576030529e-05,7.005870605874371e-06
35,4,3,4,F1_equilibrated,F3_release_last,2.195193098367739e-05,1.4967878894405124e-06
36,1,1,1,F1_equilibrated,F3_release_last,1.7762381688372908e-05,3.644327936804361e-08
36,2,2,2,F1_equilibrated,F3_release_last,1.571875571771287e-05,0.0
36,3,4,3,F1_equilibrated,F3_release_last,9.051629239905344e-06,0.0
36,4,3,4,F1_equilibrated,F3_release_last,2.2821800325943664e-05,4.671948049191001e-06
37,1,1,1,F1_equilibrated,F3_release_last,1.7046190992425596e-05,1.223957016201324e-06
37,2,2,2,F1_equilibrated,F3_release_last,2.271643757736138e-05,9.963310224573555e-06
37,3,4,3,F1_equilibrated,F3_release_last,2.1223739462699308e-05,9.538336991748433e-07
37,4,3,4,F1_equilibrated,F3_release_last,8.623430122143769e-06,0.0
38,1,1,1,F1_equilibrated,F3_release_last,2.143404974708392e-05,0.0
38,2,2,2,F1_equilibrated,F3_release_last,1.2260254454820978e-05,1.346902430961281e-07
38,3,4,3,F1_equilibrated,F3_release_last,3.1662885083897675e-05,1.0887985132909661e-05
38,4,3,4,F1_equilibrated,F3_release_last,2.7397142813755798e-05,1.2406982750717247e-06
39,1,1,1,F1_equilibrated,F3_release_last,9.158677979606046e-06,2.8784107392195953e-06
39,2,2,2,F1_equilibrated,F3_release_last,9.858808758020365e-06,0.0
39,3,4,3,F1_equilibrated,F3_release_last,9.158677979606046e-06,0.0
39,4,3,4,F1_equilibrated,F3_release_last,2.6775903160404686e-05,1.0297409163331132e-05
40,1,1,1,F1_equilibrated,F3_release_last,1.1231585730808909e-05,0.0
40,2,2,2,F1_equilibrated,F3_release_last,1.4281951389513714e-05,4.897587686287347e-06
40,3,4,3,F1_equilibrated,F3_release_last,3.826837341160995e-06,0.0
40,4,3,4,F1_equilibrated,F3_release_last,3.009494326290836e-06,0.0
41,1,1,1,F1_equilibrated,F3_release_last,1.8909842689693313e-05,0.0
41,2,2,2,F1_equilibrated,F3_release_last,2.8503111194985546e-05,1.940024607451898e-06
41,3,4,3,F1_equilibrated,F3_release_last,3.796084216796912e-05,1.2646855671619552e-05
41,4,3,4,F1_equilibrated,F3_release_last,1.3192022769717947e-05,0.0
42,1,1,1,F1_equilibrated,F3_release_last,2.9123366715789502e-05,6.7995484411724006e-06
42,2,2,2,F1_equilibrated,F3_release_last,2.1224667807004383e-05,2.6374674780377206e-06
42,3,4,3,F1_equilibrated,F3_release_last,1.38122782905193e-05,3.3154223257259767e-06
42,4,3,4,F1_equilibrated,F3_release_last,3.8127039133869535e-05,1.5630612794419576e-05
43,1,1,1,F1_equilibrated,F3_release_last,2.081547153639368e-05,9.518757122065373e-07
43,2,2,2,F1_equilibrated,F3_release_last,2.7596225443602546e-05,3.1524416794373542e-06
43,3,4,3,F1_equilibrated,F3_release_last,7.3943863217610165e-06,0.0
43,4,3,4,F1_equilibrated,F3_release_last,5.5774887882499916e-06,0.0
44,1,1,1,F1_equilibrated,F3_release_last,3.6189758664835654e-05,1.3597162888451166e-05
44,2,2,2,F1_equilibrated,F3_release_last,5.288697413456927e-05,3.6137119863541723e-06
44,3,4,3,F1_equilibrated,F3_release_last,5.604834020881463e-05,1.3230848417319506e-05
44,4,3,4,F1_equilibrated,F3_release_last,2.091801020121138e-05,4.443946655571882e-06
45,1,1,1,F1_equilibrated,F3_release_last,5.745219268436016e-05,1.0513372621235055e-05
45,2,2,2,F1_equilibrated,F3_release_last,5.322738624031261e-05,7.976260486975881e-06
45,3,4,3,F1_equilibrated,F3_release_last,5.6898765107901185e-05,1.065878218994528e-05
45,4,3,4,F1_equilibrated,F3_release_last,6.568935442912479e-05,1.9472036230589363e-05
46,1,1,1,F1_equilibrated,F3_release_last,4.94086918541841e-05,5.085803218945399e-06
46,2,2,2,F1_equilibrated,F3_release_last,4.320063121675266e-05,3.649872970048996e-06
46,3,4,3,F1_equilibrated,F3_release_last,1.9993341843663887e-05,0.0
46,4,3,4,F1_equilibrated,F3_release_last,4.4654555438306334e-05,1.0754398301590683e-06
47,1,1,1,F1_equilibrated,F3_release_last,4.5936502394369055e-05,1.100363972248461e-05
47,2,2,2,F1_equilibrated,F3_release_last,5.96191020920088e-05,2.5902307905781774e-06
47,3,4,3,F1_equilibrated,F3_release_last,6.090563108956254e-05,1.0626450289058769e-05
47,4,3,4,F1_equilibrated,F3_release_last,2.4347804440556786e-05,1.7675682566804926e-06
48,1,1,1,F1_equilibrated,F3_release_last,6.47676445490828e-05,1.0975020451890597e-05
48,2,2,2,F1_equilibrated,F3_release_last,6.515112442909317e-05,1.1563301636382563e-05
48,3,4,3,F1_equilibrated,F3_release_last,6.986303938587984e-05,1.5740549424307897e-05
48,4,3,4,F1_equilibrated,F3_release_last,7.310140153647497e-05,1.9181261343571192e-05
49,1,1,1,F1_equilibrated,F3_release_last,5.963014934586529e-05,9.187078808805529e-06
49,2,2,2,F1_equilibrated,F3_release_last,4.4163085031153834e-05,5.7000664901198095e-06
49,3,4,3,F1_equilibrated,F3_release_last,2.26496856227075e-05,0.0
49,4,3,4,F1_equilibrated,F3_release_last,5.634454285001998e-05,7.553244624329677e-06
50,1,1,1,F1_equilibrated,F3_release_last,3.317796513149611e-05,9.720008809855686e-06
50,2,2,2,F1_equilibrated,F3_release_last,1.8633123753098585e-05,8.687921767940032e-08
50,3,4,3,F1_equilibrated,F3_release_last,4.1354529880896496e-05,6.446554985090232e-06
50,4,3,4,F1_equilibrated,F3_release_last,1.863312375309685e-05,1.0155194552248633e-06
51,1,1,1,F1_equilibrated,F3_release_last,2.3398920464556133e-05,8.757697380538162e-06
51,2,2,2,F1_equilibrated,F3_release_last,5.09641605971993e-05,1.217923503837729e-05
51,3,4,3,F1_equilibrated,F3_release_last,6.254965639742281e-05,1.7183328734048813e-05
51,4,3,4,F1_equilibrated,F3_release_last,5.312192933731863e-05,1.5747596844308985e-05
52,1,1,1,F1_equilibrated,F3_release_last,5.738779250925169e-05,1.1283215421881783e-05
52,2,2,2,F1_equilibrated,F3_release_last,4.737224112946574e-05,7.913584778446278e-06
52,3,4,3,F1_equilibrated,F3_release_last,2.3183761830587735e-05,2.71873253503618e-06
52,4,3,4,F1_equilibrated,F3_release_last,5.4527748591128716e-05,1.2053755594807359e-05
53,1,1,1,F1_equilibrated,F3_release_last,3.7372277757290184e-05,9.601708255525983e-06
53,2,2,2,F1_equilibrated,F3_release_last,2.0067421130476326e-05,1.6609494767923683e-05
53,3,4,3,F1_equilibrated,F3_release_last,4.289740676461512e-05,1.0257685227359724e-05
53,4,3,4,F1_equilibrated,F3_release_last,2.0067421130476326e-05,2.6429886264522614e-06
54,1,1,1,F1_equilibrated,F3_release_last,2.4845551499451043e-05,7.72479209727706e-06
54,2,2,2,F1_equilibrated,F3_release_last,5.520450305949651e-05,1.2206499228221328e-05
54,3,4,3,F1_equilibrated,F3_release_last,7.002097139031417e-05,1.71352720630464e-05
54,4,3,4,F1_equilibrated,F3_release_last,5.628242021580611e-05,1.3276650685421342e-05
55,1,1,1,F1_equilibrated,F3_release_last,6.290566314160612e-05,1.1976375433264469e-05
55,2,2,2,F1_equilibrated,F3_release_last,5.358667220310351e-05,8.660185164555958e-06
55,3,4,3,F1_equilibrated,F3_release_last,2.6463222819385346e-05,5.762450427871518e-06
55,4,3,4,F1_equilibrated,F3_release_last,6.203094152899824e-05,1.4201172675588599e-05
56,1,1,1,F1_equilibrated,F3_release_last,5.305897051665655e-05,8.397577037432208e-06
56,2,2,2,F1_equilibrated,F3_release_last,6.093625363654681e-05,1.2274408757480173e-05
56,3,4,3,F1_equilibrated,F3_release_last,5.5874905713440906e-05,7.067069130638854e-06
56,4,3,4,F1_equilibrated,F3_release_last,2.4813717994030815e-05,3.3131353956280998e-06
57,1,1,1,F1_equilibrated,F3_release_last,6.474977167999357e-05,6.019659203843541e-06
57,2,2,2,F1_equilibrated,F3_release_last,6.729121361039384e-05,1.0993148400777067e-05
57,3,4,3,F1_equilibrated,F3_release_last,7.349900986046431e-05,1.4911167658687111e-05
57,4,3,4,F1_equilibrated,F3_release_last,6.892009035232467e-05,9.841319795860599e-06
