uel_integration_point,integration_point,expected_sdv16,sdv16_error,odb_integration_point,odb_sdv12,step,sdv15_error,odb_sdv13,expected_sdv15,odb_sdv16,odb_sdv15,frame_index,element,frame_tag
1,1,3.783973229409135e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00036507661769716955,3.783973229409135e-05,0.00036507661769716955,1,1,F0_ingested
2,2,3.3561423505217074e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-1.0842021724855044e-19,0.0,0.0003549419680310093,3.3561423505217074e-05,0.0003549419680310092,1,1,F0_ingested
3,3,3.356001007218113e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.0003558232843949737,3.356001007218113e-05,0.0003558232843949736,1,1,F0_ingested
4,4,3.7838798311060363e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.0003656024150994078,3.7838798311060363e-05,0.00036560241509940773,1,1,F0_ingested
1,1,3.062598772997645e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.0003449543203767648,3.062598772997645e-05,0.00034495432037676474,1,2,F0_ingested
2,2,2.9253474929664924e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00032780220920343314,2.9253474929664924e-05,0.00032780220920343314,1,2,F0_ingested
3,3,3.067571312885894e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0003304285825406291,3.067571312885894e-05,0.0003304285825406291,1,2,F0_ingested
4,4,3.070003273653374e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,-1.0842021724855044e-19,0.0,0.0003463984843661414,3.070003273653374e-05,0.0003463984843661413,1,2,F0_ingested
1,1,2.8557011243115218e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00031301473371793723,2.8557011243115218e-05,0.00031301473371793723,1,3,F0_ingested
2,2,2.672356769344293e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0002897667105492147,2.672356769344293e-05,0.0002897667105492147,1,3,F0_ingested
3,3,2.8030257414479988e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.0002921069384880115,2.8030257414479988e-05,0.00029210693848801146,1,3,F0_ingested
4,4,3.009911901033076e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00031588120666674693,3.009911901033076e-05,0.00031588120666674693,1,3,F0_ingested
1,1,2.4731596504090044e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00027053309636881125,2.4731596504090044e-05,0.00027053309636881125,1,4,F0_ingested
2,2,2.1585415213446034e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,-5.421010862427522e-20,0.0,0.00024123390838349414,2.1585415213446034e-05,0.0002412339083834941,1,4,F0_ingested
3,3,2.108815499604514e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00024122233121784195,2.108815499604514e-05,0.00024122233121784195,1,4,F0_ingested
4,4,2.542747794251516e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.0002721021531036616,2.542747794251516e-05,0.0002721021531036616,1,4,F0_ingested
1,1,1.9482790162786104e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,-2.710505431213761e-20,0.0,0.00022161078244822995,1.9482790162786104e-05,0.00022161078244822992,1,5,F0_ingested
2,2,1.7444043489232392e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,2.710505431213761e-20,0.0,0.00019729859337508273,1.7444043489232392e-05,0.00019729859337508276,1,5,F0_ingested
3,3,1.589462847981171e-05,0.0,4,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00019075508280874204,1.589462847981171e-05,0.00019075508280874204,1,5,F0_ingested
4,4,1.828691116393571e-05,0.0,3,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00021942544942568046,1.828691116393571e-05,0.00021942544942568046,1,5,F0_ingested
1,1,1.1367652999588384e-05,0.0,1,0.0,INGEST_COMPATIBLE_STATE,2.710505431213761e-20,0.0,0.00017648516033672753,1.1367652999588384e-05,0.00017648516033672755,1,6,F0_ingested
2,2,1.0621332981848797e-05,0.0,2,0.0,INGEST_COMPATIBLE_STATE,0.0,0.0,0.00014393399286915574,1.0621332981848797e-05,0.00014393399286915574,1,6,F0_ingested
