node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
1,-0.5,-0.5,False,0.00029949358368940466,0.000368641332236321,0.00036864133223632093,0.00043437609235860583,0.00043437968091826295,6.573834868194202e-05,0.0001348860972288583
2,-0.4875,-0.5,False,0.0003024925259331761,0.0003508622141074129,0.00035086221410741297,0.00040595754814994967,0.0004059629936710781,5.5100779563665124e-05,0.000103470467737902
3,-0.475,-0.5,False,0.0002955967444676714,0.0003204043954042067,0.0003204043954042067,0.0003483607045471125,0.0003483686978156857,2.7964302411479002e-05,5.2771953348014315e-05
4,-0.4625,-0.5,False,0.00026722675648941995,0.00028047126406817436,0.00028047126406817436,0.0002889611959631188,0.00028896559073736145,8.494326669187093e-06,2.1738834247941494e-05
5,-0.45,-0.5,False,0.0002224358839329488,0.0002307256635959292,0.00023072566359592928,0.00023201799776397176,0.00023202167001805567,1.2960064221263898e-06,9.585786085106863e-06
7,-0.425,-0.5,False,0.0001161364884991698,0.00013132407318566287,0.00013132407318566284,0.00013207643785199626,0.00013208268169581536,7.586085101525129e-07,1.5946193196645557e-05
8,-0.4125,-0.5,False,8.79515102431872e-05,9.296971224648863e-05,9.296971224648863e-05,9.32744494920631e-05,9.327839344926657e-05,3.0868120277793994e-07,5.326883206079367e-06
10,-0.3875,-0.5,False,3.758110448235131e-05,4.181620640199761e-05,4.181620640199759e-05,4.19014561326638e-05,4.1903253599171267e-05,8.704719717367413e-08,4.322149116819956e-06
12,-0.3625,-0.5,False,2.522101618820705e-05,2.5666741828164792e-05,2.5666741828164792e-05,2.5672851688370966e-05,2.567285195041588e-05,6.11012225108673e-09,4.5183576220882875e-07
15,-0.325,-0.5,False,6.438624773248023e-05,6.916404540953513e-05,6.916404540953513e-05,6.93002875525974e-05,6.930028769031285e-05,1.362422807777157e-07,4.914039957832616e-06
17,-0.3,-0.5,False,0.00014284154402430084,0.00014664247859031787,0.00014664247859031787,0.00014694657233426997,0.00014694657236214286,3.0409377182498355e-07,4.105028337842017e-06
18,-0.2875,-0.5,False,0.00019060262595818102,0.00020126701469545097,0.00020126701469545095,0.00020209904038656659,0.00020209904040266734,8.320257072163932e-07,1.1496414444486325e-05
20,-0.2625,-0.5,False,0.0003372200696517562,0.0003447103898485746,0.00034471038984857456,0.00034587207279975277,0.00034587207280059785,1.1616829520232877e-06,8.652003148841645e-06
21,-0.25,-0.5,False,0.00042072627579494326,0.0004331875056418095,0.00043318750564180954,0.0004349569737788681,0.0004349569737792235,1.7694681374139684e-06,1.4230697984280241e-05
22,-0.2375,-0.5,False,0.0004707810871710676,0.0005373917326390356,0.0005373917326390356,0.0005402742189008148,0.0005402742189008585,2.8824862618228577e-06,6.949313172979087e-05
24,-0.21250000000000002,-0.5,False,0.0007820540160651615,0.0007896549896639458,0.0007896549896639458,0.0007932074880697247,0.0007932074880697289,3.5524984057830984e-06,1.115347200456745e-05
