node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
1,-0.5,-0.5,True,0.00036864133223632093,0.00036864133223632104,0.000368641332236321,0.000368641332236321,0.000368641332236321,0.0,5.421010862427522e-20
2,-0.4875,-0.5,True,0.00035086221410741297,0.00035086221410741286,0.00035086221410741297,0.00035086221410741297,0.00035086221410741297,0.0,0.0
3,-0.475,-0.5,True,0.0003204043954042067,0.0003204043954042067,0.0003204043954042067,0.0003204043954042067,0.0003204043954042067,0.0,0.0
4,-0.4625,-0.5,True,0.00028047126406817436,0.00028047126406817436,0.00028047126406817436,0.00028047126406817436,0.00028047126406817436,0.0,0.0
5,-0.45,-0.5,True,0.00023072566359592928,0.0002307256635959292,0.0002307256635959293,0.0002307256635959292,0.0002307256635959293,0.0,2.710505431213761e-20
6,-0.4375,-0.5,True,0.00019137869072657812,0.00019137869072657817,0.00019137869072657817,0.00019137869072657817,0.00019137869072657817,0.0,5.421010862427522e-20
7,-0.425,-0.5,True,0.00013132407318566284,0.00013132407318566282,0.00013132407318566282,0.00013132407318566282,0.00013132407318566282,0.0,-2.710505431213761e-20
8,-0.4125,-0.5,True,9.296971224648863e-05,9.296971224648865e-05,9.296971224648865e-05,9.296971224648865e-05,9.296971224648865e-05,0.0,1.3552527156068805e-20
9,-0.4,-0.5,True,6.495327271787614e-05,6.495327271787614e-05,6.495327271787614e-05,6.495327271787614e-05,6.495327271787614e-05,0.0,0.0
10,-0.3875,-0.5,True,4.181620640199759e-05,4.181620640199758e-05,4.181620640199759e-05,4.181620640199759e-05,4.181620640199759e-05,0.0,0.0
11,-0.375,-0.5,True,3.135219183701828e-05,3.1352191837018283e-05,3.1352191837018283e-05,3.135219183701827e-05,3.1352191837018283e-05,0.0,6.776263578034403e-21
12,-0.3625,-0.5,True,2.5666741828164792e-05,2.5666741828164795e-05,2.5666741828164795e-05,2.5666741828164795e-05,2.5666741828164795e-05,0.0,3.3881317890172014e-21
13,-0.35,-0.5,True,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,3.220688234487778e-05,0.0,0.0
14,-0.3375,-0.5,True,4.7070538080622995e-05,4.7070538080622995e-05,4.7070538080622995e-05,4.707053808062301e-05,4.7070538080622995e-05,0.0,0.0
15,-0.325,-0.5,True,6.916404540953513e-05,6.916404540953513e-05,6.91640454095351e-05,6.916404540953513e-05,6.91640454095351e-05,0.0,-2.710505431213761e-20
16,-0.3125,-0.5,True,0.00010838553270897929,0.00010838553270897932,0.00010838553270897929,0.00010838553270897932,0.00010838553270897929,0.0,0.0
17,-0.3,-0.5,True,0.00014664247859031787,0.00014664247859031787,0.00014664247859031787,0.00014664247859031787,0.00014664247859031787,0.0,0.0
18,-0.2875,-0.5,True,0.00020126701469545095,0.00020126701469545095,0.00020126701469545097,0.00020126701469545095,0.00020126701469545097,0.0,2.710505431213761e-20
19,-0.275,-0.5,True,0.0002871937582760399,0.00028719375827603987,0.00028719375827603987,0.0002871937582760399,0.00028719375827603987,0.0,-5.421010862427522e-20
20,-0.2625,-0.5,True,0.00034471038984857456,0.0003447103898485745,0.0003447103898485745,0.0003447103898485745,0.0003447103898485745,0.0,-5.421010862427522e-20
21,-0.25,-0.5,True,0.00043318750564180954,0.00043318750564180954,0.00043318750564180954,0.00043318750564180954,0.00043318750564180954,0.0,0.0
22,-0.2375,-0.5,True,0.0005373917326390356,0.0005373917326390355,0.0005373917326390355,0.0005373917326390355,0.0005373917326390355,0.0,-1.0842021724855044e-19
23,-0.22499999999999998,-0.5,True,0.0006599303369579841,0.0006599303369579843,0.0006599303369579841,0.0006599303369579841,0.0006599303369579841,0.0,0.0
24,-0.21250000000000002,-0.5,True,0.0007896549896639458,0.0007896549896639458,0.000789654989663946,0.0007896549896639459,0.000789654989663946,0.0,2.168404344971009e-19
25,-0.2,-0.5,True,0.0009353485160437363,0.000935348516043736,0.0009353485160437363,0.0009353485160437364,0.0009353485160437363,0.0,0.0
26,-0.1875,-0.5,True,0.001135673377096943,0.0011356733770969433,0.0011356733770969433,0.0011356733770969433,0.0011356733770969433,0.0,2.168404344971009e-19
27,-0.175,-0.5,True,0.001308710760777772,0.001308710760777772,0.001308710760777772,0.001308710760777772,0.001308710760777772,0.0,0.0
28,-0.16249999999999998,-0.5,True,0.0015181640582949028,0.0015181640582949026,0.0015181640582949028,0.001518164058294903,0.0015181640582949028,0.0,0.0
29,-0.15000000000000002,-0.5,True,0.0017974831222285176,0.0017974831222285176,0.0017974831222285176,0.0017974831222285176,0.0017974831222285176,0.0,0.0
30,-0.1375,-0.5,True,0.0020102980933806936,0.0020102980933806936,0.0020102980933806936,0.0020102980933806936,0.0020102980933806936,0.0,0.0
31,-0.125,-0.5,True,0.002288555287748873,0.0022885552877488736,0.0022885552877488736,0.0022885552877488736,0.0022885552877488736,0.0,4.336808689942018e-19
32,-0.11249999999999999,-0.5,True,0.002675013337617986,0.002675013337617986,0.0026750133376179856,0.002675013337617986,0.0026750133376179856,0.0,-4.336808689942018e-19
33,-0.09999999999999998,-0.5,True,0.0028920793358975976,0.002892079335897598,0.0028920793358975976,0.002892079335897598,0.0028920793358975976,0.0,0.0
34,-0.08750000000000002,-0.5,True,0.00321489137162712,0.0032148913716271194,0.0032148913716271194,0.0032148913716271194,0.0032148913716271194,0.0,-4.336808689942018e-19
35,-0.07500000000000001,-0.5,True,0.0037133045688111186,0.0037133045688111186,0.0037133045688111203,0.0037133045688111186,0.0037133045688111203,0.0,1.734723475976807e-18
36,-0.0625,-0.5,True,0.0039285885014681615,0.003928588501468162,0.0039285885014681615,0.003928588501468162,0.0039285885014681615,0.0,0.0
37,-0.04999999999999999,-0.5,True,0.004282696558408993,0.0042826965584089926,0.0042826965584089926,0.0042826965584089926,0.0042826965584089926,0.0,-8.673617379884035e-19
38,-0.03749999999999998,-0.5,True,0.00466202109938956,0.00466202109938956,0.00466202109938956,0.00466202109938956,0.00466202109938956,0.0,0.0
39,-0.025000000000000022,-0.5,True,0.005062373675752917,0.005062373675752917,0.0050623736757529165,0.005062373675752917,0.0050623736757529165,0.0,-8.673617379884035e-19
40,-0.012500000000000011,-0.5,True,0.0054626659750494615,0.0054626659750494615,0.0054626659750494615,0.0054626659750494615,0.0054626659750494615,0.0,0.0
41,0.0,-0.5,True,0.005872650753553319,0.005872650753553319,0.00587265075355332,0.005872650753553319,0.00587265075355332,0.0,8.673617379884035e-19
