step,frame,time,penalty_active_count,minimum_gap,maximum_penalty_energy_density,penalty_energy,penalty_residual_magnitude,penalty_tangent_magnitude,elastic_energy,local_crack_energy,gradient_crack_energy,history_driven_term,total_diagnostic_energy,incremental_diagnostic_imbalance
MONOTONIC,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONOTONIC,1,0.004999999888241291,0,0.0,0.0,0.0,0.0,0.0,8.873795572839073e-09,0.0,0.0,0.0,8.873795572839073e-09,6.486725548222466e-17
MONOTONIC,2,0.009999999776482582,0,0.00015075561532285064,0.0,0.0,0.0,0.0,3.549518229135629e-08,1.5249378509940568e-12,2.3469029228382175e-14,8.87069809536456e-09,3.549673069823651e-08,1.5486014819873612e-12
MONOTONIC,3,0.017500000074505806,0,0.00045200646854937077,0.0,0.0,0.0,0.0,1.0866606311310536e-07,2.4377717200430032e-11,3.751439127766022e-13,3.5445668535771816e-08,1.0869081597421856e-07,1.5273829961317303e-12
MONOTONIC,4,0.028750000521540642,0,0.0012400889536365867,0.0,0.0,0.0,0.0,2.929806332076624e-07,2.2786059830082188e-10,3.5055458647665833e-12,1.0824075676509889e-07,2.93211999351828e-07,1.981970481685794e-11
MONOTONIC,5,0.045625001192092896,0,0.0031176332850009203,0.0,0.0,0.0,0.0,7.35733471265121e-07,1.650902517269515e-09,2.538993023933762e-11,2.9003065503729894e-07,7.374097637126298e-07,1.1033130108077472e-10
MONOTONIC,6,0.06562499701976776,0,0.007413819897919893,0.0,0.0,0.0,0.0,1.5111474431250827e-06,1.0271930631233774e-08,1.5775956584002107e-10,7.178708807259677e-07,1.5215771333221564e-06,1.1138173714772216e-09
MONOTONIC,7,0.08562500029802322,0,0.012924919836223125,0.0,0.0,0.0,0.0,2.5283754470365234e-06,4.293173103633307e-08,6.58708123058016e-10,1.440451822236355e-06,2.5719658861959147e-06,-7.217547341344461e-10
MONOTONIC,8,0.10562500357627869,0,0.01676991395652294,0.0,0.0,0.0,0.0,3.7315795325412183e-06,1.1869169629790122e-07,1.8184074715654753e-09,2.3551821597720846e-06,3.852089636310685e-06,-1.70175689481655e-08
MONOTONIC,9,0.12562499940395355,0,0.020450111478567123,0.0,0.0,0.0,0.0,5.069597835608874e-06,2.621610072310432e-07,4.021335998527499e-09,3.4077881693519887e-06,5.3357801788384446e-06,-2.998464911998755e-08
