elem_label,vis_elem_label,x,y,sdv15,dist_from_notch_tip,component_id,ligament_spanning,crack_extension,mean_crack_direction_deg
77672,77672,0.0935,-0.045715,1.004587,0.680476,1,False,0.680476,0.0
77673,77673,0.0945,-0.045715,1.004303,0.679879,1,False,0.679879,0.0
77671,77671,0.0925,-0.045715,1.003887,0.681073,1,False,0.681073,0.0
78194,78194,0.0695,-0.031477,1.003876,0.683957,1,False,0.683957,0.0
78195,78195,0.0705,-0.031477,1.003547,0.683328,1,False,0.683328,0.0
78193,78193,0.0685,-0.031477,1.003117,0.684587,1,False,0.684587,0.0
84129,84129,-0.0015,-0.0005,1.002985,0.708521,1,False,0.708521,0.0
77670,77670,0.0915,-0.045715,1.00229,0.681672,1,False,0.681672,0.0
78719,78719,0.0485,-0.021984,1.002262,0.690159,1,False,0.690159,0.0
78192,78192,0.0675,-0.031477,1.001963,0.685218,1,False,0.685218,0.0
83584,83584,-0.0005,-0.0015,1.001772,0.708521,1,False,0.708521,0.0
79250,79250,0.0335,-0.015656,1.001685,0.695359,1,False,0.695359,0.0
77651,77651,0.0725,-0.045715,1.001656,0.693225,1,False,0.693225,0.0
77674,77674,0.0955,-0.045715,1.001633,0.679283,1,False,0.679283,0.0
78718,78718,0.0475,-0.021984,1.001621,0.690814,1,False,0.690814,0.0
77650,77650,0.0715,-0.045715,1.001426,0.693842,1,False,0.693842,0.0
78175,78175,0.0505,-0.031477,1.001391,0.696073,1,False,0.696073,0.0
78720,78720,0.0495,-0.021984,1.001378,0.689506,1,False,0.689506,0.0
79249,79249,0.0325,-0.015656,1.001272,0.69603,1,False,0.69603,0.0
79785,79785,0.0225,-0.011438,1.00116,0.699696,1,False,0.699696,0.0
78706,78706,0.0355,-0.021984,1.000966,0.698733,1,False,0.698733,0.0
79251,79251,0.0345,-0.015656,1.000842,0.694688,1,False,0.694688,0.0
78717,78717,0.0465,-0.021984,1.000836,0.691469,1,False,0.691469,0.0
78174,78174,0.0495,-0.031477,1.000813,0.696719,1,False,0.696719,0.0
78705,78705,0.0345,-0.021984,1.000784,0.699398,1,False,0.699398,0.0
80324,80324,0.0155,-0.008625,1.000784,0.702453,1,False,0.702453,0.0
79241,79241,0.0245,-0.015656,1.000783,0.701428,1,False,0.701428,0.0
79786,79786,0.0235,-0.011438,1.000746,0.699014,1,False,0.699014,0.0
77129,77129,0.0965,-0.066758,1.000733,0.69572,1,False,0.69572,0.0
78191,78191,0.0665,-0.031477,1.00066,0.68585,1,False,0.68585,0.0
83039,83039,0.0005,-0.0025,1.000619,0.708524,1,False,0.708524,0.0
79240,79240,0.0235,-0.015656,1.000558,0.702107,1,False,0.702107,0.0
79780,79780,0.0175,-0.011438,1.000557,0.703118,1,False,0.703118,0.0
80865,80865,0.0105,-0.00675,1.000498,0.704561,1,False,0.704561,0.0
80325,80325,0.0165,-0.008625,1.000459,0.701763,1,False,0.701763,0.0
83040,83040,0.0015,-0.0025,1.000435,0.70782,1,False,0.70782,0.0
79779,79779,0.0165,-0.011438,1.000415,0.703804,1,False,0.703804,0.0
80321,80321,0.0125,-0.008625,1.000388,0.704525,1,False,0.704525,0.0
