element,phase_variable,phase_value,threshold,step,frame
7926,SDV15,0.9607024788856506,0.5,Step-2,20
7934,SDV15,0.978942334651947,0.5,Step-2,20
8123,SDV15,0.9908835887908936,0.5,Step-2,20
8124,SDV15,0.9435217976570129,0.5,Step-2,20
8125,SDV15,0.844231367111206,0.5,Step-2,20
8126,SDV15,0.869629442691803,0.5,Step-2,20
8127,SDV15,0.7058202624320984,0.5,Step-2,20
8128,SDV15,0.5630319714546204,0.5,Step-2,20
8129,SDV15,0.504295289516449,0.5,Step-2,20
8130,SDV15,0.5054925680160522,0.5,Step-2,20
8196,SDV15,0.9896310567855835,0.5,Step-2,20
8197,SDV15,0.8640252351760864,0.5,Step-2,20
8264,SDV15,0.6301747560501099,0.5,Step-2,20
8269,SDV15,0.9484286904335022,0.5,Step-2,20
8270,SDV15,0.7878387570381165,0.5,Step-2,20
8271,SDV15,0.8803589344024658,0.5,Step-2,20
8272,SDV15,0.7957136631011963,0.5,Step-2,20
8273,SDV15,0.7102787494659424,0.5,Step-2,20
8305,SDV15,0.859954833984375,0.5,Step-2,20
8306,SDV15,0.9691343903541565,0.5,Step-2,20
8308,SDV15,0.701035737991333,0.5,Step-2,20
8312,SDV15,0.5525669455528259,0.5,Step-2,20
8343,SDV15,0.5650367736816406,0.5,Step-2,20
8347,SDV15,0.557766318321228,0.5,Step-2,20
8362,SDV15,0.898431122303009,0.5,Step-2,20
8363,SDV15,0.5072529911994934,0.5,Step-2,20
8364,SDV15,0.7883387207984924,0.5,Step-2,20
8365,SDV15,0.6331974267959595,0.5,Step-2,20
8366,SDV15,0.7047248482704163,0.5,Step-2,20
8367,SDV15,0.6268119215965271,0.5,Step-2,20
8408,SDV15,0.6373007297515869,0.5,Step-2,20
8409,SDV15,0.7858451008796692,0.5,Step-2,20
8410,SDV15,0.9006103277206421,0.5,Step-2,20
8423,SDV15,0.8655461072921753,0.5,Step-2,20
8424,SDV15,0.7423714995384216,0.5,Step-2,20
8425,SDV15,0.6732463836669922,0.5,Step-2,20
8482,SDV15,0.5996242761611938,0.5,Step-2,20
8483,SDV15,0.5317680239677429,0.5,Step-2,20
8547,SDV15,0.5858967304229736,0.5,Step-2,20
8551,SDV15,0.6597259044647217,0.5,Step-2,20
8552,SDV15,0.7830497026443481,0.5,Step-2,20
8568,SDV15,0.5709101557731628,0.5,Step-2,20
8589,SDV15,0.6201649904251099,0.5,Step-2,20
8599,SDV15,0.5656760334968567,0.5,Step-2,20
8665,SDV15,0.6691068410873413,0.5,Step-2,20
8671,SDV15,0.5530628561973572,0.5,Step-2,20
8674,SDV15,0.6563253402709961,0.5,Step-2,20
9723,SDV15,0.7685458660125732,0.5,Step-2,20
9823,SDV15,0.7242806553840637,0.5,Step-2,20
9943,SDV15,0.9079933762550354,0.5,Step-2,20
10026,SDV15,0.8195762038230896,0.5,Step-2,20
10027,SDV15,0.8734943866729736,0.5,Step-2,20
10028,SDV15,0.679555356502533,0.5,Step-2,20
10029,SDV15,0.6100507974624634,0.5,Step-2,20
10030,SDV15,0.5470921397209167,0.5,Step-2,20
10108,SDV15,0.9279804229736328,0.5,Step-2,20
10109,SDV15,0.8861371278762817,0.5,Step-2,20
10110,SDV15,0.6467233896255493,0.5,Step-2,20
10179,SDV15,0.7163379788398743,0.5,Step-2,20
10189,SDV15,0.5753299593925476,0.5,Step-2,20
10190,SDV15,0.7518101930618286,0.5,Step-2,20
10191,SDV15,0.6795750856399536,0.5,Step-2,20
10193,SDV15,0.5160908699035645,0.5,Step-2,20
10212,SDV15,0.6887409090995789,0.5,Step-2,20
10213,SDV15,0.5815146565437317,0.5,Step-2,20
10250,SDV15,0.5464274287223816,0.5,Step-2,20
10276,SDV15,0.7278328537940979,0.5,Step-2,20
10279,SDV15,0.6274661421775818,0.5,Step-2,20
10280,SDV15,0.5344468951225281,0.5,Step-2,20
10281,SDV15,0.5709437131881714,0.5,Step-2,20
10282,SDV15,0.5706768035888672,0.5,Step-2,20
10284,SDV15,0.5096074938774109,0.5,Step-2,20
10308,SDV15,0.5686141848564148,0.5,Step-2,20
