element,phase_variable,phase_value,threshold,step,frame
28129,SDV15,0.5166969895362854,0.5,Step-2,40
28130,SDV15,0.5542405247688293,0.5,Step-2,40
28131,SDV15,0.5916822552680969,0.5,Step-2,40
28132,SDV15,0.6234340667724609,0.5,Step-2,40
28133,SDV15,0.6436497569084167,0.5,Step-2,40
28134,SDV15,0.6498064398765564,0.5,Step-2,40
28135,SDV15,0.6482688784599304,0.5,Step-2,40
28136,SDV15,0.635556161403656,0.5,Step-2,40
28137,SDV15,0.6124927997589111,0.5,Step-2,40
28138,SDV15,0.5821660757064819,0.5,Step-2,40
28139,SDV15,0.547497034072876,0.5,Step-2,40
28140,SDV15,0.5108347535133362,0.5,Step-2,40
28349,SDV15,0.5023735165596008,0.5,Step-2,40
28350,SDV15,0.538731038570404,0.5,Step-2,40
28351,SDV15,0.5790160894393921,0.5,Step-2,40
28352,SDV15,0.6227745413780212,0.5,Step-2,40
28353,SDV15,0.6713922619819641,0.5,Step-2,40
28354,SDV15,0.7258495092391968,0.5,Step-2,40
28355,SDV15,0.7811015844345093,0.5,Step-2,40
28356,SDV15,0.8252483010292053,0.5,Step-2,40
28357,SDV15,0.8527633547782898,0.5,Step-2,40
28358,SDV15,0.8704420924186707,0.5,Step-2,40
28359,SDV15,0.8846336603164673,0.5,Step-2,40
28360,SDV15,0.8985046148300171,0.5,Step-2,40
28361,SDV15,0.9140130281448364,0.5,Step-2,40
28362,SDV15,0.9321959614753723,0.5,Step-2,40
28363,SDV15,0.9458383917808533,0.5,Step-2,40
28364,SDV15,0.9454888105392456,0.5,Step-2,40
28365,SDV15,0.9256210327148438,0.5,Step-2,40
28366,SDV15,0.8816133737564087,0.5,Step-2,40
28367,SDV15,0.8299288153648376,0.5,Step-2,40
28368,SDV15,0.7763574123382568,0.5,Step-2,40
28369,SDV15,0.7219317555427551,0.5,Step-2,40
28370,SDV15,0.6686356067657471,0.5,Step-2,40
28371,SDV15,0.621678352355957,0.5,Step-2,40
28372,SDV15,0.5740765333175659,0.5,Step-2,40
28373,SDV15,0.5275321006774902,0.5,Step-2,40
28573,SDV15,0.5281111001968384,0.5,Step-2,40
28574,SDV15,0.5637915134429932,0.5,Step-2,40
28575,SDV15,0.599031925201416,0.5,Step-2,40
28576,SDV15,0.6364583969116211,0.5,Step-2,40
28577,SDV15,0.6795035600662231,0.5,Step-2,40
28578,SDV15,0.7262210845947266,0.5,Step-2,40
28579,SDV15,0.7780631184577942,0.5,Step-2,40
28580,SDV15,0.8354048132896423,0.5,Step-2,40
28581,SDV15,0.8825678825378418,0.5,Step-2,40
28582,SDV15,0.9066236615180969,0.5,Step-2,40
28583,SDV15,0.9209901690483093,0.5,Step-2,40
28584,SDV15,0.9344496130943298,0.5,Step-2,40
28585,SDV15,0.950173556804657,0.5,Step-2,40
28586,SDV15,0.9702693819999695,0.5,Step-2,40
28587,SDV15,0.9902084469795227,0.5,Step-2,40
28588,SDV15,0.9966511130332947,0.5,Step-2,40
28589,SDV15,0.9944826364517212,0.5,Step-2,40
28590,SDV15,0.9822912812232971,0.5,Step-2,40
28591,SDV15,0.9791752099990845,0.5,Step-2,40
28592,SDV15,0.9820660948753357,0.5,Step-2,40
28593,SDV15,0.9851902723312378,0.5,Step-2,40
28594,SDV15,0.9879139065742493,0.5,Step-2,40
28595,SDV15,0.9866535663604736,0.5,Step-2,40
28596,SDV15,0.9721508622169495,0.5,Step-2,40
28597,SDV15,0.93027263879776,0.5,Step-2,40
28598,SDV15,0.8682579398155212,0.5,Step-2,40
