frame,step,increment_number,step_time,ALLIE,ALLSE,ALLWK
F0,D2A_INIT,1,1.0,0.0,0.0,0.0
F1,D2B_RELEASE_HOLD,1,0.5,0.0,0.0,0.0
F2,D2B_RELEASE_HOLD,2,1.0,0.0,0.0,0.0
F3,D2B_TINY_CONTINUATION,1,0.0625,0.0,0.0,2.2861031644116903e-13
F4,D2B_TINY_CONTINUATION,2,0.125,0.0,0.0,6.71511891231491e-13
F5,D2B_TINY_CONTINUATION,3,0.1875,0.0,0.0,1.0881289359138124e-12
F6,D2B_TINY_CONTINUATION,4,0.28125,0.0,0.0,1.824059783425702e-12
F7,D2B_TINY_CONTINUATION,5,0.421875,0.0,0.0,3.3016365249410873e-12
F8,D2B_TINY_CONTINUATION,6,0.6328125,0.0,0.0,6.213919569869608e-12
F9,D2B_TINY_CONTINUATION,7,0.94921875,0.0,0.0,1.2186247670686878e-11
F10,D2B_TINY_CONTINUATION,8,1.0,0.0,0.0,1.2830926425511091e-11
